0.01353597640991211:	state;	angle,	0.398522295923|	vx,	0.0|	x m,	-1.24652920569|	x,	-71.42085350624828|	ang v,	0.0|	y,	42.42730114672791|	vy,	0.0|	y m,	0.740496293347
0.01433420181274414:	gps;	long,	-71.42079162597656|	lat,	42.42731857299805|	fix,	True
0.02514791488647461:	controller;	angle_command,	-0.93455265121|	speed_command,	1.0
0.02520918846130371:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.02678203582763672:	imu;	yaw,	-5.004732131958008
0.027437448501586914:	state;	angle,	0.398522295923|	vx,	0.0|	x m,	-1.24652920569|	x,	-71.42085350624828|	ang v,	0.0|	y,	42.42730114672791|	vy,	0.0|	y m,	0.740496293347
0.027692556381225586:	encoder;	counts,	0
0.04881024360656738:	controller;	angle_command,	0.186156427172|	speed_command,	1.0
0.048857927322387695:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.07241082191467285:	controller;	angle_command,	0.186156427172|	speed_command,	1.0
0.07245087623596191:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.09573674201965332:	controller;	angle_command,	0.186156427172|	speed_command,	1.0
0.09578776359558105:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.11940145492553711:	controller;	angle_command,	0.186156427172|	speed_command,	1.0
0.11944746971130371:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.14295649528503418:	controller;	angle_command,	0.186156427172|	speed_command,	1.0
0.14300227165222168:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.1659250259399414:	controller;	angle_command,	0.186156427172|	speed_command,	1.0
0.16596698760986328:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.18912649154663086:	controller;	angle_command,	0.186156427172|	speed_command,	1.0
0.18917131423950195:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.21251916885375977:	controller;	angle_command,	0.186156427172|	speed_command,	1.0
0.2125711441040039:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.23774337768554688:	controller;	angle_command,	0.186156427172|	speed_command,	1.0
0.2377948760986328:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.2614634037017822:	controller;	angle_command,	0.186156427172|	speed_command,	1.0
0.2615060806274414:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
