0.011000633239746094:	imu;	yaw,	-4.813836097717285
0.02016425132751465:	state;	y m,	0.740496293347|	vx,	0.0|	angle,	0.398522295923|	x m,	-1.24652920569|	ang v,	0.0|	y,	42.42730114672791|	vy,	0.0|	x,	-71.42085350624828
0.02053546905517578:	gps;	long,	-71.42078399658203|	lat,	42.427303314208984|	fix,	True
0.04038119316101074:	controller;	speed_command,	1.0|	angle_command,	-0.93455265121
0.04303860664367676:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.04963397979736328:	imu;	yaw,	-4.813836097717285
0.050406694412231445:	state;	y m,	0.740496293234|	vx,	0.0|	angle,	0.395208032635|	x m,	-1.2465292056|	ang v,	-0.0798474396971|	y,	42.42730114672791|	vy,	0.0|	x,	-71.42085350624828
0.050750017166137695:	encoder;	counts,	0
0.07456803321838379:	controller;	speed_command,	1.0|	angle_command,	0.18619711588
0.07462525367736816:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.07563519477844238:	imu;	yaw,	-4.816018104553223
0.07951045036315918:	imu;	yaw,	-4.817108631134033
0.10812997817993164:	controller;	speed_command,	1.0|	angle_command,	0.18947069046
0.10819840431213379:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.10948061943054199:	imu;	yaw,	-4.818199634552002
0.11417794227600098:	imu;	yaw,	-4.817108631134033
0.1408710479736328:	controller;	speed_command,	1.0|	angle_command,	0.189472031603
0.14093661308288574:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.14202189445495605:	imu;	yaw,	-4.816018104553223
0.14675593376159668:	state;	y m,	0.749075644734|	vx,	0.0|	angle,	0.397391359638|	x m,	-1.2457817138|	ang v,	0.0739103202763|	y,	42.42730115344836|	vy,	0.0|	x,	-71.42085340174935
0.14716577529907227:	gps;	long,	-71.42078399658203|	lat,	42.427303314208984|	fix,	True
0.15138888359069824:	imu;	yaw,	-4.814927101135254
0.17537999153137207:	controller;	speed_command,	1.0|	angle_command,	0.188280515004
0.1754446029663086:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
0.17863917350769043:	imu;	yaw,	-4.816018104553223
