0.00996708869934082:	blue_led;	192
0.013039827346801758:	state;	x,	-71.42082802525981|	angle,	0.202321320726|	ang v,	0.0|	vx,	0.0|	y m,	0.740496431565|	x m,	-1.24652876096|	y,	42.42730906604819|	vy,	0.0
0.013774394989013672:	gps;	long,	-71.4209213256836|	lat,	42.42726516723633|	fix,	True
0.01436758041381836:	imu;	yaw,	-4.349142551422119
0.015516281127929688:	motors;	75
0.018638134002685547:	state;	x,	-71.42082802525981|	angle,	0.202321320726|	ang v,	0.0|	vx,	0.0|	y m,	0.740496431565|	x m,	-1.24652876096|	y,	42.42730906604819|	vy,	0.0
0.018915414810180664:	encoder;	counts,	0
0.020534753799438477:	blue_led;	189
0.025054454803466797:	motors;	74
0.029694080352783203:	blue_led;	188
0.034226179122924805:	motors;	73
0.03903961181640625:	blue_led;	191
0.04359126091003418:	motors;	75
0.04830002784729004:	blue_led;	188
0.052692413330078125:	motors;	73
0.05711078643798828:	blue_led;	175
0.06142258644104004:	motors;	69
0.06618881225585938:	blue_led;	177
0.07533860206604004:	blue_led;	173
0.07976365089416504:	motors;	68
0.08418440818786621:	blue_led;	168
0.0885307788848877:	motors;	66
0.0929725170135498:	blue_led;	162
0.09728837013244629:	motors;	63
0.10173201560974121:	blue_led;	148
0.10606217384338379:	motors;	58
0.11049103736877441:	blue_led;	108
0.11481428146362305:	motors;	42
0.11923432350158691:	blue_led;	88
0.12353086471557617:	motors;	34
0.12793302536010742:	blue_led;	79
0.13223934173583984:	motors;	31
0.13663864135742188:	blue_led;	71
0.14095258712768555:	motors;	27
0.14536356925964355:	blue_led;	61
0.1496734619140625:	motors;	24
0.1542191505432129:	blue_led;	55
0.15853667259216309:	motors;	21
0.1629958152770996:	blue_led;	0
0.16730809211730957:	motors;	0
0.45119452476501465:	state;	x,	-71.42083693767194|	angle,	3.81643196434|	ang v,	0.0|	vx,	0.0|	y m,	0.008788296138|	x m,	-0.567528883924|	y,	42.42731517071869|	vy,	0.0
0.4516417980194092:	gps;	long,	-71.42091369628906|	lat,	42.42726516723633|	fix,	True
0.5973484516143799:	state;	x,	-71.42083962562627|	angle,	2.82338284951|	ang v,	0.0|	vx,	0.0|	y m,	-0.211892454346|	x m,	-0.36274476962|	y,	42.42731701186696|	vy,	0.0
0.5977506637573242:	gps;	long,	-71.42091369628906|	lat,	42.42726516723633|	fix,	True
0.797356367111206:	state;	x,	-71.4208406017874|	angle,	2.38871882965|	ang v,	0.0|	vx,	0.0|	y m,	-0.292035171733|	x m,	-0.288375095952|	y,	42.42731768050081|	vy,	0.0
0.7977504730224609:	gps;	long,	-71.42091369628906|	lat,	42.42726516723633|	fix,	True
0.9956831932067871:	state;	x,	-71.42084096508549|	angle,	2.18578525048|	ang v,	0.0|	vx,	0.0|	y m,	-0.321861902346|	x m,	-0.260696920136|	y,	42.42731792934641|	vy,	0.0
0.9960801601409912:	gps;	long,	-71.42091369628906|	lat,	42.42726516723633|	fix,	True
1.0440669059753418:	blue_led;	79
1.0485928058624268:	motors;	31
1.0543336868286133:	blue_led;	104
1.0587413311004639:	motors;	41
1.063225269317627:	blue_led;	114
1.0678374767303467:	motors;	45
1.0738356113433838:	blue_led;	141
1.0783603191375732:	motors;	55
1.0828065872192383:	blue_led;	164
1.0873003005981445:	motors;	64
1.0919053554534912:	blue_led;	182
1.096444845199585:	motors;	71
1.101078748703003:	blue_led;	187
1.1053812503814697:	motors;	73
1.1112926006317139:	blue_led;	227
1.1156468391418457:	motors;	89
1.120507001876831:	blue_led;	234
1.1252484321594238:	motors;	92
1.2000207901000977:	state;	x,	-71.42084005502414|	angle,	2.08820547437|	ang v,	0.0|	vx,	-0.304100452663|	y m,	-0.247145970494|	x m,	-0.311005870405|	y,	42.42731747703481|	vy,	0.43051103931
1.2007472515106201:	gps;	long,	-71.42091369628906|	lat,	42.42726516723633|	fix,	True
1.395275354385376:	state;	x,	-71.42083969050923|	angle,	2.04046881491|	ang v,	0.0|	vx,	-0.376878925555|	y m,	-0.217219336369|	x m,	-0.319164219518|	y,	42.42731740368571|	vy,	0.622551349566
1.395660400390625:	gps;	long,	-71.42091369628906|	lat,	42.42726516723633|	fix,	True
1.596257209777832:	state;	x,	-71.42083950001886|	angle,	2.01746282095|	ang v,	0.0|	vx,	-0.382522842578|	y m,	-0.201580097929|	x m,	-0.319064914841|	y,	42.42731740457853|	vy,	0.70782808452
1.5969347953796387:	gps;	long,	-71.42091369628906|	lat,	42.42726516723633|	fix,	True
1.7958810329437256:	state;	x,	-71.4208394232949|	angle,	2.00699759041|	ang v,	0.0|	vx,	-0.373803210275|	y m,	-0.195281069317|	x m,	-0.316605284636|	y,	42.42731742669228|	vy,	0.745765253226
1.796269178390503:	gps;	long,	-71.42091369628906|	lat,	42.42726516723633|	fix,	True
1.9971892833709717:	state;	x,	-71.42083937956845|	angle,	2.00309364795|	ang v,	0.0|	vx,	-0.365485124341|	y m,	-0.191691132809|	x m,	-0.315074845531|	y,	42.427317440451965|	vy,	0.762612852173
1.9975762367248535:	gps;	long,	-71.42091369628906|	lat,	42.42726516723633|	fix,	True
