0.1526193618774414:	servo;	0
0.15623021125793457:	gps;	found,	12|	long,	-71.42086791992188|	lat,	42.42729187011719|	altitude,	89.80000305175781
0.1568746566772461:	imu;	yaw,	-4.609850883483887
0.15775442123413086:	encoder;	counts,	0
0.15886139869689941:	altitude;	altitude,	73.93082427978516
0.1601407527923584:	altitude;	altitude,	73.96781921386719
0.1607348918914795:	altitude;	altitude,	73.93875122070312
0.16130352020263672:	altitude;	altitude,	73.93875122070312
0.16174101829528809:	altitude;	altitude,	74.10785675048828
0.16950750350952148:	altitude;	altitude,	73.88062286376953
0.19271349906921387:	altitude;	altitude,	74.07086181640625
0.21872210502624512:	altitude;	altitude,	74.11842346191406
0.24872994422912598:	altitude;	altitude,	74.01537322998047
0.27902936935424805:	altitude;	altitude,	74.0761489868164
0.30634593963623047:	altitude;	altitude,	74.0761489868164
0.33782005310058594:	altitude;	altitude,	74.19769287109375
0.36632609367370605:	altitude;	altitude,	74.08407592773438
0.3993058204650879:	altitude;	altitude,	74.08407592773438
0.42942070960998535:	altitude;	altitude,	74.09992980957031
0.45825815200805664:	altitude;	altitude,	74.11314392089844
0.49725985527038574:	altitude;	altitude,	74.17655181884766
0.5273175239562988:	altitude;	altitude,	74.30074310302734
0.5576560497283936:	altitude;	altitude,	74.38001251220703
0.5593669414520264:	motors;	0
0.5914294719696045:	altitude;	altitude,	74.38001251220703
0.7189102172851562:	gps;	found,	12|	long,	-71.42086791992188|	lat,	42.42729187011719|	altitude,	89.80000305175781
0.7314562797546387:	altitude;	altitude,	73.93082427978516
0.7602903842926025:	altitude;	altitude,	74.0285873413086
0.7925164699554443:	altitude;	altitude,	73.99951934814453
0.8196580410003662:	altitude;	altitude,	74.13163757324219
0.8509795665740967:	altitude;	altitude,	74.09992980957031
0.8806750774383545:	altitude;	altitude,	73.99951934814453
0.916539192199707:	altitude;	altitude,	73.97309875488281
0.9490289688110352:	altitude;	altitude,	74.02066040039062
0.9785165786743164:	altitude;	altitude,	74.02066040039062
1.0101635456085205:	altitude;	altitude,	74.2373275756836
1.0422828197479248:	altitude;	altitude,	74.15277099609375
1.0708565711975098:	altitude;	altitude,	74.14220428466797
1.1031789779663086:	altitude;	altitude,	73.91761016845703
1.1347815990447998:	altitude;	altitude,	74.11842346191406
1.161738634109497:	altitude;	altitude,	73.9017562866211
1.1933236122131348:	altitude;	altitude,	73.9017562866211
1.2225677967071533:	altitude;	altitude,	73.91761016845703
1.2578551769256592:	altitude;	altitude,	74.17127227783203
1.288801908493042:	altitude;	altitude,	74.03651428222656
1.3165497779846191:	altitude;	altitude,	73.90968322753906
