0.016170501708984375:	state;	x,	-71.42085350624828|	x m,	-1.24652920569|	vy,	0.0|	angle,	4.31386668446|	vx,	0.0|	ang v,	0.0|	y m,	0.740496293347|	y,	42.42730114672791
0.01693105697631836:	gps;	long,	-71.42081451416016|	lat,	42.427345275878906|	fix,	True
0.02564525604248047:	state;	x,	-71.42085350624828|	x m,	-1.24652920569|	vy,	0.0|	angle,	4.31386668446|	vx,	0.0|	ang v,	0.0|	y m,	0.740496293347|	y,	42.42730114672791
0.02597355842590332:	yaw;	yaw,	-5.418156623840332
0.026381492614746094:	state;	x,	-71.42085350624828|	x m,	-1.24652920569|	vy,	0.0|	angle,	4.31386668446|	vx,	0.0|	ang v,	0.0|	y m,	0.740496293347|	y,	42.42730114672791
0.02662062644958496:	encoder;	counts,	0
0.16532373428344727:	state;	x,	-71.42085350170119|	x m,	-1.24609602819|	vy,	0.0|	angle,	0.865620712343|	vx,	0.0|	ang v,	0.0|	y m,	0.740869608351|	y,	42.42730115062247
0.16591286659240723:	gps;	long,	-71.42081451416016|	lat,	42.427345275878906|	fix,	True
0.6626875400543213:	state;	x,	-71.42085349265433|	x m,	-1.24523417904|	vy,	0.0|	angle,	0.865880967761|	vx,	0.0|	ang v,	0.0|	y m,	0.741612355185|	y,	42.42730115837108
0.6631247997283936:	gps;	long,	-71.42081451416016|	lat,	42.427345275878906|	fix,	True
0.7816178798675537:	state;	x,	-71.4208534791122|	x m,	-1.24394408889|	vy,	0.0|	angle,	0.865953431826|	vx,	0.0|	ang v,	0.0|	y m,	0.742724162708|	y,	42.427301169969866
0.7821242809295654:	gps;	long,	-71.42081451416016|	lat,	42.427345275878906|	fix,	True
0.9983813762664795:	state;	x,	-71.42085346108156|	x m,	-1.24222640202|	vy,	0.0|	angle,	0.866062640411|	vx,	0.0|	ang v,	0.0|	y m,	0.744204475697|	y,	42.42730118541304
0.9990739822387695:	gps;	long,	-71.42081451416016|	lat,	42.427345275878906|	fix,	True
1.0629298686981201:	state;	x,	-71.42085341695892|	x m,	-1.23802306145|	vy,	0.0|	angle,	4.31408905259|	vx,	0.0|	ang v,	0.0212141208094|	y m,	0.747826940144|	y,	42.42730122320392
1.0633504390716553:	yaw;	yaw,	-5.419247627258301
1.1493003368377686:	state;	x,	-71.42085341695892|	x m,	-1.23802306145|	vy,	0.0|	angle,	4.31408905259|	vx,	0.0|	ang v,	0.0212141208094|	y m,	0.747826940144|	y,	42.42730122320392
1.1497430801391602:	yaw;	yaw,	-5.418156623840332
1.2244908809661865:	state;	x,	-71.42085328178578|	x m,	-1.22514580167|	vy,	0.0|	angle,	4.31297904121|	vx,	0.0|	ang v,	-0.00290776087399|	y m,	0.758924640868|	y,	42.42730133897923
1.2251241207122803:	yaw;	yaw,	-5.419247627258301
1.2590234279632568:	state;	x,	-71.42085328178578|	x m,	-1.22514580167|	vy,	0.0|	angle,	4.31297904121|	vx,	0.0|	ang v,	-0.00290776087399|	y m,	0.758924640868|	y,	42.42730133897923
1.259629726409912:	yaw;	yaw,	-5.418156623840332
1.291013479232788:	state;	x,	-71.42085328178578|	x m,	-1.22514580167|	vy,	0.0|	angle,	4.31297904121|	vx,	0.0|	ang v,	-0.00290776087399|	y m,	0.758924640868|	y,	42.42730133897923
1.2920124530792236:	gps;	long,	-71.42081451416016|	lat,	42.427345275878906|	fix,	True
1.3173043727874756:	state;	x,	-71.42085328178578|	x m,	-1.22514580167|	vy,	0.0|	angle,	4.31297904121|	vx,	0.0|	ang v,	-0.00290776087399|	y m,	0.758924640868|	y,	42.42730133897923
1.3176929950714111:	yaw;	yaw,	-5.419247627258301
