0.009554147720336914:	servo;	-14
0.029268980026245117:	state;	angle,	4.31386668446|	ang v,	0.0|	vx,	0.0|	vy,	0.0|	y m,	0.740496293347|	x m,	-1.24652920569|	x,	-71.42085350624828|	y,	42.42730114672791
0.030490875244140625:	gps;	long,	-71.42083740234375|	lat,	42.42731475830078|	fix,	True
0.030961036682128906:	state;	angle,	4.31386668446|	ang v,	0.0|	vx,	0.0|	vy,	0.0|	y m,	0.740496293347|	x m,	-1.24652920569|	x,	-71.42085350624828|	y,	42.42730114672791
0.031407833099365234:	yaw;	yaw,	-5.070181846618652
0.03186511993408203:	state;	angle,	4.31386668446|	ang v,	0.0|	vx,	0.0|	vy,	0.0|	y m,	0.740496293347|	x m,	-1.24652920569|	x,	-71.42085350624828|	y,	42.42730114672791
0.03214287757873535:	encoder;	counts,	0
0.1478574275970459:	state;	angle,	1.21356735325|	ang v,	0.0|	vx,	0.0|	vy,	0.0|	y m,	0.740630602921|	x m,	-1.24638330614|	x,	-71.42085350461235|	y,	42.42730114803965
0.14838624000549316:	gps;	long,	-71.42083740234375|	lat,	42.42731475830078|	fix,	True
0.2717773914337158:	state;	angle,	4.31298052944|	ang v,	-0.00459471625882|	vx,	0.0|	vy,	0.0|	y m,	0.740887972058|	x m,	-1.24610372785|	x,	-71.42085350147752|	y,	42.42730115055325
0.2722043991088867:	yaw;	yaw,	-5.071272373199463
0.2847716808319092:	state;	angle,	4.31300122673|	ang v,	-0.125009284968|	vx,	0.0|	vy,	0.0|	y m,	0.741698617186|	x m,	-1.24522312974|	x,	-71.42085349160362|	y,	42.42730115847043
0.2852303981781006:	yaw;	yaw,	-5.070181846618652
0.33310770988464355:	state;	angle,	4.31300122673|	ang v,	-0.125009284968|	vx,	0.0|	vy,	0.0|	y m,	0.741698617186|	x m,	-1.24522312974|	x,	-71.42085349160362|	y,	42.42730115847043
0.33345532417297363:	yaw;	yaw,	-5.071272373199463
0.4023473262786865:	state;	angle,	4.31298619664|	ang v,	-0.173403719026|	vx,	0.0|	vy,	0.0|	y m,	0.742363622571|	x m,	-1.24450073906|	x,	-71.42085348350368|	y,	42.42730116496521
0.4031853675842285:	gps;	long,	-71.42083740234375|	lat,	42.42731475830078|	fix,	True
0.4980158805847168:	servo;	-13
0.5102734565734863:	servo;	-10
0.5283918380737305:	servo;	0
0.5402822494506836:	blue_led;	230
0.5519683361053467:	motors;	90
0.5677165985107422:	blue_led;	209
0.589444637298584:	motors;	82
0.6032228469848633:	state;	angle,	4.31302469981|	ang v,	-0.191437036273|	vx,	0.0|	vy,	0.0|	y m,	0.743160623023|	x m,	-1.24363496307|	x,	-71.42085347379599|	y,	42.42730117274912
0.6037697792053223:	gps;	long,	-71.42083740234375|	lat,	42.42731475830078|	fix,	True
0.6053769588470459:	blue_led;	179
0.6118147373199463:	motors;	70
0.6208114624023438:	blue_led;	154
0.6301426887512207:	motors;	60
0.6401362419128418:	blue_led;	118
0.6499102115631104:	motors;	46
0.6636607646942139:	blue_led;	95
0.674018383026123:	motors;	37
0.6844296455383301:	blue_led;	69
0.6896317005157471:	motors;	27
0.6919114589691162:	state;	angle,	4.31626638089|	ang v,	-0.0445308957958|	vx,	-0.103764899905|	vy,	-0.103764899905|	y m,	0.723348258796|	x m,	-1.26337531298|	x,	-71.42085371511618|	y,	42.427300995269974
0.6930756568908691:	yaw;	yaw,	-5.067999839782715
0.7016704082489014:	blue_led;	0
0.7116942405700684:	motors;	0
0.7300124168395996:	blue_led;	53
0.737868070602417:	state;	angle,	4.31520261602|	ang v,	-0.0531805246811|	vx,	-0.0887177387947|	vy,	-0.0887177387947|	y m,	0.718818218785|	x m,	-1.26755291293|	x,	-71.42085377029335|	y,	42.42730095771052
0.7383639812469482:	yaw;	yaw,	-5.064727306365967
0.7459135055541992:	motors;	20
0.756605863571167:	blue_led;	83
0.7661926746368408:	motors;	32
0.7675769329071045:	state;	angle,	4.31520261602|	ang v,	-0.0531805246811|	vx,	-0.0887177387947|	vy,	-0.0887177387947|	y m,	0.718818218785|	x m,	-1.26755291293|	x,	-71.42085377029335|	y,	42.42730095771052
0.7680602073669434:	yaw;	yaw,	-5.0658183097839355
0.7748219966888428:	blue_led;	124
0.7812767028808594:	motors;	48
0.7912032604217529:	state;	angle,	4.31520261602|	ang v,	-0.0531805246811|	vx,	-0.0887177387947|	vy,	-0.0887177387947|	y m,	0.718818218785|	x m,	-1.26755291293|	x,	-71.42085377029335|	y,	42.42730095771052
0.7917163372039795:	yaw;	yaw,	-5.066909313201904
0.7974338531494141:	blue_led;	180
0.8047308921813965:	motors;	70
0.810166597366333:	blue_led;	238
0.8133556842803955:	state;	angle,	4.31520261602|	ang v,	-0.0531805246811|	vx,	-0.0887177387947|	vy,	-0.0887177387947|	y m,	0.718818218785|	x m,	-1.26755291293|	x,	-71.42085377029335|	y,	42.42730095771052
0.8143594264984131:	yaw;	yaw,	-5.069090843200684
0.8239426612854004:	motors;	93
0.8286123275756836:	blue_led;	255
0.8362774848937988:	motors;	100
0.8478753566741943:	state;	angle,	4.30536192638|	ang v,	0.0119901846306|	vx,	-0.376232780019|	vy,	-0.376232780019|	y m,	0.660550748459|	x m,	-1.32437882763|	x,	-71.42085448000759|	y,	42.427300446806996
0.8483588695526123:	yaw;	yaw,	-5.070181846618652
0.8784279823303223:	state;	angle,	4.30536192638|	ang v,	0.0119901846306|	vx,	-0.376232780019|	vy,	-0.376232780019|	y m,	0.660550748459|	x m,	-1.32437882763|	x,	-71.42085448000759|	y,	42.427300446806996
0.8790428638458252:	yaw;	yaw,	-5.071272373199463
0.9060871601104736:	state;	angle,	4.30536192638|	ang v,	0.0119901846306|	vx,	-0.376232780019|	vy,	-0.376232780019|	y m,	0.660550748459|	x m,	-1.32437882763|	x,	-71.42085448000759|	y,	42.427300446806996
0.9065334796905518:	yaw;	yaw,	-5.072363376617432
0.9242708683013916:	state;	angle,	4.30536192638|	ang v,	0.0119901846306|	vx,	-0.376232780019|	vy,	-0.376232780019|	y m,	0.660550748459|	x m,	-1.32437882763|	x,	-71.42085448000759|	y,	42.427300446806996
0.925048828125:	gps;	long,	-71.42083740234375|	lat,	42.42731475830078|	fix,	True
0.9462985992431641:	state;	angle,	4.30536192638|	ang v,	0.0119901846306|	vx,	-0.376232780019|	vy,	-0.376232780019|	y m,	0.660550748459|	x m,	-1.32437882763|	x,	-71.42085448000759|	y,	42.427300446806996
0.9466948509216309:	yaw;	yaw,	-5.073453903198242
0.955996036529541:	state;	angle,	4.30536192638|	ang v,	0.0119901846306|	vx,	-0.376232780019|	vy,	-0.376232780019|	y m,	0.660550748459|	x m,	-1.32437882763|	x,	-71.42085448000759|	y,	42.427300446806996
0.9564471244812012:	yaw;	yaw,	-5.074544906616211
0.988914966583252:	state;	angle,	4.30536192638|	ang v,	0.0119901846306|	vx,	-0.376232780019|	vy,	-0.376232780019|	y m,	0.660550748459|	x m,	-1.32437882763|	x,	-71.42085448000759|	y,	42.427300446806996
0.9894149303436279:	yaw;	yaw,	-5.07563591003418
1.0277917385101318:	state;	angle,	4.30536192638|	ang v,	0.0119901846306|	vx,	-0.376232780019|	vy,	-0.376232780019|	y m,	0.660550748459|	x m,	-1.32437882763|	x,	-71.42085448000759|	y,	42.427300446806996
1.0285875797271729:	yaw;	yaw,	-5.077817440032959
1.0447282791137695:	state;	angle,	4.30536192638|	ang v,	0.0119901846306|	vx,	-0.376232780019|	vy,	-0.376232780019|	y m,	0.660550748459|	x m,	-1.32437882763|	x,	-71.42085448000759|	y,	42.427300446806996
1.045267105102539:	yaw;	yaw,	-5.078908443450928
1.1081628799438477:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.108811378479004:	yaw;	yaw,	-5.077817440032959
1.1383941173553467:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.1388041973114014:	yaw;	yaw,	-5.07672643661499
1.1565725803375244:	state;	angle,	4.31081238636|	ang v,	-0.532420754038|	vx,	-0.453321130977|	vy,	-0.476008885967|	y m,	0.562728349095|	x m,	-1.41904139662|	x,	-71.42085567151203|	y,	42.427299595726275
1.1569788455963135:	yaw;	yaw,	-5.07563591003418
