0.581352710723877:	servo;	0
0.5871853828430176:	gps;	long,	-71.4208984375|	lat,	42.42760467529297
0.587857723236084:	imu;	yaw,	-6.108652591705322
0.5884144306182861:	encoder;	counts,	0
0.5890340805053711:	gps;	long,	-71.4208984375|	lat,	42.42760467529297
0.5956685543060303:	motors;	-100
0.6412246227264404:	motors;	0
0.6449131965637207:	gps;	long,	-71.4208984375|	lat,	42.42760467529297
0.7133564949035645:	servo;	-1
0.7231996059417725:	servo;	-4
0.7324819564819336:	servo;	-10
0.7373583316802979:	motors;	-100
0.741905689239502:	servo;	-19
0.7509520053863525:	servo;	-22
0.77366042137146:	servo;	-20
0.7867164611816406:	servo;	-19
0.7949419021606445:	state;	ang v,	-29.4710964848|	vy,	-0.00869326720382|	y,	42.42730781969924|	x,	-71.42083015471799|	vx,	-0.00869326720382|	angle,	0.372664857505
0.7980716228485107:	gps;	long,	-71.4208984375|	lat,	42.42760467529297
0.8017029762268066:	servo;	-18
0.821272611618042:	servo;	-17
0.8297443389892578:	servo;	-15
0.8344347476959229:	imu;	yaw,	-6.1075615882873535
0.8404288291931152:	servo;	-9
0.8458795547485352:	servo;	-7
0.8517377376556396:	servo;	-4
0.8570120334625244:	imu;	yaw,	-6.106471061706543
0.8608999252319336:	servo;	-3
0.8687517642974854:	servo;	-2
0.8756487369537354:	state;	ang v,	-1.511080519|	vy,	-0.428669964257|	y,	42.42730773667864|	x,	-71.42083112605454|	vx,	-0.428669964257|	angle,	0.426832792674
0.8791279792785645:	imu;	yaw,	-6.105380058288574
0.883908748626709:	servo;	-1
0.889258623123169:	servo;	0
0.894277811050415:	servo;	-2
0.8976116180419922:	imu;	yaw,	-6.104289531707764
0.9020094871520996:	servo;	-4
0.9151749610900879:	imu;	yaw,	-6.105380058288574
0.9526028633117676:	servo;	-8
0.9564440250396729:	imu;	yaw,	-6.106471061706543
0.9578332901000977:	imu;	yaw,	-6.1075615882873535
0.9658300876617432:	imu;	yaw,	-6.108652591705322
0.9669685363769531:	servo;	-2
0.9739687442779541:	motors;	0
0.9800999164581299:	servo;	0
0.991316556930542:	servo;	-2
1.0012280941009521:	gps;	long,	-71.4208984375|	lat,	42.42760467529297
1.0103821754455566:	servo;	-1
1.0203397274017334:	state;	ang v,	-0.100560400343|	vy,	-0.0701597227193|	y,	42.42730849938671|	x,	-71.4208313555321|	vx,	-0.0701597227193|	angle,	0.477300594459
1.022273302078247:	imu;	yaw,	-6.1075615882873535
1.088327169418335:	state;	ang v,	-0.00339293482084|	vy,	-0.023453966701|	y,	42.42730912489273|	x,	-71.42083154342042|	vx,	-0.023453966701|	angle,	0.518604624918
1.0925254821777344:	imu;	yaw,	-6.108652591705322
1.0993547439575195:	servo;	0
1.158219337463379:	servo;	-1
1.171105146408081:	state;	ang v,	-0.012983146758|	vy,	-0.00877740596265|	y,	42.42730980376946|	x,	-71.42083174740056|	vx,	-0.00877740596265|	angle,	0.565225646254
1.1741278171539307:	servo;	-2
1.2065725326538086:	gps;	long,	-71.4208984375|	lat,	42.42760467529297
1.2176570892333984:	motors;	-100
1.2291603088378906:	state;	ang v,	0.0279008404667|	vy,	-0.771430886095|	y,	42.4273102873601|	x,	-71.42083257754463|	vx,	-0.771430886095|	angle,	0.620999944192
1.2582015991210938:	servo;	-1
1.275195598602295:	servo;	0
1.280324935913086:	servo;	3
1.2852997779846191:	servo;	4
1.3076558113098145:	servo;	5
1.3303923606872559:	servo;	0
1.3605313301086426:	servo;	-2
1.3738179206848145:	servo;	-4
1.3973708152770996:	gps;	long,	-71.4208984375|	lat,	42.42760467529297
1.4000771045684814:	servo;	-8
1.404564380645752:	imu;	yaw,	-6.109743118286133
1.4140751361846924:	servo;	-9
1.425234079360962:	servo;	-11
1.435504674911499:	state;	ang v,	0.392619277743|	vy,	-1.3513950788|	y,	42.42731031837552|	x,	-71.42083496063395|	vx,	-1.3513950788|	angle,	0.834829092857
1.4376029968261719:	imu;	yaw,	-6.108652591705322
1.4406147003173828:	servo;	-2
1.4680025577545166:	motors;	0
1.4739768505096436:	servo;	-1
1.4929618835449219:	state;	ang v,	0.071233421068|	vy,	-0.652416049638|	y,	42.4273114236872|	x,	-71.42083528576715|	vx,	-0.652416049638|	angle,	0.889324917537
1.4969205856323242:	imu;	yaw,	-6.1075615882873535
1.5350828170776367:	imu;	yaw,	-6.108652591705322
1.5559284687042236:	state;	ang v,	0.0103925605919|	vy,	-0.323758636903|	y,	42.42731255544715|	x,	-71.4208356210183|	vx,	-0.323758636903|	angle,	0.94560690335
1.603118896484375:	gps;	long,	-71.4208984375|	lat,	42.42760467529297
1.6104230880737305:	imu;	yaw,	-6.1075615882873535
1.6169493198394775:	state;	ang v,	0.00161933516828|	vy,	-0.1649273453|	y,	42.42731394373587|	x,	-71.42083602298815|	vx,	-0.1649273453|	angle,	1.00305665382
1.6234140396118164:	imu;	yaw,	-6.108652591705322
1.6768524646759033:	state;	ang v,	0.000233487864111|	vy,	-0.0853999669386|	y,	42.42731535911172|	x,	-71.42083643415963|	vx,	-0.0853999669386|	angle,	1.06110667873
1.7721359729766846:	motors;	-100
1.7773821353912354:	servo;	0
1.8081445693969727:	gps;	long,	-71.4208984375|	lat,	42.42760467529297
1.8286945819854736:	state;	ang v,	-0.053505063534|	vy,	-0.571380527805|	y,	42.42731636353272|	x,	-71.42083768422287|	vx,	-0.571380527805|	angle,	1.10520755467
1.9757323265075684:	servo;	-1
2.0152640342712402:	gps;	long,	-71.42089080810547|	lat,	42.427608489990234
2.0217442512512207:	servo;	0
2.026498556137085:	motors;	0
2.038163423538208:	state;	ang v,	-0.0286249464923|	vy,	-0.558821311362|	y,	42.42731739186646|	x,	-71.42083903494323|	vx,	-0.558821311362|	angle,	1.06375534119
2.2107813358306885:	gps;	long,	-71.42089080810547|	lat,	42.427608489990234
2.233334541320801:	state;	ang v,	-0.00619203820459|	vy,	-0.341840396383|	y,	42.42731920286446|	x,	-71.42083947553179|	vx,	-0.341840396383|	angle,	1.04141241572
2.395188808441162:	gps;	long,	-71.42089080810547|	lat,	42.427608489990234
