0.6745815277099609:	motors;	0
0.6823747158050537:	gps;	long,	-71.42091369628906|	lat,	42.42749786376953
0.6829814910888672:	imu;	yaw,	0.003272492438554764
0.6837854385375977:	encoder;	counts,	0
0.6845262050628662:	gps;	long,	-71.42091369628906|	lat,	42.42749786376953
0.6865010261535645:	gps;	long,	-71.42091369628906|	lat,	42.42749786376953
0.6888175010681152:	gps;	long,	-71.42091369628906|	lat,	42.42749786376953
0.6899025440216064:	gps;	long,	-71.4209213256836|	lat,	42.42749786376953
0.8409626483917236:	gps;	long,	-71.4209213256836|	lat,	42.42749786376953
1.0189216136932373:	state;	angle,	0.0211808968256|	x,	-71.4208281321831|	vx,	0.0|	ang v,	-0.0101764723052|	vy,	0.0|	y,	42.427309229621734
1.0426864624023438:	gps;	long,	-71.4209213256836|	lat,	42.42749786376953
1.1136748790740967:	state;	angle,	0.0466444324928|	x,	-71.42082826223749|	vx,	0.0|	ang v,	-0.0103374417019|	vy,	0.0|	y,	42.4273094288153
1.244218349456787:	gps;	long,	-71.4209213256836|	lat,	42.42749786376953
1.278620958328247:	state;	angle,	0.0806361801325|	x,	-71.42082843911464|	vx,	0.0|	ang v,	-0.0103627630362|	vy,	0.0|	y,	42.42730969972342
1.2889890670776367:	servo;	0
1.4588944911956787:	gps;	long,	-71.4209213256836|	lat,	42.42749786376953
1.4661142826080322:	motors;	-100
1.5147807598114014:	state;	angle,	0.100571134886|	x,	-71.42083123909339|	vx,	-0.990687378018|	ang v,	-0.0718210996394|	vy,	-0.990687378018|	y,	42.427308139910686
1.6461362838745117:	gps;	long,	-71.4209213256836|	lat,	42.42749786376953
1.6757478713989258:	state;	angle,	0.135577697568|	x,	-71.42083320619807|	vx,	-1.52391105602|	ang v,	-0.08838784462|	vy,	-1.52391105602|	y,	42.427307299346786
1.8056621551513672:	servo;	1
1.817692756652832:	servo;	2
1.842886209487915:	gps;	long,	-71.4209213256836|	lat,	42.42749786376953
1.8470540046691895:	servo;	3
1.8599631786346436:	servo;	4
1.8959729671478271:	servo;	5
1.8986618518829346:	state;	angle,	0.0970053754907|	x,	-71.42083584113035|	vx,	-1.92471166315|	ang v,	-0.34933666612|	vy,	-1.92471166315|	y,	42.42730606911017
1.9529993534088135:	servo;	6
2.003812551498413:	servo;	8
2.0089333057403564:	servo;	9
2.0139119625091553:	servo;	11
2.01877498626709:	servo;	12
2.04496693611145:	gps;	long,	-71.42091369628906|	lat,	42.4275016784668
2.049628496170044:	servo;	13
2.076495409011841:	state;	angle,	-0.109351830336|	x,	-71.42083795699662|	vx,	-2.20129628974|	ang v,	-1.0478822774|	vy,	-2.20129628974|	y,	42.427305318739386
2.1238059997558594:	servo;	18
2.1258678436279297:	imu;	yaw,	0.0021816615480929613
2.129547119140625:	servo;	19
2.1348206996917725:	servo;	20
2.155233860015869:	state;	angle,	-0.2320739784|	x,	-71.42083914808441|	vx,	-2.36157308092|	ang v,	-1.09116939643|	vy,	-2.36157308092|	y,	42.427305283627845
2.200031280517578:	imu;	yaw,	0.0010908307740464807
2.200709819793701:	imu;	yaw,	0.0021816615480929613
2.245795965194702:	gps;	long,	-71.42091369628906|	lat,	42.4275016784668
2.264655828475952:	state;	angle,	-0.384561850133|	x,	-71.42084085667784|	vx,	-2.58237727265|	ang v,	-1.19469321307|	vy,	-2.58237727265|	y,	42.42730549603309
2.317333221435547:	servo;	18
2.3249423503875732:	servo;	17
2.3428471088409424:	servo;	16
2.4192705154418945:	servo;	13
2.425952196121216:	servo;	10
2.4315054416656494:	servo;	6
2.4380929470062256:	servo;	1
2.459645986557007:	servo;	0
2.463791608810425:	gps;	long,	-71.42091369628906|	lat,	42.4275016784668
2.5038373470306396:	servo;	-1
2.52412486076355:	state;	angle,	-0.369592310274|	x,	-71.42084377816785|	vx,	-2.7411111281|	ang v,	-0.277582644663|	vy,	-2.7411111281|	y,	42.42730449289344
2.5760326385498047:	imu;	yaw,	0.003272492438554764
2.576874256134033:	imu;	yaw,	0.004363323096185923
2.5993733406066895:	motors;	0
2.633223533630371:	state;	angle,	-0.33075543001|	x,	-71.42084423303095|	vx,	-1.7021078315|	ang v,	-0.0437940838939|	vy,	-1.7021078315|	y,	42.42730527470766
2.6425161361694336:	gps;	long,	-71.42091369628906|	lat,	42.4275016784668
2.7107057571411133:	state;	angle,	-0.291512117064|	x,	-71.42084471404367|	vx,	-1.06663995017|	ang v,	-0.0120215896905|	vy,	-1.06663995017|	y,	42.42730625757061
2.8546955585479736:	gps;	long,	-71.4209213256836|	lat,	42.42749786376953
2.8819520473480225:	state;	angle,	-0.112974836023|	x,	-71.42084527713968|	vx,	-0.685903365817|	ang v,	-0.00704877891419|	vy,	-0.685903365817|	y,	42.42730727721146
3.044999361038208:	gps;	long,	-71.4209213256836|	lat,	42.42749786376953
3.073479413986206:	state;	angle,	0.0644790735759|	x,	-71.42084587399476|	vx,	-0.45137221036|	ang v,	-0.00615899637147|	vy,	-0.45137221036|	y,	42.427308357982376
3.2597570419311523:	gps;	long,	-71.4209213256836|	lat,	42.42749786376953
3.2856011390686035:	state;	angle,	0.239671378273|	x,	-71.42084650354136|	vx,	-0.303510878054|	ang v,	-0.00598139916087|	vy,	-0.303510878054|	y,	42.427309497950255
3.3873021602630615:	imu;	yaw,	0.005454154219478369
3.411036729812622:	state;	angle,	0.411606993626|	x,	-71.42084710372193|	vx,	-0.205297780442|	ang v,	-0.00197275278254|	vy,	-0.205297780442|	y,	42.42731054091244
3.449030637741089:	gps;	long,	-71.4209213256836|	lat,	42.42749786376953
