0.5492424964904785:	motors;	0
0.5523946285247803:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
0.552823543548584:	imu;	yaw,	4.571671962738037
0.5531394481658936:	encoder;	counts,	0
0.5536606311798096:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
0.5540196895599365:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
0.5543670654296875:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
0.7546589374542236:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
0.7635316848754883:	state;	x,	-71.42082806953518|	vy,	0.0|	ang v,	-22.9319377322|	vx,	0.0|	angle,	0.0211809211873|	y,	42.42730908365857|	timestamp,	0.21007847785949707
0.8691706657409668:	state;	x,	-71.4208281228261|	vy,	0.0|	ang v,	-23.2934291072|	vx,	0.0|	angle,	0.0466444870215|	y,	42.42730910408016|	timestamp,	0.30381131172180176
0.9558038711547852:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
0.9765386581420898:	state;	x,	-71.42082819530309|	vy,	0.0|	ang v,	-23.3507422774|	vx,	0.0|	angle,	0.0806362749511|	y,	42.42730913185403|	timestamp,	0.42225122451782227
1.156719446182251:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
1.1675968170166016:	servo;	-1
1.175642967224121:	state;	x,	-71.42082828682224|	vy,	0.0|	ang v,	-23.3605791389|	vx,	0.0|	angle,	0.122523719582|	y,	42.42730916692503|	timestamp,	0.6228330135345459
1.3543274402618408:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
1.373729944229126:	state;	x,	-71.4208283972026|	vy,	0.0|	ang v,	-23.3625164783|	vx,	0.0|	angle,	0.171557988224|	y,	42.42730920922383|	timestamp,	0.8207545280456543
1.554743766784668:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
1.5738513469696045:	state;	x,	-71.42082852622697|	vy,	0.0|	ang v,	-23.3629362346|	vx,	0.0|	angle,	0.226904733679|	y,	42.42730925866718|	timestamp,	1.0208911895751953
1.712968111038208:	servo;	-3
1.7240188121795654:	servo;	-4
1.7286584377288818:	motors;	-100
1.7346017360687256:	servo;	-7
1.7435410022735596:	servo;	-14
1.7484841346740723:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
1.7549376487731934:	servo;	-15
1.7638945579528809:	servo;	-16
1.7895727157592773:	servo;	-17
1.80092191696167:	servo;	-19
1.814162254333496:	state;	x,	-71.42083119969415|	vy,	-1.13999400172|	ang v,	-22.1309583764|	vx,	-1.13999400172|	angle,	0.661182582325|	y,	42.42730745059486|	timestamp,	1.2610056400299072
1.8155574798583984:	servo;	-21
1.8440639972686768:	servo;	-22
1.8457047939300537:	imu;	yaw,	4.570580959320068
1.858720064163208:	imu;	yaw,	4.569490432739258
1.863752841949463:	imu;	yaw,	4.568399429321289
1.867814064025879:	imu;	yaw,	4.56730842590332
1.8759605884552002:	state;	x,	-71.42083203561062|	vy,	-1.75627686526|	ang v,	-1.79488286852|	vx,	-1.75627686526|	angle,	0.827639343841|	y,	42.42730700828615|	timestamp,	1.3219704627990723
1.9097261428833008:	imu;	yaw,	4.56621789932251
1.9370501041412354:	state;	x,	-71.42083286222955|	vy,	-2.0501375463|	ang v,	0.760548458879|	vx,	-2.0501375463|	angle,	0.994778917089|	y,	42.427306580017465|	timestamp,	1.3839659690856934
1.9395523071289062:	servo;	-23
1.9698281288146973:	servo;	-24
2.1688873767852783:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
2.1890673637390137:	state;	x,	-71.42083541295493|	vy,	-2.0848968531|	ang v,	1.44729014409|	vx,	-2.0848968531|	angle,	1.56024531884|	y,	42.42730492261769|	timestamp,	1.6352050304412842
2.225604295730591:	servo;	-16
2.2477362155914307:	servo;	-11
2.2696621417999268:	servo;	-7
2.2812395095825195:	servo;	-4
2.2914724349975586:	servo;	-3
2.3006632328033447:	servo;	-2
2.320065975189209:	motors;	0
2.325185775756836:	servo;	-1
2.3326642513275146:	imu;	yaw,	4.56730842590332
2.349853992462158:	state;	x,	-71.42083561552012|	vy,	-1.29906449273|	ang v,	0.199697687201|	vx,	-1.29906449273|	angle,	1.5920367242|	y,	42.4273049816089|	timestamp,	1.7965586185455322
2.357421398162842:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
2.381157398223877:	imu;	yaw,	4.568399429321289
2.382098436355591:	imu;	yaw,	4.569490432739258
2.4013030529022217:	imu;	yaw,	4.570580959320068
2.412506341934204:	state;	x,	-71.42083592974616|	vy,	-0.633544741831|	ang v,	-0.0256105765921|	vx,	-0.633544741831|	angle,	1.64054704311|	y,	42.427305126988045|	timestamp,	1.8573803901672363
2.4436655044555664:	imu;	yaw,	4.569490432739258
2.46885085105896:	state;	x,	-71.42083614512653|	vy,	-0.394072265296|	ang v,	-0.00373259284227|	vx,	-0.394072265296|	angle,	1.67301037052|	y,	42.42730524332848|	timestamp,	1.913604974746704
2.5526111125946045:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
2.563762664794922:	state;	x,	-71.42083638369309|	vy,	-0.249097191458|	ang v,	-0.000602014076863|	vx,	-0.249097191458|	angle,	1.70527689196|	y,	42.42730537574173|	timestamp,	2.01008677482605
2.7484018802642822:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
2.789306640625:	state;	x,	-71.42083663531055|	vy,	-0.163293762225|	ang v,	-0.00011558457263|	vx,	-0.163293762225|	angle,	1.73713218117|	y,	42.42730551539871|	timestamp,	2.236560583114624
3.1713266372680664:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
3.191683292388916:	state;	x,	-71.42083689953563|	vy,	-0.112426453488|	ang v,	-2.75517392993e-05|	vx,	-0.112426453488|	angle,	1.76839567851|	y,	42.42730566205338|	timestamp,	2.638983726501465
