0.734473705291748:	servo;	-1
0.745751142501831:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
0.7462010383605957:	imu;	yaw,	-0.0872664675116539
0.7466156482696533:	encoder;	counts,	0
0.747166633605957:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
0.7477645874023438:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
0.7483744621276855:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
0.7924327850341797:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
1.0010747909545898:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
1.0164175033569336:	state;	ang v,	-0.394726459838|	vy,	0.0|	y,	42.42730922455561|	timestamp,	0.2727088928222656|	x,	-71.42082819419147|	vx,	0.0|	angle,	0.021180895187
1.183366298675537:	state;	ang v,	-0.401218915426|	vy,	0.0|	y,	42.427309417684135|	timestamp,	0.43741822242736816|	x,	-71.42082840031253|	vx,	0.0|	angle,	0.0466444321195
1.2101259231567383:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
1.2432148456573486:	state;	ang v,	-0.402364332896|	vy,	0.0|	y,	42.42730968034371|	timestamp,	0.49635934829711914|	x,	-71.42082868064226|	vx,	0.0|	angle,	0.0806361814586
1.3883163928985596:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
1.4295837879180908:	state;	ang v,	-0.402565398845|	vy,	0.0|	y,	42.42731001201283|	timestamp,	0.686819314956665|	x,	-71.42082903462408|	vx,	0.0|	angle,	0.122523578529
1.7920012474060059:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
1.8201968669891357:	state;	ang v,	-0.40260460364|	vy,	0.0|	y,	42.42731041203566|	timestamp,	1.0764920711517334|	x,	-71.42082946155806|	vx,	0.0|	angle,	0.171557791489
2.0075416564941406:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
2.026888132095337:	state;	ang v,	-0.402614216345|	vy,	0.0|	y,	42.427310879625146|	timestamp,	1.2838916778564453|	x,	-71.42082996060418|	vx,	0.0|	angle,	0.226904474091
2.2062060832977295:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
2.227465867996216:	state;	ang v,	-0.402616678384|	vy,	0.0|	y,	42.42731141386684|	timestamp,	1.484604835510254|	x,	-71.4208305307865|	vx,	0.0|	angle,	0.287675459627
2.3873496055603027:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
2.4614014625549316:	state;	ang v,	-0.402617342801|	vy,	0.0|	y,	42.42731201372316|	timestamp,	1.718358039855957|	x,	-71.4208311709976|	vx,	0.0|	angle,	0.352959391723
2.794509172439575:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
2.8057408332824707:	state;	ang v,	-0.402617531283|	vy,	0.0|	y,	42.427312678038184|	timestamp,	2.0619871616363525|	x,	-71.42083188000385|	vx,	0.0|	angle,	0.421849647506
2.9903838634490967:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
3.0031492710113525:	state;	ang v,	-0.40261759071|	vy,	0.0|	y,	42.42731340554314|	timestamp,	2.2594146728515625|	x,	-71.42083265645107|	vx,	0.0|	angle,	0.493468369064
3.190542221069336:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
3.2403128147125244:	state;	ang v,	-0.40261760978|	vy,	0.0|	y,	42.427314194862014|	timestamp,	2.4969210624694824|	x,	-71.42083349887073|	vx,	0.0|	angle,	0.566985906884
3.3897736072540283:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
3.433781147003174:	state;	ang v,	-0.402617616203|	vy,	0.0|	y,	42.42731504451787|	timestamp,	2.6898176670074463|	x,	-71.42083440568653|	vx,	0.0|	angle,	0.641635433147
3.6046271324157715:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
3.6271510124206543:	state;	ang v,	-0.402617618422|	vy,	0.0|	y,	42.427315952939274|	timestamp,	2.884098768234253|	x,	-71.42083537522133|	vx,	0.0|	angle,	0.716722860964
3.6802732944488525:	imu;	yaw,	-0.08835729211568832
3.691584825515747:	imu;	yaw,	-0.0872664675116539
3.6936657428741455:	state;	ang v,	-0.0431312863345|	vy,	0.0|	y,	42.427316860867165|	timestamp,	2.9473674297332764|	x,	-71.42083634422943|	vx,	0.0|	angle,	0.791632043632
3.7547950744628906:	state;	ang v,	0.00802961158286|	vy,	0.0|	y,	42.427317761131185|	timestamp,	3.010810375213623|	x,	-71.42083730505813|	vx,	0.0|	angle,	0.865827644763
3.7926809787750244:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
3.842107057571411:	state;	ang v,	0.0153241759787|	vy,	0.0|	y,	42.42731883777692|	timestamp,	3.0986452102661133|	x,	-71.42083845413455|	vx,	0.0|	angle,	0.93885500366
3.988816976547241:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
3.996650218963623:	state;	ang v,	0.0164599736898|	vy,	0.0|	y,	42.42731996612488|	timestamp,	3.2534940242767334|	x,	-71.42083965839147|	vx,	0.0|	angle,	1.01033303946
4.1917736530303955:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
4.236731052398682:	imu;	yaw,	-0.08835729211568832
4.244251251220703:	state;	ang v,	0.0166575320577|	vy,	0.0|	y,	42.4273211442344|	timestamp,	3.500558614730835|	x,	-71.42084091575772|	vx,	0.0|	angle,	1.07995263763
4.302389621734619:	state;	ang v,	0.000513510555744|	vy,	0.0|	y,	42.427322301187154|	timestamp,	3.558497905731201|	x,	-71.42084215054395|	vx,	0.0|	angle,	1.14746922924
4.390003204345703:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
4.411052465438843:	state;	ang v,	-0.00158421273226|	vy,	0.0|	y,	42.427323573850394|	timestamp,	3.6675527095794678|	x,	-71.42084350882509|	vx,	0.0|	angle,	1.21269768021
