0.0050201416015625:	imu;	yaw,	6.27991247177124
0.014435291290283203:	imu;	yaw,	6.27991247177124
0.016422510147094727:	imu;	yaw,	6.27991247177124
0.018198251724243164:	imu;	yaw,	6.27882194519043
0.0200350284576416:	imu;	yaw,	6.27882194519043
0.02567124366760254:	servo;	0
0.03423118591308594:	gps;	lat,	0.0|	long,	0.0|	found,	0
0.03656005859375:	motors;	0
0.036661386489868164:	imu;	yaw,	6.27882194519043
0.03936886787414551:	encoder;	counts,	0
0.041795969009399414:	servo;	0
0.041899681091308594:	imu;	yaw,	6.277731895446777
0.04598259925842285:	motors;	0
0.0460810661315918:	imu;	yaw,	6.277731895446777
0.049405813217163086:	servo;	0
0.05276012420654297:	imu;	yaw,	6.27664041519165
0.054244279861450195:	motors;	0
0.05747342109680176:	imu;	yaw,	6.27554988861084
0.0598604679107666:	servo;	0
0.06347227096557617:	motors;	0
0.065521240234375:	imu;	yaw,	6.27554988861084
0.06784296035766602:	servo;	0
0.07405209541320801:	motors;	0
0.07415556907653809:	imu;	yaw,	6.27554988861084
0.07709503173828125:	servo;	0
0.07911324501037598:	imu;	yaw,	6.274458885192871
0.08190226554870605:	motors;	0
0.08568978309631348:	imu;	yaw,	6.274458885192871
0.08673906326293945:	servo;	0
0.09308648109436035:	motors;	0
0.09321069717407227:	imu;	yaw,	6.274458885192871
0.09759759902954102:	servo;	0
0.09769630432128906:	imu;	yaw,	6.274458885192871
0.10055112838745117:	motors;	0
0.10709309577941895:	servo;	0
0.10719823837280273:	imu;	yaw,	6.274458885192871
0.11053776741027832:	motors;	0
0.11380219459533691:	imu;	yaw,	6.274458885192871
0.11556816101074219:	servo;	0
0.12157702445983887:	motors;	0
0.12170052528381348:	imu;	yaw,	6.274458885192871
0.12486577033996582:	servo;	0
0.12704706192016602:	imu;	yaw,	6.274458885192871
0.12933611869812012:	motors;	0
0.1325395107269287:	imu;	yaw,	6.274458885192871
0.13420414924621582:	servo;	0
0.13800287246704102:	imu;	yaw,	6.27554988861084
0.13884258270263672:	motors;	0
0.1449124813079834:	servo;	0
0.14501094818115234:	imu;	yaw,	6.27554988861084
0.14843297004699707:	motors;	0
0.1546463966369629:	servo;	0
0.15476131439208984:	imu;	yaw,	6.27554988861084
0.1570572853088379:	imu;	yaw,	6.27554988861084
0.15947747230529785:	motors;	0
0.16603541374206543:	servo;	0
0.1661696434020996:	imu;	yaw,	6.27664041519165
0.17100954055786133:	imu;	yaw,	6.27664041519165
0.17188811302185059:	motors;	0
0.17784357070922852:	servo;	0
0.17794394493103027:	imu;	yaw,	6.27664041519165
0.1815042495727539:	motors;	0
0.1845102310180664:	imu;	yaw,	6.27664041519165
0.18632197380065918:	servo;	0
0.18907976150512695:	imu;	yaw,	6.27664041519165
0.1902022361755371:	motors;	0
0.1965172290802002:	servo;	0
0.19662022590637207:	imu;	yaw,	6.27664041519165
0.2000880241394043:	motors;	0
0.20508766174316406:	servo;	0
0.2079753875732422:	imu;	yaw,	6.27664041519165
0.2101280689239502:	motors;	0
0.21657156944274902:	servo;	0
0.21670818328857422:	imu;	yaw,	6.27664041519165
0.21954941749572754:	motors;	0
0.22332429885864258:	imu;	yaw,	6.277731895446777
0.2243812084197998:	servo;	0
0.2301337718963623:	motors;	0
0.23022770881652832:	imu;	yaw,	6.277731895446777
0.23604154586791992:	servo;	0
0.23622608184814453:	imu;	yaw,	6.277731895446777
0.23967766761779785:	motors;	0
0.24339652061462402:	imu;	yaw,	6.277731895446777
0.24474859237670898:	servo;	0
0.24764657020568848:	imu;	yaw,	6.277731895446777
0.24936676025390625:	motors;	0
0.2555863857269287:	servo;	0
0.25568604469299316:	imu;	yaw,	6.277731895446777
0.2584505081176758:	motors;	0
0.26308584213256836:	imu;	yaw,	6.277731895446777
0.2640721797943115:	servo;	0
0.26964902877807617:	motors;	0
0.2697441577911377:	imu;	yaw,	6.277731895446777
0.2735435962677002:	servo;	0
0.27681899070739746:	imu;	yaw,	6.277731895446777
0.2785625457763672:	motors;	0
0.2845735549926758:	servo;	0
0.28467845916748047:	imu;	yaw,	6.277731895446777
0.2885620594024658:	motors;	0
0.28865623474121094:	imu;	yaw,	6.277731895446777
0.29361987113952637:	servo;	0
0.2971067428588867:	imu;	yaw,	6.277731895446777
0.2988152503967285:	motors;	0
0.3032855987548828:	servo;	0
0.30549001693725586:	imu;	yaw,	6.277731895446777
0.30806636810302734:	motors;	0
0.3113579750061035:	imu;	yaw,	6.277731895446777
0.31313109397888184:	servo;	0
0.31760072708129883:	imu;	yaw,	6.277731895446777
0.3184361457824707:	motors;	0
0.32317209243774414:	servo;	0
0.32515788078308105:	imu;	yaw,	6.277731895446777
0.32724952697753906:	motors;	0
0.33159565925598145:	imu;	yaw,	6.277731895446777
0.3324289321899414:	servo;	0
0.33681774139404297:	motors;	0
0.33890819549560547:	imu;	yaw,	6.277731895446777
0.34174466133117676:	servo;	0
0.34573864936828613:	imu;	yaw,	6.277731895446777
0.3466145992279053:	motors;	0
0.35204505920410156:	servo;	0
0.3521425724029541:	imu;	yaw,	6.277731895446777
0.3555891513824463:	motors;	0
0.3581233024597168:	imu;	yaw,	6.277731895446777
0.36039185523986816:	servo;	0
0.36729931831359863:	motors;	0
0.3674302101135254:	imu;	yaw,	6.277731895446777
0.3698313236236572:	servo;	0
0.37392640113830566:	imu;	yaw,	6.277731895446777
0.37478137016296387:	motors;	0
0.38068151473999023:	servo;	0
0.3807830810546875:	imu;	yaw,	6.277731895446777
0.38547539710998535:	motors;	0
0.3873624801635742:	imu;	yaw,	6.277731895446777
0.3904690742492676:	servo;	0
0.3968923091888428:	motors;	0
0.3970296382904053:	imu;	yaw,	6.277731895446777
0.401775598526001:	imu;	yaw,	6.27882194519043
0.40289735794067383:	servo;	0
0.4074738025665283:	motors;	0
0.40929722785949707:	imu;	yaw,	6.27882194519043
0.4122781753540039:	servo;	0
0.4156157970428467:	imu;	yaw,	6.27882194519043
0.4166834354400635:	motors;	0
