0.16850519180297852:	servo;	0
0.1707592010498047:	gps;	lat,	42.42728805541992|	long,	71.42089080810547|	altitude,	0.0|	found,	11
0.17093205451965332:	imu;	yaw,	4.349142551422119
0.17109441757202148:	encoder;	counts,	0
0.17130613327026367:	altitude;	altitude,	74.45928192138672
0.17145109176635742:	imu;	yaw,	4.349142551422119
0.1716461181640625:	imu;	yaw,	4.349142551422119
0.1717851161956787:	imu;	yaw,	4.349142551422119
0.17192459106445312:	imu;	yaw,	4.349142551422119
0.17206430435180664:	imu;	yaw,	4.349142551422119
0.172210693359375:	imu;	yaw,	4.349142551422119
0.17240023612976074:	imu;	yaw,	4.349142551422119
0.17253804206848145:	imu;	yaw,	4.349142551422119
0.17283153533935547:	imu;	yaw,	4.349142551422119
0.17304563522338867:	imu;	yaw,	4.349142551422119
0.17318296432495117:	imu;	yaw,	4.349142551422119
0.17335748672485352:	imu;	yaw,	4.349142551422119
0.17350029945373535:	imu;	yaw,	4.349142551422119
0.17363715171813965:	altitude;	altitude,	74.45928192138672
0.1738126277923584:	imu;	yaw,	4.349142551422119
0.17395639419555664:	imu;	yaw,	4.349142551422119
0.17409276962280273:	imu;	yaw,	4.349142551422119
0.17422890663146973:	imu;	yaw,	4.349142551422119
0.17436456680297852:	imu;	yaw,	4.349142551422119
0.17453956604003906:	imu;	yaw,	4.349142551422119
0.17467594146728516:	imu;	yaw,	4.349142551422119
0.17481255531311035:	imu;	yaw,	4.349142551422119
0.17499279975891113:	imu;	yaw,	4.349142551422119
0.1757822036743164:	servo;	0
0.1766672134399414:	imu;	yaw,	4.349142551422119
0.1768476963043213:	imu;	yaw,	4.349142551422119
0.17702460289001465:	imu;	yaw,	4.349142551422119
0.17728567123413086:	imu;	yaw,	4.349142551422119
0.17743301391601562:	imu;	yaw,	4.349142551422119
0.17758727073669434:	imu;	yaw,	4.349142551422119
0.1777496337890625:	imu;	yaw,	4.349142551422119
0.17791461944580078:	imu;	yaw,	4.349142551422119
0.17807626724243164:	imu;	yaw,	4.349142551422119
0.17835474014282227:	imu;	yaw,	4.349142551422119
0.17851996421813965:	imu;	yaw,	4.349142551422119
0.17868542671203613:	altitude;	altitude,	74.45928192138672
0.17885303497314453:	imu;	yaw,	4.349142551422119
0.17901396751403809:	imu;	yaw,	4.349142551422119
0.1791679859161377:	imu;	yaw,	4.349142551422119
0.17941546440124512:	imu;	yaw,	4.349142551422119
0.17957711219787598:	imu;	yaw,	4.349142551422119
0.17973113059997559:	imu;	yaw,	4.349142551422119
0.17989230155944824:	imu;	yaw,	4.349142551422119
0.18005156517028809:	imu;	yaw,	4.349142551422119
0.18021249771118164:	imu;	yaw,	4.349142551422119
0.18042945861816406:	imu;	yaw,	4.349142551422119
0.1806936264038086:	imu;	yaw,	4.349142551422119
0.18092107772827148:	imu;	yaw,	4.349142551422119
0.18111658096313477:	imu;	yaw,	4.349142551422119
0.18129539489746094:	imu;	yaw,	4.349142551422119
0.18157625198364258:	imu;	yaw,	4.349142551422119
0.1822798252105713:	servo;	0
0.182877779006958:	imu;	yaw,	4.349142551422119
0.1830897331237793:	imu;	yaw,	4.349142551422119
0.1832599639892578:	imu;	yaw,	4.349142551422119
0.18343472480773926:	imu;	yaw,	4.349142551422119
0.1836256980895996:	imu;	yaw,	4.349142551422119
0.1839151382446289:	altitude;	altitude,	74.45928192138672
0.1841142177581787:	imu;	yaw,	4.349142551422119
0.1842663288116455:	imu;	yaw,	4.349142551422119
