0.14657998085021973:	servo;	-2
0.14940309524536133:	gps;	lat,	42.42731857299805|	long,	-71.42088317871094|	altitude,	82.80000305175781|	found,	11
0.1496443748474121:	imu;	yaw,	1.5620696544647217
0.149871826171875:	encoder;	counts,	0
0.15009546279907227:	altitude;	altitude,	69.46537780761719
0.1502988338470459:	imu;	yaw,	1.5620696544647217
0.15047287940979004:	imu;	yaw,	1.5620696544647217
0.15063214302062988:	imu;	yaw,	1.5620696544647217
0.1507878303527832:	imu;	yaw,	1.5620696544647217
0.15094470977783203:	imu;	yaw,	1.5620696544647217
0.15109968185424805:	imu;	yaw,	1.5620696544647217
0.15124988555908203:	imu;	yaw,	1.5620696544647217
0.15140008926391602:	imu;	yaw,	1.5620696544647217
0.15180277824401855:	servo;	-2
0.1566026210784912:	servo;	-2
0.16152024269104004:	servo;	-2
0.16649174690246582:	servo;	-2
0.17150354385375977:	servo;	-2
0.17628216743469238:	servo;	-2
0.1812121868133545:	servo;	-2
0.18599939346313477:	servo;	-2
0.19091486930847168:	servo;	-2
0.19717645645141602:	servo;	-2
0.20197534561157227:	servo;	-2
0.2066032886505127:	servo;	-2
0.21144747734069824:	servo;	-2
0.2640721797943115:	gps;	lat,	42.42731857299805|	long,	-71.42088317871094|	altitude,	82.80000305175781|	found,	11
0.270709753036499:	imu;	yaw,	1.5620696544647217
0.2774317264556885:	imu;	yaw,	1.5620696544647217
0.2809140682220459:	imu;	yaw,	1.5620696544647217
0.28751587867736816:	imu;	yaw,	1.5620696544647217
0.29167842864990234:	imu;	yaw,	1.5620696544647217
0.29892873764038086:	imu;	yaw,	1.5620696544647217
0.3028552532196045:	imu;	yaw,	1.5620696544647217
0.3095378875732422:	altitude;	altitude,	69.46537780761719
0.31365227699279785:	imu;	yaw,	1.5620696544647217
0.31844282150268555:	imu;	yaw,	1.5620696544647217
0.3219642639160156:	imu;	yaw,	1.5620696544647217
0.33036160469055176:	imu;	yaw,	1.5620696544647217
0.33089709281921387:	servo;	-2
0.33666038513183594:	imu;	yaw,	1.5620696544647217
0.3383908271789551:	servo;	-2
0.3431410789489746:	imu;	yaw,	1.5620696544647217
0.3501322269439697:	imu;	yaw,	1.5620696544647217
0.35664987564086914:	imu;	yaw,	1.5620696544647217
0.360379695892334:	imu;	yaw,	1.5620696544647217
0.36620378494262695:	imu;	yaw,	1.5620696544647217
0.37021827697753906:	servo;	-2
0.37120485305786133:	imu;	yaw,	1.5620696544647217
0.37835693359375:	imu;	yaw,	1.5620696544647217
0.3827183246612549:	servo;	-2
0.3839118480682373:	imu;	yaw,	1.5620696544647217
0.38993167877197266:	servo;	-2
0.3906571865081787:	imu;	yaw,	1.5620696544647217
0.39980483055114746:	imu;	yaw,	1.5620696544647217
0.40244579315185547:	servo;	-2
0.40624141693115234:	imu;	yaw,	1.5620696544647217
0.41037440299987793:	servo;	-2
0.41393589973449707:	imu;	yaw,	1.5620696544647217
0.42036867141723633:	imu;	yaw,	1.5620696544647217
0.4270198345184326:	imu;	yaw,	1.5620696544647217
0.43085813522338867:	imu;	yaw,	1.5620696544647217
0.4360334873199463:	altitude;	altitude,	69.46537780761719
0.4412405490875244:	imu;	yaw,	1.5620696544647217
0.44718360900878906:	imu;	yaw,	1.5620696544647217
0.45761966705322266:	imu;	yaw,	1.5620696544647217
0.45786523818969727:	imu;	yaw,	1.5620696544647217
0.4582381248474121:	servo;	-2
0.46175479888916016:	imu;	yaw,	1.5620696544647217
0.4706451892852783:	imu;	yaw,	1.5620696544647217
0.4756355285644531:	imu;	yaw,	1.5620696544647217
0.4811680316925049:	imu;	yaw,	1.5620696544647217
0.48778772354125977:	imu;	yaw,	1.5620696544647217
0.49095964431762695:	imu;	yaw,	1.5620696544647217
0.49164509773254395:	servo;	-2
0.4980285167694092:	servo;	-2
0.49946069717407227:	imu;	yaw,	1.5620696544647217
0.5090339183807373:	imu;	yaw,	1.5620696544647217
0.5122799873352051:	imu;	yaw,	1.5620696544647217
0.5169167518615723:	imu;	yaw,	1.5620696544647217
0.5216977596282959:	imu;	yaw,	1.5620696544647217
0.527839183807373:	imu;	yaw,	1.5620696544647217
0.5318112373352051:	imu;	yaw,	1.5620696544647217
0.5393359661102295:	imu;	yaw,	1.5620696544647217
0.5422437191009521:	servo;	-2
0.5432980060577393:	imu;	yaw,	1.5620696544647217
0.5497174263000488:	imu;	yaw,	1.5620696544647217
0.5505616664886475:	servo;	-2
0.5625216960906982:	altitude;	altitude,	69.4759521484375
0.565997838973999:	imu;	yaw,	1.5620696544647217
0.5728223323822021:	imu;	yaw,	1.5620696544647217
0.5789797306060791:	imu;	yaw,	1.5620696544647217
0.5817527770996094:	servo;	-2
0.5828711986541748:	imu;	yaw,	1.5620696544647217
0.5923113822937012:	imu;	yaw,	1.5620696544647217
0.5979394912719727:	imu;	yaw,	1.5620696544647217
0.6019155979156494:	imu;	yaw,	1.5620696544647217
0.609633207321167:	imu;	yaw,	1.5620696544647217
0.6130893230438232:	imu;	yaw,	1.5620696544647217
0.6201403141021729:	imu;	yaw,	1.5620696544647217
0.6231589317321777:	imu;	yaw,	1.5620696544647217
0.6302552223205566:	imu;	yaw,	1.5620696544647217
0.6307961940765381:	servo;	-2
0.6339495182037354:	imu;	yaw,	1.5620696544647217
0.6381573677062988:	servo;	-2
0.6421782970428467:	imu;	yaw,	1.5620696544647217
0.6441335678100586:	servo;	-2
0.6509487628936768:	imu;	yaw,	1.5620696544647217
0.6589512825012207:	imu;	yaw,	1.5620696544647217
0.6624011993408203:	imu;	yaw,	1.5620696544647217
0.6671168804168701:	imu;	yaw,	1.5620696544647217
0.6723911762237549:	imu;	yaw,	1.5620696544647217
0.6766016483306885:	imu;	yaw,	1.5620696544647217
0.6787083148956299:	servo;	-2
0.682288646697998:	altitude;	altitude,	69.4759521484375
0.6862759590148926:	imu;	yaw,	1.5620696544647217
0.6902902126312256:	servo;	-2
0.693962812423706:	imu;	yaw,	1.5620696544647217
0.6984460353851318:	servo;	-2
0.7022998332977295:	imu;	yaw,	1.5620696544647217
0.7044191360473633:	servo;	-2
0.7108852863311768:	imu;	yaw,	1.5620696544647217
0.7154991626739502:	imu;	yaw,	1.5620696544647217
0.7233736515045166:	imu;	yaw,	1.5620696544647217
0.7288799285888672:	imu;	yaw,	1.5620696544647217
0.7334637641906738:	imu;	yaw,	1.5620696544647217
0.7403321266174316:	imu;	yaw,	1.5620696544647217
0.7422597408294678:	servo;	-2
0.7443623542785645:	imu;	yaw,	1.5620696544647217
0.7530968189239502:	imu;	yaw,	1.5620696544647217
0.7698500156402588:	imu;	yaw,	1.5620696544647217
0.7701826095581055:	imu;	yaw,	1.5620696544647217
0.7704007625579834:	imu;	yaw,	1.5620696544647217
0.7730617523193359:	imu;	yaw,	1.5620696544647217
0.7784717082977295:	imu;	yaw,	1.5620696544647217
0.7788481712341309:	servo;	-2
0.7840640544891357:	imu;	yaw,	1.5620696544647217
0.7923307418823242:	imu;	yaw,	1.5620696544647217
0.7961881160736084:	imu;	yaw,	1.5620696544647217
0.802703857421875:	imu;	yaw,	1.5620696544647217
0.8064827919006348:	altitude;	altitude,	69.27777862548828
0.8126709461212158:	imu;	yaw,	1.5620696544647217
0.8168880939483643:	imu;	yaw,	1.5620696544647217
0.818819522857666:	servo;	-2
0.8237581253051758:	imu;	yaw,	1.5620696544647217
0.825537919998169:	servo;	-2
0.8312032222747803:	imu;	yaw,	1.5620696544647217
0.8397185802459717:	imu;	yaw,	1.5620696544647217
0.8437666893005371:	imu;	yaw,	1.5620696544647217
0.8502802848815918:	imu;	yaw,	1.5620696544647217
0.8507339954376221:	servo;	-2
0.8542308807373047:	imu;	yaw,	1.5620696544647217
0.8585851192474365:	servo;	-2
0.8627758026123047:	imu;	yaw,	1.5620696544647217
0.8714253902435303:	imu;	yaw,	1.5620696544647217
0.8769183158874512:	imu;	yaw,	1.5620696544647217
0.8778648376464844:	servo;	-2
0.8830318450927734:	imu;	yaw,	1.5620696544647217
0.883861780166626:	servo;	-2
0.8908941745758057:	imu;	yaw,	1.5620696544647217
0.8995966911315918:	imu;	yaw,	1.5620696544647217
0.9026844501495361:	servo;	-2
0.9043397903442383:	imu;	yaw,	1.5620696544647217
0.9096109867095947:	imu;	yaw,	1.5620696544647217
0.9162435531616211:	imu;	yaw,	1.5620696544647217
0.9220998287200928:	imu;	yaw,	1.5620696544647217
0.9273133277893066:	imu;	yaw,	1.5620696544647217
0.9299132823944092:	servo;	-2
0.9341483116149902:	imu;	yaw,	1.5620696544647217
0.9416146278381348:	altitude;	altitude,	69.27777862548828
0.9455547332763672:	imu;	yaw,	1.5620696544647217
0.9507026672363281:	imu;	yaw,	1.5620696544647217
0.9541175365447998:	imu;	yaw,	1.5620696544647217
0.9623901844024658:	imu;	yaw,	1.5620696544647217
0.9656131267547607:	imu;	yaw,	1.5620696544647217
0.9741730690002441:	imu;	yaw,	1.5620696544647217
0.9829528331756592:	imu;	yaw,	1.5620696544647217
0.9864482879638672:	imu;	yaw,	1.5620696544647217
0.9914755821228027:	imu;	yaw,	1.5620696544647217
0.9973328113555908:	imu;	yaw,	1.5620696544647217
0.9980685710906982:	servo;	-2
1.0031311511993408:	imu;	yaw,	1.5620696544647217
1.010932207107544:	imu;	yaw,	1.5620696544647217
1.0160019397735596:	imu;	yaw,	1.5620696544647217
1.0188114643096924:	servo;	-2
1.0198028087615967:	imu;	yaw,	1.5620696544647217
1.0287353992462158:	imu;	yaw,	1.5620696544647217
1.0334444046020508:	imu;	yaw,	1.5620696544647217
1.0401027202606201:	imu;	yaw,	1.5620696544647217
1.0439910888671875:	imu;	yaw,	1.5620696544647217
1.051187515258789:	imu;	yaw,	1.5620696544647217
1.0550425052642822:	imu;	yaw,	1.5620696544647217
1.06034255027771:	altitude;	altitude,	69.27777862548828
1.0643417835235596:	imu;	yaw,	1.5620696544647217
1.0695507526397705:	imu;	yaw,	1.5620696544647217
1.1380441188812256:	servo;	-2
1.1497747898101807:	servo;	-2
1.1862294673919678:	gps;	lat,	42.42731857299805|	long,	-71.42088317871094|	altitude,	82.80000305175781|	found,	11
1.1937682628631592:	imu;	yaw,	1.5620696544647217
1.1971559524536133:	imu;	yaw,	1.5620696544647217
1.1987733840942383:	servo;	-2
1.2039768695831299:	imu;	yaw,	1.5620696544647217
1.2103612422943115:	servo;	-2
1.211289882659912:	imu;	yaw,	1.5620696544647217
1.2166898250579834:	imu;	yaw,	1.5620696544647217
1.226170301437378:	imu;	yaw,	1.5620696544647217
1.230778694152832:	imu;	yaw,	1.5620696544647217
1.2360031604766846:	imu;	yaw,	1.5620696544647217
1.2430870532989502:	imu;	yaw,	1.5620696544647217
1.2463388442993164:	imu;	yaw,	1.5620696544647217
1.2543461322784424:	imu;	yaw,	1.5620696544647217
1.2579820156097412:	imu;	yaw,	1.5620696544647217
1.2642865180969238:	imu;	yaw,	1.5620696544647217
1.2684693336486816:	imu;	yaw,	1.5620696544647217
1.2753336429595947:	imu;	yaw,	1.5620696544647217
1.2793538570404053:	imu;	yaw,	1.5620696544647217
1.2857704162597656:	imu;	yaw,	1.5620696544647217
1.2899982929229736:	servo;	-2
1.2922439575195312:	imu;	yaw,	1.5620696544647217
1.2997386455535889:	altitude;	altitude,	69.72432708740234
1.3049428462982178:	imu;	yaw,	1.5620696544647217
1.3082551956176758:	imu;	yaw,	1.5620696544647217
1.316741704940796:	imu;	yaw,	1.5620696544647217
1.3183953762054443:	servo;	-2
