0.15267610549926758:	motors;	0
0.15636229515075684:	gps;	lat,	42.42729187011719|	long,	-71.42085266113281|	altitude,	82.80000305175781|	found,	12
0.15682744979858398:	imu;	yaw,	1.2653636932373047
0.15719294548034668:	encoder;	counts,	0
0.15748023986816406:	altitude;	altitude,	69.39139556884766
0.15804743766784668:	imu;	yaw,	1.2653636932373047
0.15860414505004883:	imu;	yaw,	1.2653636932373047
0.15906095504760742:	imu;	yaw,	1.2653636932373047
0.15934062004089355:	imu;	yaw,	1.2653636932373047
0.15950965881347656:	imu;	yaw,	1.2653636932373047
0.15965914726257324:	imu;	yaw,	1.2653636932373047
0.15980052947998047:	imu;	yaw,	1.2653636932373047
0.1601555347442627:	imu;	yaw,	1.2653636932373047
0.16030502319335938:	imu;	yaw,	1.2653636932373047
0.1604938507080078:	imu;	yaw,	1.2653636932373047
0.1606447696685791:	altitude;	altitude,	69.39139556884766
0.16078734397888184:	imu;	yaw,	1.2653636932373047
0.16093063354492188:	imu;	yaw,	1.2653636932373047
0.16106867790222168:	imu;	yaw,	1.2653636932373047
0.16126418113708496:	imu;	yaw,	1.2653636932373047
0.16140294075012207:	imu;	yaw,	1.2653636932373047
0.16158246994018555:	imu;	yaw,	1.2653636932373047
0.16172337532043457:	imu;	yaw,	1.2653636932373047
0.16186070442199707:	imu;	yaw,	1.2653636932373047
0.16199851036071777:	imu;	yaw,	1.2653636932373047
0.16213631629943848:	imu;	yaw,	1.2653636932373047
0.16232752799987793:	imu;	yaw,	1.2653636932373047
0.1624748706817627:	imu;	yaw,	1.2653636932373047
0.1626591682434082:	imu;	yaw,	1.2653636932373047
0.16294622421264648:	motors;	0
0.163435697555542:	imu;	yaw,	1.2653636932373047
0.16363048553466797:	imu;	yaw,	1.2653636932373047
0.16378355026245117:	imu;	yaw,	1.2653636932373047
0.16392230987548828:	imu;	yaw,	1.2653636932373047
0.16405963897705078:	imu;	yaw,	1.2653636932373047
0.16419768333435059:	imu;	yaw,	1.2653636932373047
0.1643378734588623:	imu;	yaw,	1.2653636932373047
0.1645364761352539:	altitude;	altitude,	69.39139556884766
0.16471171379089355:	imu;	yaw,	1.2653636932373047
0.1648550033569336:	imu;	yaw,	1.2653636932373047
0.1649928092956543:	imu;	yaw,	1.2653636932373047
0.1651296615600586:	imu;	yaw,	1.2653636932373047
0.1652662754058838:	imu;	yaw,	1.2653636932373047
0.1654033660888672:	imu;	yaw,	1.2653636932373047
0.1655893325805664:	imu;	yaw,	1.2653636932373047
0.16572809219360352:	imu;	yaw,	1.2653636932373047
0.16695117950439453:	imu;	yaw,	1.2653636932373047
0.16710114479064941:	imu;	yaw,	1.2653636932373047
0.1695868968963623:	imu;	yaw,	1.2653636932373047
0.1721351146697998:	motors;	0
0.17596864700317383:	imu;	yaw,	1.2653636932373047
0.1801283359527588:	motors;	0
0.18401265144348145:	imu;	yaw,	1.2653636932373047
0.19337034225463867:	imu;	yaw,	1.2653636932373047
0.19711828231811523:	imu;	yaw,	1.2653636932373047
0.20259809494018555:	imu;	yaw,	1.2653636932373047
0.2092127799987793:	imu;	yaw,	1.2653636932373047
0.21342134475708008:	imu;	yaw,	1.2653636932373047
