0.16182160377502441:	gps;	lat,	42.42729568481445|	long,	-71.42086791992188|	altitude,	82.80000305175781|	found,	12
0.16215133666992188:	imu;	yaw,	1.4758942127227783
0.16231441497802734:	encoder;	counts,	0
0.16245627403259277:	altitude;	altitude,	69.43631744384766
0.16259336471557617:	imu;	yaw,	1.4758942127227783
0.1627342700958252:	imu;	yaw,	1.4758942127227783
0.16298842430114746:	imu;	yaw,	1.4758942127227783
0.16315102577209473:	imu;	yaw,	1.4758942127227783
0.16328787803649902:	imu;	yaw,	1.4758942127227783
0.16342568397521973:	imu;	yaw,	1.4758942127227783
0.16360855102539062:	imu;	yaw,	1.4758942127227783
0.16381025314331055:	imu;	yaw,	1.4758942127227783
0.16406893730163574:	imu;	yaw,	1.4758942127227783
0.1642289161682129:	imu;	yaw,	1.4758942127227783
0.16438674926757812:	imu;	yaw,	1.4758942127227783
0.1645214557647705:	imu;	yaw,	1.4758942127227783
0.1646561622619629:	imu;	yaw,	1.4758942127227783
0.16482210159301758:	imu;	yaw,	1.4758942127227783
0.1650393009185791:	imu;	yaw,	1.4758942127227783
0.1651771068572998:	imu;	yaw,	1.4758942127227783
0.16532540321350098:	imu;	yaw,	1.4758942127227783
0.16547799110412598:	imu;	yaw,	1.4758942127227783
0.1656341552734375:	altitude;	altitude,	69.43631744384766
0.1657869815826416:	imu;	yaw,	1.4758942127227783
0.16597962379455566:	imu;	yaw,	1.4758942127227783
0.16611981391906738:	imu;	yaw,	1.4758942127227783
0.16625761985778809:	imu;	yaw,	1.4758942127227783
0.16639232635498047:	imu;	yaw,	1.4758942127227783
0.16653871536254883:	imu;	yaw,	1.4758942127227783
0.16669011116027832:	imu;	yaw,	1.4758942127227783
0.16685986518859863:	imu;	yaw,	1.4758942127227783
0.16726040840148926:	imu;	yaw,	1.4758942127227783
0.16742324829101562:	imu;	yaw,	1.4758942127227783
0.16756272315979004:	imu;	yaw,	1.4758942127227783
0.16782784461975098:	imu;	yaw,	1.4758942127227783
0.1681222915649414:	imu;	yaw,	1.4758942127227783
0.16835904121398926:	imu;	yaw,	1.4758942127227783
0.1685032844543457:	imu;	yaw,	1.4758942127227783
0.1686389446258545:	imu;	yaw,	1.4758942127227783
0.16880106925964355:	imu;	yaw,	1.4758942127227783
0.16900634765625:	imu;	yaw,	1.4758942127227783
0.1691582202911377:	imu;	yaw,	1.4758942127227783
0.17050790786743164:	imu;	yaw,	1.4758942127227783
0.1706829071044922:	altitude;	altitude,	69.43631744384766
0.17244815826416016:	imu;	yaw,	1.4758942127227783
0.17786145210266113:	imu;	yaw,	1.4758942127227783
0.18802142143249512:	imu;	yaw,	1.4758942127227783
0.19263792037963867:	imu;	yaw,	1.4758942127227783
0.19829058647155762:	imu;	yaw,	1.4758942127227783
0.2019059658050537:	imu;	yaw,	1.4758942127227783
0.20735430717468262:	imu;	yaw,	1.4758942127227783
0.2124953269958496:	imu;	yaw,	1.4758942127227783
0.21978187561035156:	imu;	yaw,	1.4758942127227783
0.22421932220458984:	imu;	yaw,	1.4758942127227783
0.23027586936950684:	imu;	yaw,	1.4758942127227783
0.2341775894165039:	imu;	yaw,	1.4758942127227783
0.2426893711090088:	imu;	yaw,	1.4758942127227783
0.2475271224975586:	imu;	yaw,	1.4758942127227783
0.25248241424560547:	imu;	yaw,	1.4758942127227783
0.2557046413421631:	imu;	yaw,	1.4758942127227783
0.26070570945739746:	imu;	yaw,	1.4758942127227783
0.26831746101379395:	imu;	yaw,	1.4758942127227783
0.2722306251525879:	imu;	yaw,	1.4758942127227783
0.27855372428894043:	imu;	yaw,	1.4758942127227783
0.28412461280822754:	altitude;	altitude,	69.43631744384766
0.29348134994506836:	imu;	yaw,	1.4758942127227783
0.2946147918701172:	imu;	yaw,	1.4758942127227783
0.30147767066955566:	imu;	yaw,	1.4758942127227783
0.30564308166503906:	imu;	yaw,	1.4758942127227783
0.31057143211364746:	imu;	yaw,	1.4758942127227783
0.31833314895629883:	imu;	yaw,	1.4758942127227783
0.32216691970825195:	imu;	yaw,	1.4758942127227783
0.33035778999328613:	imu;	yaw,	1.4758942127227783
0.33359742164611816:	imu;	yaw,	1.4758942127227783
0.34206247329711914:	imu;	yaw,	1.4758942127227783
0.3458077907562256:	imu;	yaw,	1.4758942127227783
0.35326099395751953:	imu;	yaw,	1.4758942127227783
0.3565666675567627:	imu;	yaw,	1.4758942127227783
0.3621039390563965:	imu;	yaw,	1.4758942127227783
0.3684241771697998:	imu;	yaw,	1.4758942127227783
0.3721930980682373:	imu;	yaw,	1.4758942127227783
0.37970924377441406:	imu;	yaw,	1.4758942127227783
0.38374757766723633:	imu;	yaw,	1.4758942127227783
0.38982391357421875:	imu;	yaw,	1.4758942127227783
0.39411044120788574:	imu;	yaw,	1.4758942127227783
0.3999795913696289:	altitude;	altitude,	69.27249145507812
0.4041123390197754:	imu;	yaw,	1.4758942127227783
0.4082651138305664:	imu;	yaw,	1.4758942127227783
0.413607120513916:	imu;	yaw,	1.4758942127227783
0.42067527770996094:	imu;	yaw,	1.4758942127227783
0.4248383045196533:	imu;	yaw,	1.4758942127227783
0.43160510063171387:	imu;	yaw,	1.4758942127227783
0.4353141784667969:	imu;	yaw,	1.4758942127227783
0.44373536109924316:	imu;	yaw,	1.4758942127227783
0.4505350589752197:	imu;	yaw,	1.4758942127227783
0.4545481204986572:	imu;	yaw,	1.4758942127227783
0.46083879470825195:	imu;	yaw,	1.4758942127227783
0.46560120582580566:	imu;	yaw,	1.4758942127227783
0.4722456932067871:	imu;	yaw,	1.4758942127227783
0.4795677661895752:	imu;	yaw,	1.4758942127227783
0.4836752414703369:	imu;	yaw,	1.4758942127227783
0.4897193908691406:	imu;	yaw,	1.4758942127227783
0.4951207637786865:	imu;	yaw,	1.4758942127227783
0.5023689270019531:	imu;	yaw,	1.4758942127227783
0.507819414138794:	imu;	yaw,	1.4758942127227783
0.5131242275238037:	imu;	yaw,	1.4758942127227783
0.5179274082183838:	altitude;	altitude,	69.27249145507812
0.5232260227203369:	imu;	yaw,	1.4758942127227783
0.5293855667114258:	imu;	yaw,	1.4758942127227783
0.534792423248291:	imu;	yaw,	1.4758942127227783
0.5407674312591553:	imu;	yaw,	1.4758942127227783
0.5461530685424805:	imu;	yaw,	1.4758942127227783
0.5535073280334473:	imu;	yaw,	1.4758942127227783
0.5588483810424805:	imu;	yaw,	1.4758942127227783
0.5629644393920898:	imu;	yaw,	1.4758942127227783
0.5706915855407715:	imu;	yaw,	1.4758942127227783
0.5759422779083252:	imu;	yaw,	1.4758942127227783
0.5822889804840088:	imu;	yaw,	1.4758942127227783
0.5896520614624023:	imu;	yaw,	1.4758942127227783
0.5955562591552734:	imu;	yaw,	1.4758942127227783
0.6022293567657471:	imu;	yaw,	1.4758942127227783
0.606544017791748:	imu;	yaw,	1.4758942127227783
