0.17116475105285645:	servo;	-2
0.17466998100280762:	gps;	found,	12|	long,	-71.42084503173828|	lat,	42.42726516723633|	altitude,	89.80000305175781
0.17511844635009766:	imu;	yaw,	-4.200789451599121
0.17553210258483887:	encoder;	counts,	0
0.17590641975402832:	altitude;	altitude,	72.8237075805664
0.1764388084411621:	altitude;	altitude,	72.95846557617188
0.17682528495788574:	altitude;	altitude,	72.95846557617188
0.17719006538391113:	altitude;	altitude,	73.0324478149414
0.17757201194763184:	altitude;	altitude,	72.9848861694336
0.17793655395507812:	altitude;	altitude,	72.74708557128906
0.2070293426513672:	altitude;	altitude,	72.95846557617188
0.23512887954711914:	altitude;	altitude,	72.9716796875
0.25205373764038086:	imu;	yaw,	-4.199698448181152
0.2714240550994873:	altitude;	altitude,	72.9716796875
0.2821047306060791:	imu;	yaw,	-4.200789451599121
0.3006591796875:	servo;	-1
0.305619478225708:	altitude;	altitude,	73.14078521728516
0.31273388862609863:	servo;	-2
0.32929563522338867:	servo;	-1
0.3609156608581543:	servo;	-2
0.4485311508178711:	gps;	found,	12|	long,	-71.42084503173828|	lat,	42.42726516723633|	altitude,	89.80000305175781
0.45829105377197266:	altitude;	altitude,	73.33631134033203
0.4870758056640625:	altitude;	altitude,	73.05622863769531
0.5157985687255859:	altitude;	altitude,	72.94525909423828
0.5462424755096436:	altitude;	altitude,	73.06944274902344
0.5824422836303711:	altitude;	altitude,	72.81578063964844
0.6132462024688721:	altitude;	altitude,	73.23590850830078
0.6449589729309082:	altitude;	altitude,	73.23590850830078
0.6754913330078125:	altitude;	altitude,	73.20155334472656
0.7068850994110107:	altitude;	altitude,	72.90826416015625
0.7383201122283936:	altitude;	altitude,	72.95846557617188
0.7669987678527832:	altitude;	altitude,	72.96375274658203
0.7973036766052246:	altitude;	altitude,	72.87919616699219
0.8264181613922119:	altitude;	altitude,	73.17249298095703
0.8405227661132812:	motors;	0
0.8596572875976562:	altitude;	altitude,	73.13285827636719
0.8898181915283203:	altitude;	altitude,	73.13285827636719
0.9213473796844482:	altitude;	altitude,	72.76029968261719
0.9516265392303467:	altitude;	altitude,	72.92940521240234
0.9775443077087402:	altitude;	altitude,	72.99810028076172
1.0103232860565186:	altitude;	altitude,	72.9716796875
1.0327520370483398:	motors;	100
1.039536476135254:	altitude;	altitude,	72.88712310791016
1.0708606243133545:	altitude;	altitude,	72.88712310791016
1.1007916927337646:	altitude;	altitude,	73.04037475585938
1.107297658920288:	imu;	yaw,	-4.199698448181152
1.117614507675171:	imu;	yaw,	-4.198607921600342
1.1209800243377686:	encoder;	counts,	1
1.1262576580047607:	imu;	yaw,	-4.197516918182373
1.13641357421875:	imu;	yaw,	-4.199698448181152
1.1462345123291016:	imu;	yaw,	-4.204061985015869
1.1576099395751953:	imu;	yaw,	-4.2029709815979
1.164384126663208:	altitude;	altitude,	72.9029769897461
1.1689071655273438:	imu;	yaw,	-4.200789451599121
1.193629264831543:	altitude;	altitude,	73.06944274902344
1.20790433883667:	imu;	yaw,	-4.20188045501709
1.2184672355651855:	imu;	yaw,	-4.2029709815979
1.2253086566925049:	altitude;	altitude,	73.0535888671875
1.2467069625854492:	imu;	yaw,	-4.20188045501709
1.2661268711090088:	altitude;	altitude,	73.01395416259766
1.2704877853393555:	imu;	yaw,	-4.200789451599121
1.2952792644500732:	altitude;	altitude,	72.9848861694336
1.310718059539795:	encoder;	counts,	2
1.326639175415039:	altitude;	altitude,	73.25176239013672
1.33030104637146:	imu;	yaw,	-4.20188045501709
1.3530395030975342:	servo;	-1
1.3694133758544922:	servo;	-2
1.377366065979004:	servo;	-1
1.3845667839050293:	servo;	-2
1.4090027809143066:	servo;	-1
1.4149885177612305:	servo;	-2
1.4767813682556152:	servo;	-1
1.482945442199707:	servo;	-2
1.4887819290161133:	servo;	-4
1.5272369384765625:	gps;	found,	12|	long,	-71.42084503173828|	lat,	42.42726135253906|	altitude,	89.80000305175781
1.531388759613037:	encoder;	counts,	4
1.5391807556152344:	imu;	yaw,	-4.216061115264893
1.5498569011688232:	imu;	yaw,	-4.217152118682861
1.5531883239746094:	servo;	-6
1.5584313869476318:	imu;	yaw,	-4.218242645263672
1.5604565143585205:	servo;	-7
1.5685551166534424:	servo;	-9
1.579707145690918:	altitude;	altitude,	73.01395416259766
1.584878921508789:	imu;	yaw,	-4.219333648681641
1.5889883041381836:	imu;	yaw,	-4.220424175262451
1.5972068309783936:	servo;	-10
1.5992119312286377:	imu;	yaw,	-4.22151517868042
1.6053221225738525:	servo;	-11
1.6184968948364258:	encoder;	counts,	5
1.6235013008117676:	imu;	yaw,	-4.222606182098389
1.6305103302001953:	altitude;	altitude,	72.9716796875
1.6378517150878906:	servo;	-12
1.64396333694458:	servo;	-14
1.6500849723815918:	servo;	-19
1.656372308731079:	servo;	-21
1.6626787185668945:	servo;	-22
1.667464256286621:	motors;	0
1.6695756912231445:	altitude;	altitude,	73.04037475585938
1.6720471382141113:	servo;	-23
1.6786952018737793:	servo;	-24
1.6949586868286133:	encoder;	counts,	6
1.7075543403625488:	altitude;	altitude,	72.94525909423828
1.7203280925750732:	imu;	yaw,	-4.22151517868042
1.7305657863616943:	imu;	yaw,	-4.220424175262451
1.7406551837921143:	motors;	100
1.7452661991119385:	altitude;	altitude,	72.99281311035156
1.750220775604248:	imu;	yaw,	-4.214970111846924
1.7608726024627686:	imu;	yaw,	-4.211697578430176
1.7655880451202393:	encoder;	counts,	7
1.7713289260864258:	imu;	yaw,	-4.2095160484313965
1.7803163528442383:	imu;	yaw,	-4.208425045013428
1.7898645401000977:	imu;	yaw,	-4.211697578430176
1.7998337745666504:	imu;	yaw,	-4.217152118682861
1.8120839595794678:	altitude;	altitude,	72.99810028076172
1.8132143020629883:	servo;	-23
1.8158304691314697:	imu;	yaw,	-4.222606182098389
1.8241338729858398:	imu;	yaw,	-4.230241775512695
1.829071283340454:	servo;	-22
1.8303978443145752:	imu;	yaw,	-4.23787784576416
1.8407049179077148:	imu;	yaw,	-4.245513439178467
1.8457212448120117:	encoder;	counts,	8
1.8510262966156006:	imu;	yaw,	-4.250967979431152
1.8615374565124512:	imu;	yaw,	-4.25642204284668
1.8728127479553223:	altitude;	altitude,	72.76029968261719
1.873882532119751:	servo;	-23
1.8756184577941895:	imu;	yaw,	-4.262967109680176
1.8802456855773926:	servo;	-24
1.8837575912475586:	imu;	yaw,	-4.267330169677734
1.8905127048492432:	imu;	yaw,	-4.272784233093262
1.90059232711792:	imu;	yaw,	-4.279329299926758
1.9114720821380615:	imu;	yaw,	-4.284783363342285
1.9194071292877197:	encoder;	counts,	9
1.9251964092254639:	imu;	yaw,	-4.289146423339844
1.9317195415496826:	altitude;	altitude,	73.23062133789062
1.937784194946289:	imu;	yaw,	-4.2935099601745605
1.9431183338165283:	imu;	yaw,	-4.29569149017334
1.9503741264343262:	imu;	yaw,	-4.297873497009277
1.9627561569213867:	imu;	yaw,	-4.301145553588867
1.9707648754119873:	imu;	yaw,	-4.305509090423584
1.9811902046203613:	altitude;	altitude,	73.06151580810547
1.9871294498443604:	imu;	yaw,	-4.309872627258301
1.9916372299194336:	imu;	yaw,	-4.315326690673828
1.9961843490600586:	encoder;	counts,	10
2.0015578269958496:	imu;	yaw,	-4.319689750671387
2.012484073638916:	imu;	yaw,	-4.3240532875061035
2.0213847160339355:	imu;	yaw,	-4.32841682434082
2.0325305461883545:	altitude;	altitude,	72.9029769897461
2.037341833114624:	imu;	yaw,	-4.33168888092041
2.041823387145996:	imu;	yaw,	-4.336052417755127
2.0526435375213623:	imu;	yaw,	-4.342597484588623
2.06270694732666:	imu;	yaw,	-4.34805154800415
2.0729238986968994:	imu;	yaw,	-4.353505611419678
2.081650733947754:	altitude;	altitude,	72.99810028076172
2.085630416870117:	imu;	yaw,	-4.3578691482543945
2.0901269912719727:	encoder;	counts,	11
2.094857931137085:	imu;	yaw,	-4.363323211669922
2.1062896251678467:	imu;	yaw,	-4.368777275085449
2.11557674407959:	imu;	yaw,	-4.374231815338135
2.122889518737793:	imu;	yaw,	-4.378594875335693
2.1326098442077637:	altitude;	altitude,	73.16720581054688
2.1391921043395996:	imu;	yaw,	-4.38295841217041
2.142920970916748:	imu;	yaw,	-4.386230945587158
2.1532883644104004:	imu;	yaw,	-4.390594005584717
2.1622812747955322:	encoder;	counts,	12
2.1676440238952637:	imu;	yaw,	-4.394957542419434
2.1739728450775146:	imu;	yaw,	-4.400411605834961
2.183062791824341:	imu;	yaw,	-4.404775142669678
2.1938843727111816:	altitude;	altitude,	73.1936264038086
2.197847843170166:	imu;	yaw,	-4.409138202667236
2.2029173374176025:	imu;	yaw,	-4.413501262664795
2.21325421333313:	imu;	yaw,	-4.417864799499512
2.223676919937134:	imu;	yaw,	-4.42222785949707
2.2343294620513916:	imu;	yaw,	-4.425500392913818
2.238739490509033:	encoder;	counts,	13
2.2424371242523193:	imu;	yaw,	-4.427681922912598
2.2479169368743896:	altitude;	altitude,	73.03773498535156
2.2527565956115723:	imu;	yaw,	-4.4320454597473145
2.2629928588867188:	imu;	yaw,	-4.4385905265808105
2.2732579708099365:	imu;	yaw,	-4.446226119995117
2.284118175506592:	imu;	yaw,	-4.450589656829834
2.292069673538208:	altitude;	altitude,	72.92940521240234
2.2957801818847656:	imu;	yaw,	-4.454953193664551
2.303290843963623:	imu;	yaw,	-4.460407257080078
2.3138792514801025:	imu;	yaw,	-4.464770317077637
2.3177356719970703:	encoder;	counts,	14
2.3230812549591064:	imu;	yaw,	-4.468042850494385
2.3333816528320312:	imu;	yaw,	-4.472406387329102
2.389800548553467:	servo;	-23
2.396054744720459:	servo;	-22
2.402129888534546:	servo;	-21
2.4097139835357666:	servo;	-19
2.4372079372406006:	servo;	-18
2.4430227279663086:	servo;	-17
2.4474146366119385:	gps;	found,	12|	long,	-71.42084503173828|	lat,	42.42726135253906|	altitude,	89.80000305175781
2.4519007205963135:	encoder;	counts,	15
2.460721731185913:	imu;	yaw,	-4.536765098571777
2.4651143550872803:	imu;	yaw,	-4.542219161987305
2.473726272583008:	altitude;	altitude,	72.9478988647461
2.47633695602417:	imu;	yaw,	-4.54767370223999
2.4768869876861572:	checkpoint;	num,	0|	long,	-71.42084503173828|	lat,	42.42726135253906
2.4809696674346924:	servo;	-16
2.4849846363067627:	imu;	yaw,	-4.550946235656738
2.493478775024414:	encoder;	counts,	16
2.4976940155029297:	imu;	yaw,	-4.556400299072266
2.5013186931610107:	servo;	-15
2.5072805881500244:	imu;	yaw,	-4.560763359069824
2.508361339569092:	servo;	-14
2.5147809982299805:	imu;	yaw,	-4.56621789932251
2.5170795917510986:	servo;	-13
2.523183822631836:	servo;	-12
2.5273597240448:	imu;	yaw,	-4.572762489318848
2.529984474182129:	servo;	-11
2.536109209060669:	servo;	-10
2.540318727493286:	altitude;	altitude,	72.74708557128906
2.543567657470703:	servo;	-9
2.5450780391693115:	imu;	yaw,	-4.579307556152344
2.554314374923706:	imu;	yaw,	-4.584762096405029
2.5618417263031006:	imu;	yaw,	-4.590216159820557
2.5652318000793457:	imu;	yaw,	-4.595670223236084
2.5758252143859863:	imu;	yaw,	-4.601124286651611
2.582129716873169:	encoder;	counts,	17
2.586317300796509:	imu;	yaw,	-4.605487823486328
2.5954301357269287:	imu;	yaw,	-4.6109418869018555
2.604686975479126:	imu;	yaw,	-4.616395950317383
2.611065149307251:	altitude;	altitude,	72.80521392822266
2.6148767471313477:	imu;	yaw,	-4.6207594871521
2.621629476547241:	servo;	-8
2.6281957626342773:	imu;	yaw,	-4.624032020568848
2.6358559131622314:	servo;	-7
2.6378345489501953:	imu;	yaw,	-4.627304553985596
2.6448709964752197:	servo;	-5
2.6468873023986816:	imu;	yaw,	-4.630577087402344
2.653068780899048:	servo;	-4
2.6555721759796143:	imu;	yaw,	-4.632758617401123
2.6611945629119873:	servo;	-3
2.6657469272613525:	imu;	yaw,	-4.636031150817871
2.6727638244628906:	encoder;	counts,	18
2.678697109222412:	altitude;	altitude,	72.85013580322266
2.6822509765625:	imu;	yaw,	-4.63712215423584
2.6865015029907227:	imu;	yaw,	-4.63821268081665
2.689779043197632:	servo;	-2
2.7097883224487305:	servo;	-1
2.7159483432769775:	servo;	0
2.721426486968994:	altitude;	altitude,	72.80785369873047
2.726909637451172:	imu;	yaw,	-4.639303684234619
2.7372589111328125:	imu;	yaw,	-4.64039421081543
2.74200439453125:	encoder;	counts,	19
2.756164312362671:	imu;	yaw,	-4.641485214233398
2.7660000324249268:	imu;	yaw,	-4.643666744232178
2.7745096683502197:	altitude;	altitude,	72.78143310546875
2.7779664993286133:	imu;	yaw,	-4.6447577476501465
2.787132501602173:	imu;	yaw,	-4.646939277648926
2.79305362701416:	servo;	1
2.7975971698760986:	imu;	yaw,	-4.6480302810668945
2.8016927242279053:	servo;	2
2.8108527660369873:	encoder;	counts,	20
2.8167173862457275:	servo;	3
2.820751428604126:	altitude;	altitude,	72.56476593017578
2.8366804122924805:	imu;	yaw,	-4.649121284484863
2.8468973636627197:	imu;	yaw,	-4.6480302810668945
2.8589861392974854:	altitude;	altitude,	72.8237075805664
2.8794896602630615:	encoder;	counts,	21
2.887570858001709:	altitude;	altitude,	72.87919616699219
2.9181501865386963:	imu;	yaw,	-4.646939277648926
2.9211525917053223:	servo;	1
2.9269204139709473:	altitude;	altitude,	72.80785369873047
2.929116725921631:	servo;	0
2.9389681816101074:	imu;	yaw,	-4.645848751068115
2.9459993839263916:	encoder;	counts,	22
2.957308530807495:	imu;	yaw,	-4.643666744232178
2.9672555923461914:	imu;	yaw,	-4.6447577476501465
2.978752851486206:	altitude;	altitude,	73.10907745361328
2.982982873916626:	imu;	yaw,	-4.643666744232178
3.008305788040161:	imu;	yaw,	-4.642576217651367
3.0181725025177:	altitude;	altitude,	72.95582580566406
3.0227127075195312:	imu;	yaw,	-4.64039421081543
3.026743173599243:	encoder;	counts,	23
3.031888008117676:	imu;	yaw,	-4.639303684234619
3.039231538772583:	imu;	yaw,	-4.63821268081665
3.0489346981048584:	imu;	yaw,	-4.63712215423584
3.057492971420288:	imu;	yaw,	-4.636031150817871
3.0675127506256104:	imu;	yaw,	-4.633849620819092
3.077347755432129:	altitude;	altitude,	73.04037475585938
3.0812394618988037:	imu;	yaw,	-4.631667613983154
3.0867273807525635:	encoder;	counts,	24
3.0919606685638428:	imu;	yaw,	-4.630577087402344
3.096722364425659:	imu;	yaw,	-4.628395080566406
3.107186794281006:	imu;	yaw,	-4.626213550567627
3.117609739303589:	imu;	yaw,	-4.624032020568848
3.128922939300537:	imu;	yaw,	-4.622941017150879
3.1409218311309814:	altitude;	altitude,	72.83692169189453
3.1417253017425537:	imu;	yaw,	-4.6207594871521
3.1456167697906494:	encoder;	counts,	25
3.1516780853271484:	imu;	yaw,	-4.619668483734131
3.1570005416870117:	imu;	yaw,	-4.61857795715332
3.1685099601745605:	imu;	yaw,	-4.617486953735352
3.17844295501709:	imu;	yaw,	-4.616395950317383
3.1863763332366943:	altitude;	altitude,	72.99810028076172
3.1909444332122803:	imu;	yaw,	-4.615305423736572
3.197551727294922:	servo;	1
3.19954776763916:	imu;	yaw,	-4.6142144203186035
3.205843925476074:	servo;	2
3.207667589187622:	encoder;	counts,	26
3.2177371978759766:	imu;	yaw,	-4.613123416900635
3.2203407287597656:	imu;	yaw,	-4.612032890319824
3.2277233600616455:	imu;	yaw,	-4.6109418869018555
3.2369632720947266:	servo;	4
3.2399775981903076:	altitude;	altitude,	72.85806274414062
3.2431697845458984:	servo;	5
3.249551296234131:	servo;	8
3.25785231590271:	servo;	9
3.272115707397461:	encoder;	counts,	27
3.2767128944396973:	imu;	yaw,	-4.612032890319824
3.2892305850982666:	altitude;	altitude,	72.81842803955078
3.3103084564208984:	imu;	yaw,	-4.6109418869018555
