0.1574103832244873:	motors;	0
0.1617412567138672:	gps;	lat,	42.42740249633789|	long,	-71.4210433959961|	altitude,	89.80000305175781|	found,	12
0.16557788848876953:	imu;	yaw,	3.790637254714966
0.16660308837890625:	encoder;	counts,	0
0.16730737686157227:	altitude;	altitude,	74.00216674804688
0.16832399368286133:	altitude;	altitude,	74.00216674804688
0.16898894309997559:	altitude;	altitude,	74.01009368896484
0.16939902305603027:	altitude;	altitude,	73.90968322753906
0.1699080467224121:	altitude;	altitude,	74.06293487548828
0.17127466201782227:	servo;	-1
0.17596006393432617:	servo;	-2
0.18835663795471191:	altitude;	altitude,	73.91761016845703
0.21790289878845215:	altitude;	altitude,	74.00480651855469
0.2487339973449707:	altitude;	altitude,	74.06558227539062
0.279430627822876:	altitude;	altitude,	73.87533569335938
0.3069617748260498:	altitude;	altitude,	73.89911651611328
0.3397941589355469:	altitude;	altitude,	73.89911651611328
0.37163233757019043:	altitude;	altitude,	73.75907897949219
0.39992833137512207:	altitude;	altitude,	73.80135345458984
0.4386937618255615:	altitude;	altitude,	73.81455993652344
0.46065282821655273:	servo;	-3
0.471588134765625:	altitude;	altitude,	73.75907897949219
0.4993579387664795:	altitude;	altitude,	73.69037628173828
0.5082213878631592:	servo;	-2
0.524484395980835:	servo;	0
0.5370283126831055:	altitude;	altitude,	73.73265075683594
0.5633301734924316:	altitude;	altitude,	73.81455993652344
0.6863963603973389:	gps;	lat,	42.42740249633789|	long,	-71.4210433959961|	altitude,	89.80000305175781|	found,	12
0.703437089920044:	altitude;	altitude,	73.88326263427734
0.7342543601989746:	altitude;	altitude,	73.87004852294922
0.7627496719360352:	altitude;	altitude,	73.87004852294922
0.7926833629608154:	altitude;	altitude,	73.5291976928711
0.8228323459625244:	altitude;	altitude,	73.78021240234375
0.8577542304992676:	altitude;	altitude,	73.89911651611328
0.8904025554656982:	altitude;	altitude,	73.69037628173828
0.9209897518157959:	altitude;	altitude,	73.85684204101562
0.9517171382904053:	altitude;	altitude,	73.97309875488281
0.9834675788879395:	altitude;	altitude,	74.0312271118164
1.0108463764190674:	altitude;	altitude,	74.0312271118164
1.0436639785766602:	altitude;	altitude,	73.87269592285156
1.075230360031128:	altitude;	altitude,	73.8647689819336
1.1029019355773926:	altitude;	altitude,	73.77493286132812
1.1339302062988281:	altitude;	altitude,	73.94139099121094
1.1626536846160889:	altitude;	altitude,	73.83834075927734
1.198040246963501:	altitude;	altitude,	73.67716217041016
1.2299187183380127:	altitude;	altitude,	73.83570098876953
1.2570815086364746:	altitude;	altitude,	73.83570098876953
1.2648544311523438:	motors;	100
1.2915258407592773:	altitude;	altitude,	73.72472381591797
1.324150800704956:	altitude;	altitude,	73.68244934082031
1.3330042362213135:	motors;	0
1.355384111404419:	altitude;	altitude,	73.81720733642578
1.3861093521118164:	altitude;	altitude,	73.9017562866211
1.4148366451263428:	altitude;	altitude,	73.87269592285156
1.4459519386291504:	altitude;	altitude,	73.7405776977539
1.4760594367980957:	altitude;	altitude,	73.91497039794922
1.504991054534912:	altitude;	altitude,	73.91497039794922
1.529033899307251:	motors;	-100
1.539764404296875:	altitude;	altitude,	73.91497039794922
1.5451197624206543:	servo;	-1
1.5523734092712402:	servo;	-2
1.5721275806427002:	servo;	0
1.592522382736206:	servo;	6
1.5983960628509521:	servo;	12
1.6042578220367432:	servo;	15
1.6326825618743896:	servo;	22
1.6384143829345703:	servo;	24
1.704927921295166:	servo;	23
1.7111091613769531:	servo;	17
1.717034101486206:	servo;	13
1.721985101699829:	servo;	6
1.7278902530670166:	servo;	1
1.734041452407837:	servo;	0
1.7483911514282227:	servo;	-1
1.776033878326416:	gps;	lat,	42.42740249633789|	long,	-71.4210433959961|	altitude,	89.80000305175781|	found,	12
1.7842025756835938:	altitude;	altitude,	73.84626770019531
1.7884888648986816:	servo;	0
1.7930376529693604:	motors;	0
1.8194072246551514:	altitude;	altitude,	74.04708099365234
1.850473403930664:	altitude;	altitude,	73.7405776977539
1.8792741298675537:	altitude;	altitude,	73.99687957763672
1.9065523147583008:	altitude;	altitude,	73.88062286376953
1.937997817993164:	altitude;	altitude,	73.70623016357422
1.9681355953216553:	altitude;	altitude,	73.70623016357422
1.9724020957946777:	servo;	-1
1.9785230159759521:	servo;	-2
1.9833009243011475:	motors;	-100
1.9890198707580566:	servo;	-3
1.9950933456420898:	servo;	-4
2.00706148147583:	altitude;	altitude,	73.95724487304688
2.008164405822754:	servo;	-5
2.014033317565918:	servo;	-4
2.0200154781341553:	servo;	-5
2.0281832218170166:	servo;	-4
2.036752223968506:	servo;	-3
2.0448498725891113:	servo;	-2
2.050511598587036:	servo;	-1
2.0552029609680176:	altitude;	altitude,	73.99951934814453
2.057678461074829:	servo;	0
2.093801736831665:	altitude;	altitude,	73.71944427490234
2.1200244426727295:	altitude;	altitude,	73.74850463867188
2.124274492263794:	motors;	0
2.1501529216766357:	altitude;	altitude,	73.71944427490234
2.1807122230529785:	altitude;	altitude,	73.71944427490234
2.2090609073638916:	altitude;	altitude,	73.8647689819336
2.239497661590576:	altitude;	altitude,	73.76171875
2.2693893909454346:	altitude;	altitude,	73.56619262695312
2.299699544906616:	altitude;	altitude,	73.90704345703125
2.331845998764038:	altitude;	altitude,	73.73265075683594
2.348287582397461:	motors;	-100
2.3623342514038086:	altitude;	altitude,	73.99687957763672
2.396353244781494:	altitude;	altitude,	73.99687957763672
2.422435998916626:	altitude;	altitude,	73.67716217041016
2.4531173706054688:	altitude;	altitude,	73.76700592041016
2.482823371887207:	altitude;	altitude,	73.98367309570312
2.5106492042541504:	altitude;	altitude,	73.83041381835938
2.5334999561309814:	motors;	0
2.543706178665161:	altitude;	altitude,	73.80399322509766
2.570643424987793:	altitude;	altitude,	73.99159240722656
2.6867587566375732:	gps;	lat,	42.42740249633789|	long,	-71.4210433959961|	altitude,	89.80000305175781|	found,	12
2.712510824203491:	altitude;	altitude,	73.9017562866211
2.7453622817993164:	altitude;	altitude,	73.9017562866211
2.765643358230591:	motors;	-100
2.772838592529297:	altitude;	altitude,	73.81720733642578
