0.1613779067993164:	servo;	6
0.16482877731323242:	gps;	lat,	0.0|	long,	-0.0|	altitude,	0.0|	found,	0
0.16527223587036133:	imu;	yaw,	6.281003952026367
0.16567564010620117:	encoder;	counts,	0
0.1661396026611328:	altitude;	altitude,	-23.04062843322754
0.166656494140625:	altitude;	altitude,	-22.987783432006836
0.16710591316223145:	altitude;	altitude,	-23.141035079956055
0.16764044761657715:	altitude;	altitude,	-23.28900146484375
0.16814088821411133:	altitude;	altitude,	-22.987783432006836
0.17501187324523926:	servo;	2
0.17870354652404785:	altitude;	altitude,	-22.913799285888672
0.17965269088745117:	motors;	-100
0.18435215950012207:	servo;	0
0.18941783905029297:	motors;	0
0.21291494369506836:	altitude;	altitude,	-23.072336196899414
0.2432384490966797:	imu;	yaw,	6.282094478607178
0.2514045238494873:	altitude;	altitude,	-23.056482315063477
0.27312636375427246:	imu;	yaw,	6.281003952026367
0.2858908176422119:	altitude;	altitude,	-23.114612579345703
0.3159809112548828:	altitude;	altitude,	-22.792255401611328
0.34792065620422363:	altitude;	altitude,	-22.792255401611328
0.37781643867492676:	altitude;	altitude,	-22.760547637939453
0.4051487445831299:	altitude;	altitude,	-22.982498168945312
0.43767714500427246:	altitude;	altitude,	-23.056482315063477
0.44441843032836914:	motors;	-100
0.463625431060791:	servo;	3
0.46663546562194824:	altitude;	altitude,	-23.24144172668457
0.47207164764404297:	servo;	6
0.48390650749206543:	servo;	9
0.5014321804046631:	altitude;	altitude,	-23.030059814453125
0.5318713188171387:	altitude;	altitude,	-23.072336196899414
0.5454990863800049:	imu;	yaw,	6.282094478607178
0.5520846843719482:	servo;	10
0.5632071495056152:	altitude;	altitude,	-23.098758697509766
0.5745925903320312:	imu;	yaw,	0.0
0.6010305881500244:	altitude;	altitude,	-23.035343170166016
0.608590841293335:	servo;	9
0.6166877746582031:	servo;	6
0.622636079788208:	servo;	4
0.6285974979400635:	servo;	0
0.6442110538482666:	altitude;	altitude,	-23.125181198120117
0.649078369140625:	servo;	-1
0.6536276340484619:	motors;	0
0.6789369583129883:	altitude;	altitude,	-23.114612579345703
0.7064244747161865:	altitude;	altitude,	-23.209733963012695
0.7119789123535156:	imu;	yaw,	6.282094478607178
0.72688889503479:	imu;	yaw,	6.281003952026367
0.7480354309082031:	altitude;	altitude,	-23.167457580566406
0.7688171863555908:	altitude;	altitude,	-23.167457580566406
0.8017923831939697:	altitude;	altitude,	-23.114612579345703
0.8300192356109619:	altitude;	altitude,	-23.13574981689453
0.844294548034668:	servo;	0
0.8519587516784668:	motors;	-100
0.8676776885986328:	altitude;	altitude,	-22.987783432006836
0.8721969127655029:	servo;	2
0.8843295574188232:	servo;	6
0.902777910232544:	altitude;	altitude,	-23.17802619934082
0.9305887222290039:	altitude;	altitude,	-23.273147583007812
0.9360008239746094:	servo;	7
0.9565002918243408:	imu;	yaw,	6.282094478607178
0.959972620010376:	servo;	8
0.9626138210296631:	altitude;	altitude,	-22.987783432006836
0.9872803688049316:	imu;	yaw,	0.0
0.9966976642608643:	servo;	9
1.0019874572753906:	altitude;	altitude,	-23.014205932617188
1.0095829963684082:	imu;	yaw,	6.282094478607178
1.0385854244232178:	imu;	yaw,	0.0
1.0446040630340576:	altitude;	altitude,	-23.119895935058594
1.0718803405761719:	servo;	10
1.075080156326294:	altitude;	altitude,	-23.236156463623047
1.1052680015563965:	altitude;	altitude,	-23.225587844848633
1.1393604278564453:	altitude;	altitude,	-23.061767578125
1.164243221282959:	altitude;	altitude,	-23.030059814453125
1.1980342864990234:	altitude;	altitude,	-23.030059814453125
1.2269415855407715:	altitude;	altitude,	-23.04062843322754
1.248396396636963:	servo;	13
1.2543082237243652:	altitude;	altitude,	-22.950790405273438
1.2562222480773926:	servo;	15
1.262281894683838:	servo;	17
1.2680675983428955:	servo;	20
1.2761569023132324:	servo;	22
1.2821400165557861:	servo;	23
1.2880351543426514:	servo;	24
1.2982122898101807:	altitude;	altitude,	-22.966644287109375
1.3201227188110352:	imu;	yaw,	0.0010908307740464807
1.3314144611358643:	altitude;	altitude,	-23.236156463623047
1.3599965572357178:	altitude;	altitude,	-23.193880081176758
1.3639600276947021:	imu;	yaw,	0.0021816615480929613
1.379150629043579:	imu;	yaw,	0.003272492438554764
1.3982083797454834:	altitude;	altitude,	-23.341848373413086
1.4033002853393555:	imu;	yaw,	0.004363323096185923
1.4051778316497803:	motors;	0
1.4310355186462402:	altitude;	altitude,	-23.230873107910156
1.4533414840698242:	motors;	100
1.464691162109375:	altitude;	altitude,	-23.479246139526367
1.4946303367614746:	altitude;	altitude,	-23.13046646118164
1.5212328433990479:	altitude;	altitude,	-23.162172317504883
1.5570957660675049:	altitude;	altitude,	-23.156888961791992
1.575932264328003:	motors;	0
1.5879733562469482:	servo;	13
1.5911962985992432:	altitude;	altitude,	-23.209733963012695
1.5966675281524658:	servo;	1
1.601269006729126:	motors;	-100
1.6070876121520996:	servo;	-1
1.6133544445037842:	servo;	-14
1.619635820388794:	servo;	-19
1.6257400512695312:	servo;	-24
1.634913682937622:	altitude;	altitude,	-23.119895935058594
1.6613197326660156:	altitude;	altitude,	-23.125181198120117
1.6718475818634033:	imu;	yaw,	0.003272492438554764
1.681910753250122:	imu;	yaw,	0.0021816615480929613
1.69461989402771:	imu;	yaw,	0.0010908307740464807
1.7007746696472168:	imu;	yaw,	0.0
1.7104499340057373:	altitude;	altitude,	-22.92965316772461
1.7210090160369873:	imu;	yaw,	6.282094478607178
1.7304987907409668:	imu;	yaw,	6.281003952026367
1.7412996292114258:	imu;	yaw,	6.27991247177124
1.7528817653656006:	imu;	yaw,	6.27882194519043
1.7570056915283203:	altitude;	altitude,	-23.28371810913086
1.7714505195617676:	imu;	yaw,	6.277731895446777
1.784985065460205:	altitude;	altitude,	-23.183311462402344
1.8123517036437988:	altitude;	altitude,	-23.28371810913086
1.8320951461791992:	imu;	yaw,	6.27882194519043
1.843247890472412:	altitude;	altitude,	-23.061767578125
1.8732750415802002:	altitude;	altitude,	-22.876808166503906
1.8888089656829834:	servo;	7
1.8936665058135986:	motors;	0
1.8999512195587158:	servo;	16
1.9049367904663086:	motors;	100
1.911529302597046:	servo;	24
1.9149394035339355:	altitude;	altitude,	-22.99835205078125
1.9471259117126465:	altitude;	altitude,	-23.188594818115234
1.9761929512023926:	altitude;	altitude,	-23.209733963012695
2.0059597492218018:	altitude;	altitude,	-23.537376403808594
2.0300686359405518:	altitude;	altitude,	-23.537376403808594
2.0351264476776123:	imu;	yaw,	6.27991247177124
2.0439951419830322:	imu;	yaw,	6.282094478607178
2.052962303161621:	imu;	yaw,	0.0
2.0627596378326416:	imu;	yaw,	0.0021816615480929613
2.0728940963745117:	altitude;	altitude,	-23.299571990966797
2.078011989593506:	imu;	yaw,	0.003272492438554764
2.103421211242676:	imu;	yaw,	0.0021816615480929613
2.111652374267578:	altitude;	altitude,	-23.098758697509766
2.138923168182373:	altitude;	altitude,	-23.098758697509766
2.1534318923950195:	servo;	13
2.165264844894409:	servo;	-4
2.1677043437957764:	altitude;	altitude,	-23.17802619934082
2.191967725753784:	servo;	-14
2.196845531463623:	motors;	0
2.202890396118164:	servo;	-21
2.2082388401031494:	altitude;	altitude,	-23.236156463623047
2.2090818881988525:	servo;	-24
2.2466320991516113:	altitude;	altitude,	-23.183311462402344
2.25337553024292:	imu;	yaw,	0.0010908307740464807
2.2680633068084717:	imu;	yaw,	0.0
2.27449369430542:	imu;	yaw,	6.282094478607178
2.2845778465270996:	imu;	yaw,	6.281003952026367
2.296496629714966:	altitude;	altitude,	-23.0247745513916
2.3155970573425293:	imu;	yaw,	6.27991247177124
2.324861526489258:	altitude;	altitude,	-23.13574981689453
2.3290162086486816:	motors;	100
2.33400297164917:	imu;	yaw,	6.27882194519043
2.353156328201294:	servo;	-1
2.3641655445098877:	altitude;	altitude,	-23.019489288330078
