0.186661958694458:	servo;	-1
0.18943119049072266:	gps;	lat,	42.42753219604492|	long,	-71.4208755493164|	altitude,	111.5999984741211|	found,	12
0.19000887870788574:	imu;	yaw,	0.9272061586380005
0.19042730331420898:	encoder;	counts,	0
0.1907362937927246:	altitude;	altitude,	-24.715829849243164
0.19101667404174805:	imu;	yaw,	0.9762936234474182
0.19127249717712402:	imu;	yaw,	0.9795660972595215
0.1916060447692871:	imu;	yaw,	0.98283851146698
0.1919116973876953:	altitude;	altitude,	-24.726398468017578
0.19217300415039062:	imu;	yaw,	0.986111044883728
0.19242072105407715:	imu;	yaw,	0.9904743432998657
0.19266557693481445:	imu;	yaw,	0.9937468767166138
0.1929173469543457:	imu;	yaw,	0.9959285259246826
0.193159818649292:	imu;	yaw,	0.9992010593414307
0.1934034824371338:	altitude;	altitude,	-24.589000701904297
0.19364714622497559:	imu;	yaw,	1.0024735927581787
0.19391489028930664:	imu;	yaw,	1.0046552419662476
0.19426703453063965:	imu;	yaw,	1.0068368911743164
0.19460391998291016:	imu;	yaw,	1.0101094245910645
0.1949608325958252:	imu;	yaw,	1.0122909545898438
0.1953582763671875:	altitude;	altitude,	-24.810951232910156
0.19566893577575684:	imu;	yaw,	1.0144726037979126
0.19601798057556152:	imu;	yaw,	1.0155634880065918
0.19634294509887695:	imu;	yaw,	1.0177451372146606
0.19689297676086426:	servo;	0
0.19737505912780762:	imu;	yaw,	1.0199267864227295
0.20305109024047852:	imu;	yaw,	1.0210176706314087
0.2034595012664795:	altitude;	altitude,	-24.657699584960938
0.20642685890197754:	imu;	yaw,	1.0221084356307983
0.21338772773742676:	imu;	yaw,	1.0242900848388672
0.22069859504699707:	imu;	yaw,	1.0253809690475464
0.22931933403015137:	imu;	yaw,	1.0264718532562256
0.24270176887512207:	imu;	yaw,	1.0275626182556152
0.2500436305999756:	altitude;	altitude,	-24.77396011352539
0.2535710334777832:	imu;	yaw,	1.0286535024642944
0.27152466773986816:	imu;	yaw,	1.029744267463684
0.28070759773254395:	imu;	yaw,	1.0308351516723633
0.29072093963623047:	altitude;	altitude,	-24.784528732299805
0.314988374710083:	altitude;	altitude,	-24.631277084350586
0.32100796699523926:	imu;	yaw,	1.031925916671753
0.33951759338378906:	imu;	yaw,	1.0308351516723633
0.3484654426574707:	altitude;	altitude,	-24.810951232910156
0.38022875785827637:	altitude;	altitude,	-24.810951232910156
0.38500380516052246:	imu;	yaw,	1.029744267463684
0.401569128036499:	imu;	yaw,	1.0286535024642944
0.4160277843475342:	altitude;	altitude,	-24.84265899658203
0.42226457595825195:	imu;	yaw,	1.0275626182556152
0.4421570301055908:	imu;	yaw,	1.0264718532562256
0.4491689205169678:	altitude;	altitude,	-24.689407348632812
0.45300722122192383:	imu;	yaw,	1.0253809690475464
0.4628598690032959:	imu;	yaw,	1.0242900848388672
0.47153782844543457:	imu;	yaw,	1.0231993198394775
0.48207616806030273:	imu;	yaw,	1.0221084356307983
0.4915766716003418:	imu;	yaw,	1.0210176706314087
0.49761104583740234:	motors;	0
0.5002286434173584:	altitude;	altitude,	-24.689407348632812
0.5123176574707031:	imu;	yaw,	1.0199267864227295
0.5214719772338867:	imu;	yaw,	1.0188359022140503
0.5339937210083008:	imu;	yaw,	1.0177451372146606
0.5451827049255371:	altitude;	altitude,	-24.520301818847656
0.5521097183227539:	imu;	yaw,	1.0166542530059814
0.5576069355010986:	motors;	100
0.5726850032806396:	imu;	yaw,	1.0155634880065918
0.5782687664031982:	servo;	1
0.5864856243133545:	altitude;	altitude,	-24.46217155456543
0.587562084197998:	servo;	2
0.594623327255249:	imu;	yaw,	1.0144726037979126
0.5986378192901611:	servo;	4
0.6239490509033203:	altitude;	altitude,	-24.472740173339844
0.6482255458831787:	altitude;	altitude,	-24.604854583740234
0.6535604000091553:	encoder;	counts,	1
0.6621344089508057:	imu;	yaw,	1.0155634880065918
0.6887283325195312:	altitude;	altitude,	-24.742252349853516
0.7028200626373291:	imu;	yaw,	1.0177451372146606
0.7115921974182129:	encoder;	counts,	2
0.7219345569610596:	imu;	yaw,	1.0188359022140503
0.7331843376159668:	altitude;	altitude,	-24.652416229248047
0.7370197772979736:	imu;	yaw,	1.0199267864227295
0.7443163394927979:	imu;	yaw,	1.0210176706314087
0.7625772953033447:	encoder;	counts,	3
0.7731318473815918:	imu;	yaw,	1.0221084356307983
0.7778720855712891:	servo;	0
0.7801527976989746:	imu;	yaw,	1.0231993198394775
0.7843554019927979:	imu;	yaw,	1.0242900848388672
0.7916419506072998:	altitude;	altitude,	-24.980056762695312
0.7953653335571289:	imu;	yaw,	1.0253809690475464
0.803516149520874:	imu;	yaw,	1.0264718532562256
0.8073217868804932:	encoder;	counts,	4
0.8784387111663818:	servo;	-2
0.8855428695678711:	servo;	-8
0.8975138664245605:	servo;	-16
0.9057581424713135:	servo;	-20
0.9177660942077637:	servo;	-24
0.9241828918457031:	gps;	lat,	42.42753219604492|	long,	-71.4208755493164|	altitude,	111.5999984741211|	found,	12
0.9270715713500977:	encoder;	counts,	6
0.9350337982177734:	imu;	yaw,	1.0341076850891113
0.9396860599517822:	encoder;	counts,	7
