0.1292109489440918:	motors;	0
0.13526535034179688:	gps;	lat,	0.0|	long,	-0.0|	altitude,	0.0|	found,	2
0.1363048553466797:	imu;	yaw,	5.070181846618652
0.1371004581451416:	encoder;	counts,	0
0.1379246711730957:	altitude;	altitude,	-26.649974822998047
0.13843417167663574:	altitude;	altitude,	-26.739810943603516
0.14003658294677734:	altitude;	altitude,	-26.56542205810547
0.1421802043914795:	altitude;	altitude,	-26.30119514465332
0.143385648727417:	altitude;	altitude,	-26.317047119140625
0.14452719688415527:	altitude;	altitude,	-26.317047119140625
0.14543724060058594:	altitude;	altitude,	-26.232494354248047
0.14618945121765137:	altitude;	altitude,	-26.560136795043945
0.14685511589050293:	altitude;	altitude,	-26.496723175048828
0.14727234840393066:	altitude;	altitude,	-26.37517738342285
0.14852023124694824:	altitude;	altitude,	-26.597129821777344
0.14927196502685547:	altitude;	altitude,	-26.538999557495117
0.1498105525970459:	altitude;	altitude,	-26.538999557495117
0.15027856826782227:	altitude;	altitude,	-26.428024291992188
0.15085577964782715:	altitude;	altitude,	-26.290624618530273
0.1515364646911621:	altitude;	altitude,	-26.332901000976562
0.15221595764160156:	altitude;	altitude,	-26.290624618530273
0.15294528007507324:	altitude;	altitude,	-26.3857479095459
0.15340948104858398:	altitude;	altitude,	-26.290624618530273
0.1541280746459961:	altitude;	altitude,	-26.290624618530273
0.16633152961730957:	altitude;	altitude,	-26.528430938720703
0.1810469627380371:	altitude;	altitude,	-26.401599884033203
0.2107996940612793:	altitude;	altitude,	-26.470300674438477
0.2382678985595703:	altitude;	altitude,	-26.401599884033203
0.27206969261169434:	altitude;	altitude,	-26.401599884033203
0.30177927017211914:	altitude;	altitude,	-26.39103126525879
0.3320603370666504:	altitude;	altitude,	-26.39103126525879
0.36243128776550293:	altitude;	altitude,	-26.285341262817383
0.3899390697479248:	altitude;	altitude,	-26.25891876220703
0.4210641384124756:	altitude;	altitude,	-26.602413177490234
0.4499850273132324:	altitude;	altitude,	-26.27477264404297
0.48308753967285156:	altitude;	altitude,	-26.179649353027344
0.5133275985717773:	altitude;	altitude,	-26.380462646484375
0.5418133735656738:	altitude;	altitude,	-26.380462646484375
0.571967363357544:	altitude;	altitude,	-26.264202117919922
0.6011908054351807:	altitude;	altitude,	-26.45973014831543
0.6373775005340576:	altitude;	altitude,	-26.48615264892578
0.6698760986328125:	altitude;	altitude,	-26.401599884033203
0.6988725662231445:	altitude;	altitude,	-26.34347152709961
0.7300503253936768:	altitude;	altitude,	-26.560136795043945
0.7618765830993652:	altitude;	altitude,	-26.470300674438477
0.7928619384765625:	altitude;	altitude,	-26.470300674438477
0.8229968547821045:	altitude;	altitude,	-26.37517738342285
0.8531270027160645:	altitude;	altitude,	-26.359325408935547
0.8844950199127197:	altitude;	altitude,	-26.475584030151367
0.9148364067077637:	altitude;	altitude,	-26.137372970581055
0.9424343109130859:	altitude;	altitude,	-26.3857479095459
0.9754209518432617:	altitude;	altitude,	-26.428024291992188
1.0065245628356934:	altitude;	altitude,	-26.428024291992188
1.0350944995880127:	altitude;	altitude,	-26.30119514465332
1.0656037330627441:	altitude;	altitude,	-26.317047119140625
1.0941128730773926:	altitude;	altitude,	-25.984121322631836
1.125542402267456:	altitude;	altitude,	-26.41745376586914
1.1535530090332031:	altitude;	altitude,	-26.163795471191406
1.1859357357025146:	altitude;	altitude,	-26.232494354248047
1.2174031734466553:	altitude;	altitude,	-26.232494354248047
1.2453382015228271:	altitude;	altitude,	-26.042251586914062
1.2766504287719727:	altitude;	altitude,	-26.01582908630371
1.3051888942718506:	altitude;	altitude,	-26.206071853637695
1.3389084339141846:	altitude;	altitude,	-26.16908073425293
1.3679497241973877:	altitude;	altitude,	-26.295909881591797
1.395404577255249:	altitude;	altitude,	-26.295909881591797
1.4270620346069336:	altitude;	altitude,	-26.19550323486328
1.4559433460235596:	altitude;	altitude,	-25.87843132019043
1.4869461059570312:	altitude;	altitude,	-25.92599105834961
1.517038345336914:	altitude;	altitude,	-26.221925735473633
1.546450138092041:	altitude;	altitude,	-26.39103126525879
1.5786652565002441:	altitude;	altitude,	-26.269487380981445
1.606945276260376:	altitude;	altitude,	-26.269487380981445
1.6391913890838623:	altitude;	altitude,	-26.41745376586914
1.6742548942565918:	altitude;	altitude,	-26.317047119140625
1.7004568576812744:	altitude;	altitude,	-26.406885147094727
1.729598045349121:	altitude;	altitude,	-26.41745376586914
1.7569949626922607:	altitude;	altitude,	-26.586559295654297
1.7890591621398926:	altitude;	altitude,	-26.30119514465332
1.8197431564331055:	altitude;	altitude,	-26.30119514465332
1.8486275672912598:	altitude;	altitude,	-26.401599884033203
1.880509376525879:	altitude;	altitude,	-26.475584030151367
1.9080421924591064:	altitude;	altitude,	-26.401599884033203
1.9390089511871338:	altitude;	altitude,	-26.290624618530273
1.9694182872772217:	altitude;	altitude,	-26.37517738342285
1.9979281425476074:	altitude;	altitude,	-26.27477264404297
2.033224105834961:	altitude;	altitude,	-26.27477264404297
2.060685873031616:	altitude;	altitude,	-26.290624618530273
2.092665433883667:	altitude;	altitude,	-26.517860412597656
2.1213924884796143:	altitude;	altitude,	-26.221925735473633
2.1512513160705566:	altitude;	altitude,	-26.295909881591797
2.180358648300171:	altitude;	altitude,	-26.206071853637695
2.2106266021728516:	altitude;	altitude,	-26.206071853637695
2.2415740489959717:	altitude;	altitude,	-26.28005599975586
2.2731876373291016:	altitude;	altitude,	-26.042251586914062
2.300769567489624:	altitude;	altitude,	-26.554853439331055
2.3318474292755127:	altitude;	altitude,	-26.14794158935547
2.361860752105713:	altitude;	altitude,	-26.137372970581055
2.3925280570983887:	altitude;	altitude,	-26.269487380981445
2.4225661754608154:	altitude;	altitude,	-26.3487548828125
2.451753616333008:	altitude;	altitude,	-26.3487548828125
2.482748031616211:	altitude;	altitude,	-26.52314567565918
2.5101962089538574:	altitude;	altitude,	-26.39103126525879
2.5432915687561035:	altitude;	altitude,	-26.401599884033203
2.5746395587921143:	altitude;	altitude,	-26.6763973236084
2.601774215698242:	altitude;	altitude,	-26.517860412597656
2.633225440979004:	altitude;	altitude,	-26.517860412597656
2.662477493286133:	altitude;	altitude,	-26.23777961730957
2.6972506046295166:	altitude;	altitude,	-26.221925735473633
2.728501319885254:	altitude;	altitude,	-26.338186264038086
2.7554328441619873:	altitude;	altitude,	-26.269487380981445
2.7850098609924316:	altitude;	altitude,	-26.45444679260254
2.8127856254577637:	altitude;	altitude,	-26.23777961730957
2.844046115875244:	altitude;	altitude,	-26.23777961730957
2.8742659091949463:	altitude;	altitude,	-26.28005599975586
2.9031946659088135:	altitude;	altitude,	-26.332901000976562
2.934688091278076:	altitude;	altitude,	-26.449161529541016
2.962531089782715:	altitude;	altitude,	-26.21135711669922
2.995175838470459:	altitude;	altitude,	-26.079242706298828
3.0259511470794678:	altitude;	altitude,	-26.19550323486328
3.0625903606414795:	altitude;	altitude,	-26.179649353027344
3.09549617767334:	altitude;	altitude,	-26.443878173828125
3.1257476806640625:	altitude;	altitude,	-26.443878173828125
3.1545276641845703:	altitude;	altitude,	-26.396316528320312
3.1855814456939697:	altitude;	altitude,	-26.290624618530273
3.214374303817749:	altitude;	altitude,	-26.449161529541016
3.2472617626190186:	altitude;	altitude,	-26.253633499145508
3.2770986557006836:	altitude;	altitude,	-26.264202117919922
3.3051228523254395:	altitude;	altitude,	-26.264202117919922
3.336521863937378:	altitude;	altitude,	-26.338186264038086
3.3654325008392334:	altitude;	altitude,	-26.406885147094727
3.401808023452759:	altitude;	altitude,	-26.32233238220215
3.432994842529297:	altitude;	altitude,	-26.449161529541016
