3.5531508922576904:	servo;	-2
3.5578534603118896:	motors;	0
5.15402889251709:	servo;	0
5.404874563217163:	altitude;	altitude,	-11.773972511291504
5.53460693359375:	gps;	lat,	42.427494049072266|	long,	-71.42088317871094|	altitude,	0.0|	found,	13
5.577023983001709:	altitude;	altitude,	-11.604866981506348
5.6207029819488525:	altitude;	altitude,	-11.388200759887695
5.646854400634766:	altitude;	altitude,	-11.525598526000977
5.684967756271362:	altitude;	altitude,	-11.784542083740234
5.719732761383057:	altitude;	altitude,	-11.784542083740234
5.771448135375977:	altitude;	altitude,	-11.816248893737793
5.7926812171936035:	altitude;	altitude,	-11.853240966796875
5.834447145462036:	altitude;	altitude,	-11.652427673339844
5.8691933155059814:	altitude;	altitude,	-11.557306289672852
5.906052589416504:	altitude;	altitude,	-11.47803783416748
5.9574995040893555:	altitude;	altitude,	-11.647143363952637
5.999881982803345:	altitude;	altitude,	-11.541452407836914
6.016178607940674:	altitude;	altitude,	-11.742265701293945
6.0542004108428955:	altitude;	altitude,	-11.6312894821167
6.093576908111572:	altitude;	altitude,	-11.58901309967041
6.127522945404053:	altitude;	altitude,	-11.583728790283203
6.164751291275024:	altitude;	altitude,	-11.668281555175781
6.199446201324463:	altitude;	altitude,	-11.557306289672852
6.2399444580078125:	altitude;	altitude,	-11.673565864562988
6.289164781570435:	altitude;	altitude,	-11.6312894821167
6.306061506271362:	altitude;	altitude,	-11.842671394348145
6.345835208892822:	altitude;	altitude,	-11.699989318847656
6.388652801513672:	altitude;	altitude,	-11.773972511291504
6.437947034835815:	motors;	100
6.533716917037964:	gps;	lat,	42.427494049072266|	long,	-71.42088317871094|	altitude,	0.0|	found,	13
6.563335657119751:	servo;	2
6.576709747314453:	altitude;	altitude,	-11.773972511291504
6.5819103717803955:	servo;	6
6.59254002571106:	servo;	16
6.6182942390441895:	servo;	19
6.622224569320679:	altitude;	altitude,	-11.668281555175781
6.623061656951904:	servo;	20
6.62954044342041:	servo;	23
6.636534929275513:	servo;	24
6.675456285476685:	altitude;	altitude,	-11.763402938842773
6.722295522689819:	altitude;	altitude,	-11.562590599060059
6.72488260269165:	imu;	yaw,	0.004363323096185923
6.737496852874756:	imu;	yaw,	0.006544984877109528
6.744820833206177:	imu;	yaw,	0.008726646192371845
6.760103940963745:	imu;	yaw,	0.010908308438956738
6.777553558349609:	imu;	yaw,	0.013089969754219055
6.778848171234131:	imu;	yaw,	0.014180800877511501
6.787913084030151:	imu;	yaw,	0.015271632000803947
6.791719198226929:	servo;	20
6.797089099884033:	imu;	yaw,	0.01636246219277382
6.803198575973511:	servo;	10
6.830978631973267:	servo;	0
6.83405065536499:	imu;	yaw,	0.01745329238474369
6.834637880325317:	imu;	yaw,	0.01636246219277382
6.842706680297852:	altitude;	altitude,	-11.800395011901855
6.846472263336182:	motors;	0
6.865336894989014:	imu;	yaw,	0.015271632000803947
6.896664381027222:	imu;	yaw,	0.014180800877511501
6.906543016433716:	altitude;	altitude,	-11.969500541687012
6.928810358047485:	imu;	yaw,	0.011999139562249184
6.9297449588775635:	imu;	yaw,	0.010908308438956738
6.949530124664307:	imu;	yaw,	0.009817477315664291
6.9732818603515625:	altitude;	altitude,	-11.884947776794434
6.982669830322266:	imu;	yaw,	0.008726646192371845
7.0023417472839355:	imu;	yaw,	0.007635816000401974
7.0053699016571045:	imu;	yaw,	0.006544984877109528
7.022058486938477:	servo;	-1
7.049740791320801:	altitude;	altitude,	-11.742265701293945
7.0501930713653564:	imu;	yaw,	0.007635816000401974
7.057806015014648:	imu;	yaw,	0.008726646192371845
7.073951244354248:	servo;	-2
7.109277963638306:	altitude;	altitude,	-11.657712936401367
7.110677003860474:	servo;	-1
7.122872591018677:	servo;	0
7.126940965652466:	altitude;	altitude,	-11.742265701293945
7.151126146316528:	motors;	100
7.169378757476807:	imu;	yaw,	0.007635816000401974
7.179358720779419:	servo;	6
7.180311441421509:	altitude;	altitude,	-11.446331024169922
7.212121963500977:	servo;	13
