0.559222936630249:	servo;	0
0.5629222393035889:	gps;	lat,	42.4273567199707|	long,	-71.42085266113281|	altitude,	0.0|	found,	12
0.5632398128509521:	imu;	yaw,	4.773475646972656
0.5635318756103516:	encoder;	counts,	0
0.5637869834899902:	altitude;	altitude,	-23.563798904418945
0.5642209053039551:	gps;	lat,	42.4273567199707|	long,	-71.42085266113281|	altitude,	0.0|	found,	12
0.56447434425354:	altitude;	altitude,	-23.267864227294922
0.5647158622741699:	altitude;	altitude,	-23.526805877685547
0.5650119781494141:	altitude;	altitude,	-23.526805877685547
0.5653538703918457:	altitude;	altitude,	-23.48453140258789
0.5656607151031494:	altitude;	altitude,	-23.542659759521484
0.5659241676330566:	altitude;	altitude,	-23.431684494018555
0.5661716461181641:	altitude;	altitude,	-23.547945022583008
0.5664167404174805:	altitude;	altitude,	-23.590221405029297
0.5666670799255371:	altitude;	altitude,	-23.33127784729004
0.5669071674346924:	altitude;	altitude,	-23.563798904418945
0.5671412944793701:	altitude;	altitude,	-23.405261993408203
0.6036396026611328:	altitude;	altitude,	-23.236156463623047
0.6472954750061035:	altitude;	altitude,	-23.320709228515625
0.6808395385742188:	altitude;	altitude,	-23.436969757080078
0.7149298191070557:	altitude;	altitude,	-23.320709228515625
0.7517938613891602:	altitude;	altitude,	-23.3524169921875
0.7851772308349609:	altitude;	altitude,	-23.236156463623047
0.8314218521118164:	altitude;	altitude,	-23.384124755859375
0.8638436794281006:	altitude;	altitude,	-23.252010345458984
0.9033377170562744:	altitude;	altitude,	-23.030059814453125
0.9335570335388184:	altitude;	altitude,	-23.315425872802734
0.9709904193878174:	altitude;	altitude,	-23.32599449157715
1.0052387714385986:	altitude;	altitude,	-23.473960876464844
1.1501860618591309:	gps;	lat,	42.4273567199707|	long,	-71.42085266113281|	altitude,	0.0|	found,	12
1.1731653213500977:	altitude;	altitude,	-23.320709228515625
1.2115986347198486:	altitude;	altitude,	-23.46339225769043
1.2341229915618896:	motors;	0
1.244241714477539:	altitude;	altitude,	-23.479246139526367
1.2823486328125:	altitude;	altitude,	-23.320709228515625
1.3269269466400146:	altitude;	altitude,	-23.495100021362305
1.3671214580535889:	altitude;	altitude,	-23.304855346679688
1.4001576900482178:	altitude;	altitude,	-23.236156463623047
1.4341866970062256:	altitude;	altitude,	-23.183311462402344
1.4728021621704102:	altitude;	altitude,	-23.315425872802734
1.5200331211090088:	altitude;	altitude,	-23.299571990966797
1.5466318130493164:	altitude;	altitude,	-23.44225311279297
1.5898048877716064:	altitude;	altitude,	-23.32599449157715
1.6267368793487549:	altitude;	altitude,	-23.399978637695312
1.6645534038543701:	altitude;	altitude,	-23.098758697509766
1.7008907794952393:	altitude;	altitude,	-23.267864227294922
1.739443302154541:	altitude;	altitude,	-23.230873107910156
1.7789897918701172:	altitude;	altitude,	-23.257295608520508
1.813436508178711:	altitude;	altitude,	-23.35770034790039
1.8631341457366943:	altitude;	altitude,	-23.188594818115234
1.8989338874816895:	altitude;	altitude,	-23.2625789642334
1.92844820022583:	altitude;	altitude,	-23.495100021362305
1.9879672527313232:	altitude;	altitude,	-23.362985610961914
2.1151349544525146:	motors;	100
2.1462106704711914:	gps;	lat,	42.4273567199707|	long,	-71.42085266113281|	altitude,	0.0|	found,	12
2.155675172805786:	altitude;	altitude,	-23.55323028564453
2.1780283451080322:	servo;	-2
2.1999597549438477:	altitude;	altitude,	-23.526805877685547
2.2102818489074707:	imu;	yaw,	4.7723846435546875
2.223093032836914:	imu;	yaw,	4.768021583557129
2.248849391937256:	imu;	yaw,	4.76584005355835
2.249389886856079:	imu;	yaw,	4.768021583557129
2.2577295303344727:	imu;	yaw,	4.770203113555908
2.268406391143799:	imu;	yaw,	4.771293640136719
2.2752747535705566:	imu;	yaw,	4.770203113555908
2.3078672885894775:	imu;	yaw,	4.771293640136719
2.314523220062256:	altitude;	altitude,	-23.63778305053711
