0.5590229034423828:	motors;	100
0.5617318153381348:	gps;	lat,	42.427337646484375|	long,	-71.42086029052734|	altitude,	0.0|	found,	13
0.5620665550231934:	imu;	yaw,	4.7254791259765625
0.5623714923858643:	encoder;	counts,	0
0.5626847743988037:	altitude;	altitude,	-24.071115493774414
0.5631027221679688:	altitude;	altitude,	-24.071115493774414
0.5633690357208252:	altitude;	altitude,	-23.92843246459961
0.563633918762207:	altitude;	altitude,	-23.896724700927734
0.5640048980712891:	altitude;	altitude,	-24.028839111328125
0.5642678737640381:	altitude;	altitude,	-24.361764907836914
0.5645179748535156:	altitude;	altitude,	-24.12924575805664
0.5647711753845215:	altitude;	altitude,	-23.939001083374023
0.5650126934051514:	altitude;	altitude,	-23.95485496520996
0.565258264541626:	altitude;	altitude,	-23.986562728881836
0.5655086040496826:	altitude;	altitude,	-23.84387969970703
0.5671408176422119:	altitude;	altitude,	-24.028839111328125
0.5675108432769775:	altitude;	altitude,	-24.03940773010254
0.5677878856658936:	altitude;	altitude,	-24.298351287841797
0.5680432319641113:	altitude;	altitude,	-24.12924575805664
0.5849471092224121:	servo;	-24
0.6105751991271973:	altitude;	altitude,	-24.055261611938477
0.6271989345550537:	imu;	yaw,	4.724388122558594
0.6436910629272461:	imu;	yaw,	4.7222065925598145
0.6493604183197021:	imu;	yaw,	4.717843055725098
0.6582725048065186:	imu;	yaw,	4.716752529144287
0.667332649230957:	servo;	-23
0.6695985794067383:	imu;	yaw,	4.7222065925598145
0.6766033172607422:	servo;	-21
0.6822178363800049:	imu;	yaw,	4.724388122558594
0.6856768131256104:	servo;	-17
0.694908857345581:	servo;	-12
0.6975760459899902:	imu;	yaw,	4.723297595977783
0.7057785987854004:	servo;	-2
0.7105066776275635:	motors;	0
0.715034008026123:	servo;	0
0.7164628505706787:	imu;	yaw,	4.715661525726318
0.720024585723877:	motors;	-100
0.7292280197143555:	motors;	0
0.7372584342956543:	imu;	yaw,	4.71129846572876
0.7496609687805176:	imu;	yaw,	4.710207462310791
0.7673258781433105:	servo;	-1
0.7721774578094482:	motors;	100
0.7773082256317139:	altitude;	altitude,	-23.785749435424805
0.815528392791748:	servo;	-3
0.8233284950256348:	imu;	yaw,	4.709116458892822
0.8245630264282227:	imu;	yaw,	4.708025932312012
0.8267886638641357:	servo;	-4
0.8282411098480225:	imu;	yaw,	4.709116458892822
0.8381907939910889:	servo;	-16
0.8925960063934326:	servo;	-18
0.9038281440734863:	servo;	-19
0.9423191547393799:	servo;	-21
0.9587934017181396:	servo;	-23
0.9652583599090576:	servo;	-24
1.1018955707550049:	gps;	lat,	42.427337646484375|	long,	-71.42086029052734|	altitude,	0.0|	found,	13
1.1095967292785645:	encoder;	counts,	2
1.131040096282959:	altitude;	altitude,	-23.79631805419922
1.1314637660980225:	imu;	yaw,	4.726570129394531
1.1876411437988281:	encoder;	counts,	3
1.1884074211120605:	imu;	yaw,	4.727660655975342
1.191357135772705:	imu;	yaw,	4.7287516593933105
1.205376148223877:	imu;	yaw,	4.727660655975342
1.2184462547302246:	imu;	yaw,	4.726570129394531
1.2277085781097412:	imu;	yaw,	4.7254791259765625
1.2430081367492676:	imu;	yaw,	4.723297595977783
1.255025863647461:	encoder;	counts,	4
1.2832653522491455:	imu;	yaw,	4.718934059143066
1.2837226390838623:	imu;	yaw,	4.717843055725098
1.2864913940429688:	imu;	yaw,	4.715661525726318
1.2973198890686035:	imu;	yaw,	4.713479995727539
1.310957908630371:	altitude;	altitude,	-23.828025817871094
1.320899248123169:	imu;	yaw,	4.714570999145508
1.355079174041748:	encoder;	counts,	5
1.3561830520629883:	imu;	yaw,	4.716752529144287
1.36500883102417:	imu;	yaw,	4.718934059143066
1.3785300254821777:	imu;	yaw,	4.720025062561035
1.4030051231384277:	imu;	yaw,	4.723297595977783
1.4037024974822998:	imu;	yaw,	4.726570129394531
1.408867359161377:	imu;	yaw,	4.73093318939209
1.420980453491211:	encoder;	counts,	6
1.4368939399719238:	imu;	yaw,	4.734205722808838
1.4437460899353027:	imu;	yaw,	4.735296726226807
1.474759578704834:	altitude;	altitude,	-23.6800594329834
1.4753108024597168:	imu;	yaw,	4.741841793060303
1.4799978733062744:	imu;	yaw,	4.746204853057861
1.4912049770355225:	imu;	yaw,	4.749477386474609
1.5010197162628174:	encoder;	counts,	7
1.5272445678710938:	imu;	yaw,	4.760385990142822
1.528174877166748:	imu;	yaw,	4.76365852355957
1.5382757186889648:	imu;	yaw,	4.76693058013916
1.5450408458709717:	imu;	yaw,	4.770203113555908
1.5533523559570312:	imu;	yaw,	4.774566173553467
1.5619072914123535:	imu;	yaw,	4.778929710388184
1.5923237800598145:	imu;	yaw,	4.783292770385742
1.5928997993469238:	encoder;	counts,	8
1.5970935821533203:	imu;	yaw,	4.790928840637207
1.6097149848937988:	imu;	yaw,	4.794201374053955
1.6537065505981445:	imu;	yaw,	4.801836967468262
1.6542954444885254:	imu;	yaw,	4.8062005043029785
1.657250165939331:	imu;	yaw,	4.807291507720947
1.660778522491455:	imu;	yaw,	4.808382034301758
1.6754875183105469:	encoder;	counts,	9
1.680022954940796:	imu;	yaw,	4.811654567718506
1.6935720443725586:	imu;	yaw,	4.812745571136475
1.7032110691070557:	imu;	yaw,	4.813836097717285
1.713144302368164:	imu;	yaw,	4.817108631134033
1.7464368343353271:	altitude;	altitude,	-24.478025436401367
1.7468748092651367:	imu;	yaw,	4.822563171386719
1.7496790885925293:	encoder;	counts,	10
1.758375644683838:	imu;	yaw,	4.828017234802246
1.7701292037963867:	imu;	yaw,	4.835652828216553
1.780249834060669:	imu;	yaw,	4.838925361633301
1.7943193912506104:	imu;	yaw,	4.842197895050049
1.79933500289917:	imu;	yaw,	4.845470428466797
1.8107597827911377:	imu;	yaw,	4.848742961883545
1.8191781044006348:	imu;	yaw,	4.852015495300293
1.8436193466186523:	encoder;	counts,	11
1.8443396091461182:	imu;	yaw,	4.859651565551758
1.903719425201416:	gps;	lat,	42.427337646484375|	long,	-71.42086029052734|	altitude,	0.0|	found,	13
1.9096410274505615:	encoder;	counts,	12
1.9188268184661865:	imu;	yaw,	4.874923229217529
1.9300258159637451:	imu;	yaw,	4.879286289215088
1.9399657249450684:	imu;	yaw,	4.884740352630615
1.9439349174499512:	checkpoint;	num,	0|	long,	-71.42086029052734|	lat,	42.427337646484375
1.9752252101898193:	imu;	yaw,	4.889103889465332
1.9757826328277588:	imu;	yaw,	4.894557476043701
1.9764657020568848:	imu;	yaw,	4.896739482879639
1.984907627105713:	encoder;	counts,	13
1.9923710823059082:	imu;	yaw,	4.903284549713135
2.004232406616211:	imu;	yaw,	4.907647609710693
2.0343892574310303:	altitude;	altitude,	-25.138593673706055
2.0350728034973145:	imu;	yaw,	4.919646739959717
2.046144723892212:	imu;	yaw,	4.925101280212402
2.0571720600128174:	imu;	yaw,	4.93164587020874
2.0655479431152344:	encoder;	counts,	14
2.0776705741882324:	imu;	yaw,	4.937100410461426
2.102034568786621:	imu;	yaw,	4.940372943878174
2.1124660968780518:	imu;	yaw,	4.945827007293701
2.1170005798339844:	imu;	yaw,	4.946917533874512
2.1239359378814697:	imu;	yaw,	4.949099540710449
2.154845714569092:	imu;	yaw,	4.9512810707092285
2.1557939052581787:	encoder;	counts,	15
2.1564178466796875:	imu;	yaw,	4.958916664123535
2.165696382522583:	imu;	yaw,	4.962189197540283
2.1740076541900635:	imu;	yaw,	4.964371204376221
2.1804580688476562:	servo;	-23
2.1844117641448975:	imu;	yaw,	4.967643737792969
2.185276746749878:	servo;	-22
2.218583822250366:	imu;	yaw,	4.970916271209717
2.219020128250122:	imu;	yaw,	4.975279331207275
2.2233922481536865:	imu;	yaw,	4.978551864624023
2.23203182220459:	imu;	yaw,	4.98291540145874
2.245689630508423:	encoder;	counts,	16
2.2515177726745605:	imu;	yaw,	4.992732524871826
2.2809224128723145:	imu;	yaw,	4.994914531707764
2.281507730484009:	altitude;	altitude,	-19.80648422241211
2.2821133136749268:	imu;	yaw,	5.00255012512207
2.2923696041107178:	imu;	yaw,	5.009095191955566
2.3015995025634766:	imu;	yaw,	5.012367248535156
2.3107502460479736:	encoder;	counts,	17
2.340794563293457:	imu;	yaw,	5.017821788787842
2.3415558338165283:	imu;	yaw,	5.020003318786621
2.3502941131591797:	imu;	yaw,	5.0221848487854
2.3578028678894043:	imu;	yaw,	5.02436637878418
2.3605496883392334:	imu;	yaw,	5.026548385620117
2.370089054107666:	imu;	yaw,	5.0287299156188965
2.3799757957458496:	imu;	yaw,	5.0320024490356445
2.418130874633789:	encoder;	counts,	18
2.4197702407836914:	imu;	yaw,	5.041820049285889
2.4210567474365234:	imu;	yaw,	5.045092582702637
2.4304964542388916:	imu;	yaw,	5.050546646118164
2.433645248413086:	imu;	yaw,	5.053819179534912
2.4416568279266357:	imu;	yaw,	5.056000709533691
2.453655481338501:	imu;	yaw,	5.0592732429504395
2.489856004714966:	imu;	yaw,	5.063636779785156
2.4905917644500732:	encoder;	counts,	19
2.491251230239868:	imu;	yaw,	5.073453903198242
2.4964101314544678:	altitude;	altitude,	-28.219486236572266
2.5060598850250244:	imu;	yaw,	5.082180976867676
2.5135960578918457:	imu;	yaw,	5.085453510284424
2.5422871112823486:	imu;	yaw,	5.088725566864014
2.544027805328369:	imu;	yaw,	5.091998100280762
2.5542187690734863:	servo;	-21
2.5561444759368896:	imu;	yaw,	5.09527063369751
2.5568268299102783:	encoder;	counts,	20
2.564568519592285:	imu;	yaw,	5.0963616371154785
2.5679001808166504:	servo;	-16
2.579725980758667:	imu;	yaw,	5.098543167114258
2.6027331352233887:	servo;	-15
2.60754132270813:	imu;	yaw,	5.101815700531006
2.608154296875:	imu;	yaw,	5.105088233947754
2.61002516746521:	servo;	-11
2.6137259006500244:	imu;	yaw,	5.108360767364502
2.6169188022613525:	servo;	-9
2.6219143867492676:	servo;	-8
2.6272082328796387:	imu;	yaw,	5.113814830780029
2.6298904418945312:	servo;	-7
2.6344528198242188:	servo;	-5
2.654458999633789:	servo;	-2
2.6562037467956543:	imu;	yaw,	5.117087364196777
2.6567561626434326:	encoder;	counts,	21
2.662616729736328:	servo;	-1
2.6640892028808594:	imu;	yaw,	5.12799596786499
2.670320510864258:	servo;	0
2.6768813133239746:	imu;	yaw,	5.132359027862549
2.6913397312164307:	imu;	yaw,	5.137813091278076
2.704591989517212:	imu;	yaw,	5.141085624694824
2.7279512882232666:	imu;	yaw,	5.148721218109131
2.728454828262329:	encoder;	counts,	22
2.736177444458008:	altitude;	altitude,	-29.112573623657227
2.7451348304748535:	imu;	yaw,	5.157447814941406
2.776536464691162:	imu;	yaw,	5.159629821777344
2.7823591232299805:	imu;	yaw,	5.160720348358154
2.783315658569336:	imu;	yaw,	5.162902355194092
2.793471574783325:	imu;	yaw,	5.165083885192871
2.803097724914551:	encoder;	counts,	23
2.810206413269043:	imu;	yaw,	5.16944694519043
2.8409807682037354:	imu;	yaw,	5.168356418609619
2.8420591354370117:	imu;	yaw,	5.16944694519043
2.894214391708374:	servo;	1
2.997429132461548:	servo;	0
3.0375049114227295:	gps;	lat,	42.427337646484375|	long,	-71.42086029052734|	altitude,	0.0|	found,	13
3.0379796028137207:	encoder;	counts,	26
3.044534683227539:	imu;	yaw,	5.141085624694824
3.0538082122802734:	servo;	-2
3.0614233016967773:	imu;	yaw,	5.142176151275635
3.0663657188415527:	servo;	-3
3.079710006713867:	encoder;	counts,	27
3.1007676124572754:	imu;	yaw,	5.141085624694824
3.1015625:	imu;	yaw,	5.138903617858887
3.1154708862304688:	imu;	yaw,	5.136722087860107
3.118553400039673:	imu;	yaw,	5.134540557861328
3.133986711502075:	imu;	yaw,	5.132359027862549
3.1654021739959717:	imu;	yaw,	5.1301774978637695
3.1661014556884766:	encoder;	counts,	28
3.1717746257781982:	imu;	yaw,	5.129086494445801
3.176701784133911:	altitude;	altitude,	-28.80607032775879
3.184250593185425:	imu;	yaw,	5.125813961029053
3.2205288410186768:	encoder;	counts,	29
3.223766326904297:	imu;	yaw,	5.124723434448242
3.2348313331604004:	imu;	yaw,	5.123632431030273
3.2469794750213623:	altitude;	altitude,	-29.329240798950195
3.272247552871704:	servo;	-2
3.280367851257324:	imu;	yaw,	5.120359897613525
3.2818310260772705:	encoder;	counts,	30
3.290786027908325:	imu;	yaw,	5.118178367614746
3.293330430984497:	servo;	-1
3.305654764175415:	imu;	yaw,	5.117087364196777
3.3321034908294678:	servo;	0
3.3340706825256348:	altitude;	altitude,	-28.488996505737305
3.344933032989502:	imu;	yaw,	5.114905834197998
3.3546199798583984:	encoder;	counts,	31
3.363675117492676:	imu;	yaw,	5.110542297363281
3.3990466594696045:	imu;	yaw,	5.11163330078125
3.3995680809020996:	imu;	yaw,	5.113814830780029
3.40510630607605:	encoder;	counts,	32
3.425044298171997:	altitude;	altitude,	-28.56298065185547
3.4351534843444824:	imu;	yaw,	5.115996837615967
3.464402198791504:	imu;	yaw,	5.114905834197998
3.467695474624634:	imu;	yaw,	5.113814830780029
3.476195812225342:	encoder;	counts,	33
3.4862587451934814:	imu;	yaw,	5.112724304199219
3.494297981262207:	imu;	yaw,	5.110542297363281
3.533836603164673:	imu;	yaw,	5.109451770782471
3.5374269485473633:	altitude;	altitude,	-28.578834533691406
3.5381624698638916:	imu;	yaw,	5.106179237365723
3.5385913848876953:	encoder;	counts,	34
3.547255277633667:	imu;	yaw,	5.103997230529785
3.565730571746826:	imu;	yaw,	5.102906703948975
3.5914599895477295:	altitude;	altitude,	-28.73737144470215
3.5955941677093506:	imu;	yaw,	5.103997230529785
3.6042439937591553:	servo;	-1
3.608759641647339:	encoder;	counts,	35
3.6120781898498535:	servo;	-2
3.6171188354492188:	imu;	yaw,	5.102906703948975
3.6361780166625977:	imu;	yaw,	5.101815700531006
3.645669460296631:	imu;	yaw,	5.099634170532227
3.6586475372314453:	encoder;	counts,	36
3.6797432899475098:	imu;	yaw,	5.098543167114258
3.686680316925049:	imu;	yaw,	5.09527063369751
3.697409152984619:	imu;	yaw,	5.0930891036987305
3.7361693382263184:	altitude;	altitude,	-28.330461502075195
3.7366878986358643:	imu;	yaw,	5.088725566864014
3.7372019290924072:	encoder;	counts,	37
3.7376859188079834:	imu;	yaw,	5.084362506866455
3.748081684112549:	imu;	yaw,	5.085453510284424
3.766765832901001:	imu;	yaw,	5.087635040283203
3.7897942066192627:	encoder;	counts,	38
3.7905406951904297:	imu;	yaw,	5.086544036865234
3.7999932765960693:	altitude;	altitude,	-28.446720123291016
3.803851366043091:	servo;	-1
3.806988477706909:	imu;	yaw,	5.085453510284424
