0.15504980087280273:	servo;	-1
0.15847420692443848:	gps;	lat,	42.427303314208984|	long,	71.42086029052734|	altitude,	0.0|	found,	13
0.1588134765625:	imu;	yaw,	6.18610143661499
0.15909600257873535:	encoder;	counts,	0
0.15935063362121582:	altitude;	altitude,	69.59749603271484
0.15962505340576172:	altitude;	altitude,	69.59749603271484
0.15988779067993164:	altitude;	altitude,	69.59749603271484
0.16017484664916992:	altitude;	altitude,	69.59749603271484
0.16062045097351074:	altitude;	altitude,	69.59749603271484
0.16087889671325684:	altitude;	altitude,	69.59749603271484
0.1611473560333252:	altitude;	altitude,	69.59749603271484
0.1614062786102295:	altitude;	altitude,	69.59749603271484
0.16166973114013672:	altitude;	altitude,	69.59749603271484
0.16211366653442383:	altitude;	altitude,	69.59749603271484
0.1624753475189209:	altitude;	altitude,	69.59749603271484
0.1630089282989502:	servo;	-2
0.16548776626586914:	altitude;	altitude,	69.59749603271484
0.19441604614257812:	altitude;	altitude,	69.59749603271484
0.22354698181152344:	altitude;	altitude,	69.59749603271484
0.24957036972045898:	altitude;	altitude,	69.59749603271484
0.26183128356933594:	servo;	-1
0.2736060619354248:	servo;	-2
0.2904186248779297:	altitude;	altitude,	69.59749603271484
0.3253962993621826:	altitude;	altitude,	69.59749603271484
0.3528025150299072:	altitude;	altitude,	69.59749603271484
0.48180174827575684:	gps;	lat,	42.427303314208984|	long,	71.42086029052734|	altitude,	0.0|	found,	13
0.4877133369445801:	imu;	yaw,	6.18610143661499
0.5005707740783691:	altitude;	altitude,	69.59749603271484
0.5039834976196289:	imu;	yaw,	6.18610143661499
0.5323982238769531:	altitude;	altitude,	69.59749603271484
0.5410847663879395:	imu;	yaw,	6.18610143661499
0.5597970485687256:	altitude;	altitude,	69.59749603271484
0.5917701721191406:	imu;	yaw,	6.18610143661499
0.598132848739624:	altitude;	altitude,	69.59749603271484
0.62091064453125:	altitude;	altitude,	69.59749603271484
0.6237776279449463:	imu;	yaw,	6.18610143661499
0.6503291130065918:	altitude;	altitude,	69.59749603271484
0.6760232448577881:	altitude;	altitude,	69.59749603271484
0.7058439254760742:	altitude;	altitude,	69.59749603271484
0.7391362190246582:	altitude;	altitude,	69.59749603271484
0.7605733871459961:	altitude;	altitude,	69.59749603271484
0.7878336906433105:	altitude;	altitude,	69.59749603271484
0.8146486282348633:	altitude;	altitude,	69.59749603271484
0.8432464599609375:	imu;	yaw,	6.18610143661499
0.8487575054168701:	altitude;	altitude,	69.59749603271484
0.8716347217559814:	altitude;	altitude,	69.59749603271484
0.8933773040771484:	imu;	yaw,	6.18610143661499
0.905754804611206:	altitude;	altitude,	69.59749603271484
0.9287679195404053:	altitude;	altitude,	69.59749603271484
0.9331858158111572:	imu;	yaw,	6.18610143661499
0.9586973190307617:	altitude;	altitude,	69.59749603271484
0.9835247993469238:	imu;	yaw,	6.18610143661499
0.9926912784576416:	imu;	yaw,	6.18610143661499
0.9991953372955322:	altitude;	altitude,	69.59749603271484
1.0036652088165283:	imu;	yaw,	6.18610143661499
1.0197391510009766:	imu;	yaw,	6.18610143661499
1.0247023105621338:	imu;	yaw,	6.18610143661499
1.0440373420715332:	altitude;	altitude,	69.59749603271484
1.048691987991333:	imu;	yaw,	6.18610143661499
1.053640365600586:	imu;	yaw,	6.18610143661499
1.0740668773651123:	imu;	yaw,	6.18610143661499
1.0816094875335693:	altitude;	altitude,	69.59749603271484
1.0932321548461914:	imu;	yaw,	6.18610143661499
1.113694667816162:	altitude;	altitude,	69.59749603271484
1.1217002868652344:	servo;	-1
1.1241137981414795:	imu;	yaw,	6.18610143661499
1.1357364654541016:	servo;	-2
1.1508471965789795:	altitude;	altitude,	69.63184356689453
1.155785083770752:	imu;	yaw,	6.192646503448486
1.1649229526519775:	imu;	yaw,	6.192646503448486
1.1751923561096191:	imu;	yaw,	6.192646503448486
1.1834800243377686:	imu;	yaw,	6.192646503448486
1.1939983367919922:	imu;	yaw,	6.192646503448486
1.203068494796753:	altitude;	altitude,	69.63184356689453
1.2079708576202393:	imu;	yaw,	6.192646503448486
