,servo_steering,gps,,,,,,,encoder,imu,,,,,,,,,,,,
timestamp,position,lat_min,lat_sec,long_min,long_sec,speed,heading,hdop,counts,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,quat_w,quat_x,quat_y,quat_z
162.0090618134,-84,40,26.5881996155,79,56.3603019714,11.8527994156,1.0499999523,349.9599914551,68,0,0,0,0,0,0,0,0,0,0,0,0,0
162.1096279621,-86,40,26.5881996155,79,56.3603019714,11.8527994156,1.0499999523,349.9599914551,68,-1.6200000048,-1.5700000525,-26.0799999237,0.4944444299,-0.349999994,0.3555555642,305.0625,-4.4375,-1.1875,0.8866577148,3.9915161133,0.0394897461,0.4606933594
162.2100176811,-86,40,26.5881996155,79,56.3603019714,11.8527994156,1.0499999523,349.9599914551,68,-0.6399999857,0.8299999833,-12.3199996948,0.0033333334,0.0900000036,0.1433333308,303.875,-4.3125,-1.125,0.8818359375,3.9908447266,0.0382080078,0.469909668
162.3164653778,-86,40,26.5881996155,79,56.3603019714,11.8527994156,1.0499999523,349.9599914551,68,1.4900000095,-1.4199999571,2.5599999428,-0.1388888955,0.1644444466,0.0311111119,303.5,-4.25,-1.125,0.8803710938,3.9910888672,0.0375366211,0.4727783203
162.4236352444,-88,40,26.5881996155,79,56.3603019714,11.8527994156,1.0499999523,349.9599914551,70,1.8999999762,-0.5,-2.7899999619,0.0299999993,0.1822222173,-0.0055555557,303.5625,-4.25,-1.25,0.8806152344,3.9922485352,0.0381469727,0.4721679688
162.5279254913,-86,40,26.5881996155,79,56.3603019714,11.8527994156,1.0499999523,349.9599914551,70,-0.4399999976,-1.1299999952,2.5799999237,-0.3222222328,-0.1377777755,-0.0922222212,303.8125,-4.375,-1.125,0.881652832,3.9906005859,0.0386352539,0.4702148438
162.6287584305,-86,40,26.5881996155,79,56.3603019714,11.8527994156,1.0499999523,349.9599914551,70,1.0299999714,-0.8000000119,-0.5199999809,-0.2222222239,-0.151111111,-0.1044444442,304.3125,-4.5,-1.0625,0.883605957,3.9898681641,0.0391235352,0.4664306641
162.7321543694,-88,40,26.5899009705,79,56.3611984253,11.0564393997,1.0499999523,339.7600097656,71,-2.2699999809,-0.7300000191,22.2800006866,0.0033333334,-0.2733333409,-0.2611111104,305.0625,-4.3125,-1.25,0.8865966797,3.9925537109,0.0388183594,0.4608764648
162.8384170532,-86,40,26.5899009705,79,56.3611984253,11.0564393997,1.0499999523,339.7600097656,71,-0.349999994,1.4700000286,-3.7400000095,0.6999999881,-0.3544444442,-0.0588888898,305.75,-4.5,-0.9375,0.889465332,3.9896240234,0.0391235352,0.4552612305
162.9432547092,-86,40,26.5899009705,79,56.3611984253,11.0564393997,1.0499999523,339.7600097656,71,3.25,-2.5099999905,-2.8099999428,0.0311111119,0.3866666555,-0.2300000042,307.0625,-5,-0.8125,0.8942871094,3.9869995117,0.0423583984,0.4452514648
163.0520379543,-86,40,26.5899009705,79,56.3611984253,11.0564393997,1.0499999523,339.7600097656,71,-1.4299999475,-0.4300000072,-11.8599996567,0.3377777636,-0.2655555606,-0.25,308.3125,-4.375,-1,0.8994750977,3.9912109375,0.0386962891,0.4352416992
163.151709795,-88,40,26.5899009705,79,56.3611984253,11.0564393997,1.0499999523,339.7600097656,71,0.6499999762,-1.3999999762,-0.5500000119,-0.0655555576,-0.277777791,-0.0622222237,309.3125,-4.6875,-0.6875,0.9030151367,3.9879760742,0.039855957,0.4275512695
163.2612502575,-86,40,26.5899009705,79,56.3611984253,11.0564393997,1.0499999523,339.7600097656,71,1.2200000286,-1.1200000048,-2.1600000858,-0.0288888887,-0.3211111128,-0.1766666621,309.8125,-4.3125,-0.6875,0.9051513672,3.989440918,0.0367431641,0.4233398438
163.3658862114,-86,40,26.5899009705,79,56.3611984253,11.0564393997,1.0499999523,339.7600097656,71,-1.6200000048,0.1199999973,-16.1599998474,0.5177778006,0.0677777752,-0.1288888901,310.75,-4.5,-0.9375,0.9083251953,3.9910888672,0.0394287109,0.4162597656
163.470489502,-86,40,26.5899009705,79,56.3611984253,11.0564393997,1.0499999523,339.7600097656,71,-0.25,2.2300000191,-24.6100006104,-0.2844444513,0.1422222257,-0.0655555576,311.25,-4.6875,-0.8125,0.91015625,3.9898681641,0.0407714844,0.4120483398
163.5707018375,-86,40,26.5899009705,79,56.3611984253,11.0564393997,1.0499999523,339.7600097656,71,0.349999994,1.4299999475,-28.5200004578,0.8633333445,-0.3422222137,-0.1277777851,312.125,-4.625,-1.1875,0.913269043,3.9932861328,0.0416259766,0.4051513672
163.6741373539,-88,40,26.5899009705,79,56.3611984253,11.0564393997,1.0499999523,339.7600097656,71,0.3600000143,1.6799999475,20.2399997711,-0.8977777958,0.4222222269,-0.2244444489,312.4375,-4.6875,-0.9375,0.9144897461,3.9909057617,0.0410766602,0.4024047852
163.7799055576,-88,40,26.5914001465,79,56.3623008728,10.2230396271,1.0499999523,324.5400085449,71,-1.7599999905,-0.0199999996,3.4700000286,0.1811111122,0.2344444394,-0.2199999988,313.75,-4.875,-1.125,0.9188232422,3.9923706055,0.0435180664,0.3922119141
163.882799387,-86,40,26.5914001465,79,56.3623008728,10.2230396271,1.0499999523,324.5400085449,71,0.8999999762,1.4600000381,-7.2699999809,0.1088888869,-0.4155555665,-0.1366666704,314.25,-4.5625,-1.0625,0.9206542969,3.9934082031,0.0407104492,0.3881835938
163.9868383408,-86,40,26.5914001465,79,56.3623008728,10.2230396271,1.0499999523,324.5400085449,71,0.6499999762,-1.3700000048,-12.1099996567,0.5544444323,-0.2466666698,-0.1377777755,315.5,-4.75,-1.4375,0.9247436523,3.9959106445,0.0434570313,0.3781738281
164.0856630802,-86,40,26.5914001465,79,56.3623008728,10.2230396271,1.0499999523,324.5400085449,71,1.0599999428,-0.5500000119,-13.0500001907,-0.0900000036,-0.0088888891,-0.1844444424,316.25,-5,-1.3125,0.9271850586,3.9942016602,0.0451660156,0.3718261719
164.1919682026,-86,40,26.5914001465,79,56.3623008728,10.2230396271,1.0499999523,324.5400085449,71,1.2799999714,0.5,-4.1799998283,0.2655555606,0.0799999982,-0.0455555543,317.125,-4.6875,-1.4375,0.9299926758,3.996887207,0.0430908203,0.3649902344
164.2917559147,-88,40,26.5914001465,79,56.3623008728,10.2230396271,1.0499999523,324.5400085449,71,-1.8799999952,-0.2099999934,-13.9499998093,0.3166666627,-0.3611111045,-0.043333333,317.5625,-4.6875,-1.5,0.9314575195,3.9973754883,0.0429077148,0.3612670898
164.3957104683,-50,40,26.5914001465,79,56.3623008728,10.2230396271,1.0499999523,324.5400085449,71,-1.0199999809,0.400000006,-12.9899997711,0.8744444251,-0.0355555564,-0.151111111,318.8125,-4.6875,-1.8125,0.9353027344,0.0004272461,0.0439453125,0.3511352539
164.4995508194,5,40,26.5914001465,79,56.3623008728,10.2230396271,1.0499999523,324.5400085449,71,-2.9800000191,-0.5299999714,10.7100000381,0.4955555499,-0.1866666675,-0.0266666673,319.5,-4.625,-1.5625,0.9373779297,3.9990234375,0.0432128906,0.3455200195
164.6048867702,5,40,26.5914001465,79,56.3623008728,10.2230396271,1.0499999523,324.5400085449,71,3.3599998951,-0.0399999991,-7.8400001526,-0.3177777827,-0.1000000015,-0.1177777797,320.25,-4.5625,-1.5625,0.9396362305,3.9994506836,0.0426635742,0.3395385742
164.7108297348,82,40,26.5926017761,79,56.3633995056,8.8710794449,1.0499999523,332.0700073242,72,1.3400000334,-0.2599999905,-8.1999998093,0.1455555558,0.1344444454,0.1366666704,320.5625,-5,-2.25,0.9403686523,0.0040283203,0.048034668,0.336730957
164.8114173412,46,40,26.5926017761,79,56.3633995056,8.8710794449,1.0499999523,332.0700073242,72,-6.4600000381,-0.5299999714,10.75,-0.4377777874,-0.1166666672,0.043333333,320.625,-4.9375,-1.5625,0.9407348633,3.9982299805,0.0454711914,0.3360595703
164.9208545685,5,40,26.5926017761,79,56.3633995056,8.8710794449,1.0499999523,332.0700073242,73,-7.75,-1.5800000429,7.7300000191,0.1711111069,-0.1288888901,0.3644444346,319.875,-5.0625,-1.6875,0.9383544922,3.9990234375,0.0469360352,0.3424682617
