0.008246660232543945:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.01865220069885254:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.009999999776482582|	accel_y,	0.05999999865889549|	compass,	1.6408315896987915|	ang_vx,	0.013962634839117527|	ang_vy,	-0.013962634839117527
0.023888826370239258:	encoder;	counts,	0
0.04283475875854492:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.0|	accel_y,	0.03999999910593033|	compass,	1.6408315896987915|	ang_vx,	0.0|	ang_vy,	-0.013962634839117527
0.12227463722229004:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.1389763355255127:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.0|	accel_y,	0.07999999821186066|	compass,	1.638938307762146|	ang_vx,	-0.0069813174195587635|	ang_vy,	0.0
0.3219480514526367:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.33907318115234375:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.009999999776482582|	accel_y,	0.05999999865889549|	compass,	1.6396900415420532|	ang_vx,	-0.020943952724337578|	ang_vy,	-0.013962634839117527
0.35877060890197754:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.019999999552965164|	accel_y,	0.05000000074505806|	compass,	1.6396900415420532|	ang_vx,	-0.0069813174195587635|	ang_vy,	-0.013962634839117527
0.43839335441589355:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.0|	accel_y,	0.05000000074505806|	compass,	1.6367383003234863|	ang_vx,	0.0069813174195587635|	ang_vy,	0.0
0.4787888526916504:	imu;	yaw,	-1.3777192831039429|	accel_x,	-0.009999999776482582|	accel_y,	0.07000000029802322|	compass,	1.6367383003234863|	ang_vx,	0.0069813174195587635|	ang_vy,	0.0
0.5217032432556152:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.5405635833740234:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.009999999776482582|	accel_y,	0.09000000357627869|	compass,	1.6387910842895508|	ang_vx,	0.0069813174195587635|	ang_vy,	0.0069813174195587635
0.6192221641540527:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.019999999552965164|	accel_y,	0.07000000029802322|	compass,	1.6410722732543945|	ang_vx,	0.013962634839117527|	ang_vy,	0.013962634839117527
0.7221493721008301:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.7404270172119141:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.009999999776482582|	accel_y,	0.03999999910593033|	compass,	1.6387910842895508|	ang_vx,	0.0|	ang_vy,	0.0069813174195587635
0.8810818195343018:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.009999999776482582|	accel_y,	0.07000000029802322|	compass,	1.6388522386550903|	ang_vx,	0.0|	ang_vy,	-0.0069813174195587635
0.9215888977050781:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.9388844966888428:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.0|	accel_y,	0.07999999821186066|	compass,	1.639012098312378|	ang_vx,	0.0|	ang_vy,	0.0069813174195587635
1.122365951538086:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.1400156021118164:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.0|	accel_y,	0.07000000029802322|	compass,	1.6387910842895508|	ang_vx,	0.0|	ang_vy,	0.0
1.266955852508545:	blue_led;	254
1.2715437412261963:	motors;	-99
1.27852201461792:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.009999999776482582|	accel_y,	0.07000000029802322|	compass,	1.6387910842895508|	ang_vx,	0.0|	ang_vy,	0.0069813174195587635
1.27956223487854:	blue_led;	202
1.2841475009918213:	motors;	-79
1.3109221458435059:	blue_led;	171
1.315488576889038:	motors;	-67
1.3213977813720703:	blue_led;	98
1.3227040767669678:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.326040267944336:	motors;	-38
1.340925931930542:	blue_led;	97
1.3437011241912842:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.019999999552965164|	accel_y,	0.3700000047683716|	compass,	1.638002634048462|	ang_vx,	-0.09773844480514526|	ang_vy,	0.04886922240257263
1.351081132888794:	blue_led;	96
1.3556225299835205:	motors;	-37
1.3602447509765625:	blue_led;	95
1.369001865386963:	blue_led;	94
1.3794126510620117:	blue_led;	93
1.3838117122650146:	motors;	-36
1.3882298469543457:	blue_led;	87
1.3926606178283691:	motors;	-34
1.3972413539886475:	blue_led;	86
1.4017002582550049:	motors;	-33
1.4062120914459229:	blue_led;	85
1.4163761138916016:	blue_led;	82
1.4207427501678467:	motors;	-32
1.4251832962036133:	blue_led;	77
1.4295375347137451:	motors;	-30
1.4340298175811768:	blue_led;	74
1.4385027885437012:	motors;	-29
1.4430477619171143:	blue_led;	61
1.447441816329956:	motors;	-24
1.4518659114837646:	blue_led;	58
1.4562046527862549:	motors;	-22
1.4605774879455566:	blue_led;	54
1.4649124145507812:	motors;	-21
1.4706943035125732:	blue_led;	0
1.4750549793243408:	motors;	0
1.4808824062347412:	blue_led;	148
1.485365867614746:	motors;	-58
1.4913356304168701:	blue_led;	171
1.4956951141357422:	motors;	-67
1.5001537799835205:	blue_led;	208
1.5044746398925781:	motors;	-81
1.5103442668914795:	blue_led;	237
1.5147035121917725:	motors;	-93
1.5192320346832275:	blue_led;	255
1.5235974788665771:	motors;	-100
1.525038242340088:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.544274091720581:	imu;	yaw,	-1.380991816520691|	accel_x,	0.0|	accel_y,	-0.20999999344348907|	compass,	1.6355875730514526|	ang_vx,	-1.29154372215271|	ang_vy,	-0.05585053935647011
1.722292184829712:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.8285253047943115:	imu;	yaw,	-1.3908092975616455|	accel_x,	0.03999999910593033|	accel_y,	0.28999999165534973|	compass,	1.59352707862854|	ang_vx,	0.6283185482025146|	ang_vy,	-0.27227136492729187
1.8584377765655518:	imu;	yaw,	-1.3929909467697144|	accel_x,	0.10999999940395355|	accel_y,	0.18000000715255737|	compass,	1.5573005676269531|	ang_vx,	-0.16755162179470062|	ang_vy,	0.18151424825191498
2.1223535537719727:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.146482229232788:	servo;	8
2.290205955505371:	servo;	0
2.321460247039795:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.52239727973938:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.60701322555542:	servo;	-10
2.6188206672668457:	servo;	-11
2.6271963119506836:	servo;	-13
2.650509834289551:	servo;	-14
2.7222256660461426:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.787076473236084:	servo;	-13
2.7988052368164062:	servo;	-11
2.918741226196289:	imu;	yaw,	-1.5555247068405151|	accel_x,	0.38999998569488525|	accel_y,	0.12999999523162842|	compass,	1.4151235818862915|	ang_vx,	-0.33510324358940125|	ang_vy,	0.10471976548433304
2.939298152923584:	servo;	-10
2.9784226417541504:	servo;	0
3.1087117195129395:	imu;	yaw,	-1.5435255765914917|	accel_x,	-0.11999999731779099|	accel_y,	0.9700000286102295|	compass,	1.6029753684997559|	ang_vx,	0.642281174659729|	ang_vy,	0.1186823919415474
3.122225761413574:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.2884416580200195:	imu;	yaw,	-1.5675238370895386|	accel_x,	-0.17000000178813934|	accel_y,	0.09000000357627869|	compass,	1.2582285404205322|	ang_vx,	0.05585053935647011|	ang_vy,	0.18151424825191498
3.321566104888916:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.403254508972168:	servo;	-10
3.4224565029144287:	servo;	-11
3.4360110759735107:	servo;	-12
3.442958116531372:	servo;	-14
3.4687609672546387:	servo;	-15
3.522374153137207:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.638794422149658:	imu;	yaw,	-1.604612112045288|	accel_x,	0.28999999165534973|	accel_y,	-0.03999999910593033|	compass,	1.7086843252182007|	ang_vx,	0.2932153344154358|	ang_vy,	1.0192723274230957
3.721839666366577:	gps;	long,	0.0|	lat,	0.0|	fix,	False
