-1:	dummy;	3.4.0	1.8.4	0	1	0	0
0.0004019737243652344:	dummy;	0.00039	10	-19	82
0.08631706237792969:	time lag;	0.00040	0.00039
0.0009338855743408203:	dummy;	0.001354	8	-18	84
0.08647012710571289:	time lag;	0.00093	0.00135
0.0009410381317138672:	dummy;	0.002312	6	-17	86
0.08652305603027344:	time lag;	0.00094	0.00231
0.0009458065032958984:	dummy;	0.003268	4	-16	88
0.08656716346740723:	time lag;	0.00095	0.00327
0.0009520053863525391:	dummy;	0.004225	4	-16	88
0.0866091251373291:	time lag;	0.00095	0.00422
0.0009598731994628906:	dummy;	0.005177999	4	-16	88
0.08665108680725098:	time lag;	0.00096	0.00518
0.0009639263153076172:	dummy;	0.006125	5	-17	86
0.08673095703125:	time lag;	0.00096	0.00613
0.001542806625366211:	dummy;	0.007081	6	-18	84
0.0867760181427002:	time lag;	0.00154	0.00708
0.0015549659729003906:	dummy;	0.008039001	7	-19	82
0.08681607246398926:	time lag;	0.00155	0.00804
0.0026488304138183594:	dummy;	0.008995999	8	-20	80
0.08685612678527832:	time lag;	0.00265	0.00900
0.003841876983642578:	dummy;	0.009956	8	-20	80
0.08689403533935547:	time lag;	0.00384	0.00996
0.005055904388427734:	dummy;	0.010913	8	-20	80
0.08693313598632812:	time lag;	0.00506	0.01091
0.006230831146240234:	dummy;	0.01187	8	-20	80
0.08697199821472168:	time lag;	0.00623	0.01187
0.007292032241821289:	dummy;	0.012826	8	-20	80
0.08701109886169434:	time lag;	0.00729	0.01283
0.008391857147216797:	dummy;	0.013784	8	-20	80
0.08704900741577148:	time lag;	0.00839	0.01378
0.00958395004272461:	dummy;	0.014741	8	-20	80
0.08708810806274414:	time lag;	0.00958	0.01474
0.009598016738891602:	dummy;	0.015699	8	-20	80
0.08712601661682129:	time lag;	0.00960	0.01570
0.010663986206054688:	dummy;	0.016656	8	-20	80
0.08716511726379395:	time lag;	0.01066	0.01666
0.011799812316894531:	dummy;	0.017614	8	-20	80
0.0872030258178711:	time lag;	0.01180	0.01761
0.011811017990112305:	dummy;	0.018572	8	-20	80
0.08724212646484375:	time lag;	0.01181	0.01857
0.012971878051757812:	dummy;	0.019525	8	-20	80
0.0872800350189209:	time lag;	0.01297	0.01953
0.014142036437988281:	dummy;	0.020474	8	-20	80
0.08731913566589355:	time lag;	0.01414	0.02047
0.08440685272216797:	dummy;	0.021427	8	-20	80
0.19231295585632324:	time lag;	0.08441	0.02143
0.08461403846740723:	dummy;	0.022371	8	-19	80
0.1924760341644287:	time lag;	0.08461	0.02237
0.08462285995483398:	dummy;	0.023328	8	-18	80
0.19253301620483398:	time lag;	0.08462	0.02333
0.0846409797668457:	dummy;	0.024285	8	-17	80
0.1925821304321289:	time lag;	0.08464	0.02429
0.08464789390563965:	dummy;	0.025242	8	-16	80
0.192626953125:	time lag;	0.08465	0.02524
0.08465194702148438:	dummy;	0.026199	8	-16	80
0.1926710605621338:	time lag;	0.08465	0.02620
0.08465695381164551:	dummy;	0.02714	8	-16	80
0.19271397590637207:	time lag;	0.08466	0.02714
0.08466100692749023:	dummy;	0.028096	8	-16	80
0.19275712966918945:	time lag;	0.08466	0.02810
0.08466601371765137:	dummy;	0.029054	8	-16	80
0.19279909133911133:	time lag;	0.08467	0.02905
0.0846710205078125:	dummy;	0.03001	8	-16	80
0.1928410530090332:	time lag;	0.08467	0.03001
0.08467483520507812:	dummy;	0.030967	8	-16	80
0.19288206100463867:	time lag;	0.08467	0.03097
0.08467984199523926:	dummy;	0.031926	8	-16	80
0.19292402267456055:	time lag;	0.08468	0.03193
0.08468389511108398:	dummy;	0.032883	8	-16	80
0.19296503067016602:	time lag;	0.08468	0.03288
0.08468794822692871:	dummy;	0.03384	8	-16	80
0.19301509857177734:	time lag;	0.08469	0.03384
0.08469295501708984:	dummy;	0.034795	8	-16	80
0.19306302070617676:	time lag;	0.08469	0.03479
0.08469700813293457:	dummy;	0.035754	8	-16	80
0.19312214851379395:	time lag;	0.08470	0.03575
0.0847008228302002:	dummy;	0.036711	8	-16	80
0.19316506385803223:	time lag;	0.08470	0.03671
0.08470582962036133:	dummy;	0.037669	9	-19	81
0.1932060718536377:	time lag;	0.08471	0.03767
0.08470988273620605:	dummy;	0.038625	10	-22	82
0.19324803352355957:	time lag;	0.08471	0.03862
0.08471488952636719:	dummy;	0.039585	11	-25	83
0.19328904151916504:	time lag;	0.08471	0.03959
0.08471894264221191:	dummy;	0.040538	12	-28	84
0.1933290958404541:	time lag;	0.08472	0.04054
0.08472299575805664:	dummy;	0.04148	12	-28	84
0.19337010383605957:	time lag;	0.08472	0.04148
0.08472800254821777:	dummy;	0.042426	12	-28	84
0.19341111183166504:	time lag;	0.08473	0.04243
0.0847318172454834:	dummy;	0.043372	12	-28	84
0.1934671401977539:	time lag;	0.08473	0.04337
0.08473682403564453:	dummy;	0.044329	12	-28	84
0.1935110092163086:	time lag;	0.08474	0.04433
0.08474087715148926:	dummy;	0.045287	12	-28	84
0.19355201721191406:	time lag;	0.08474	0.04529
0.08474588394165039:	dummy;	0.046244	12	-28	84
0.19359302520751953:	time lag;	0.08475	0.04624
0.08475089073181152:	dummy;	0.047199	12	-28	84
0.193634033203125:	time lag;	0.08475	0.04720
0.08475494384765625:	dummy;	0.048143	12	-28	84
0.19367408752441406:	time lag;	0.08475	0.04814
0.08475995063781738:	dummy;	0.049102	12	-28	84
0.19371509552001953:	time lag;	0.08476	0.04910
0.08476400375366211:	dummy;	0.05005899	12	-28	84
0.193756103515625:	time lag;	0.08476	0.05006
0.08476781845092773:	dummy;	0.051018	12	-28	84
0.19379711151123047:	time lag;	0.08477	0.05102
0.08480596542358398:	dummy;	0.051975	12	-28	84
0.19383811950683594:	time lag;	0.08481	0.05198
0.08481097221374512:	dummy;	0.052934	12	-28	84
0.193878173828125:	time lag;	0.08481	0.05293
0.08481597900390625:	dummy;	0.053892	11	-26	85
0.19391798973083496:	time lag;	0.08482	0.05389
0.08482098579406738:	dummy;	0.05485	10	-24	86
0.19397497177124023:	time lag;	0.08482	0.05485
0.08482503890991211:	dummy;	0.055806	9	-22	87
0.1940150260925293:	time lag;	0.08483	0.05581
0.08482980728149414:	dummy;	0.056766	8	-20	88
0.19405508041381836:	time lag;	0.08483	0.05677
0.08483386039733887:	dummy;	0.057723	8	-20	88
0.19410204887390137:	time lag;	0.08483	0.05772
0.0848388671875:	dummy;	0.058681	8	-20	88
0.19413995742797852:	time lag;	0.08484	0.05868
0.08484292030334473:	dummy;	0.059637	8	-20	88
0.19417715072631836:	time lag;	0.08484	0.05964
0.08484697341918945:	dummy;	0.060596	8	-20	88
0.19421696662902832:	time lag;	0.08485	0.06060
0.08485198020935059:	dummy;	0.061553	8	-20	88
0.19425511360168457:	time lag;	0.08485	0.06155
0.08485603332519531:	dummy;	0.06251	8	-20	88
0.1942920684814453:	time lag;	0.08486	0.06251
0.08486104011535645:	dummy;	0.063449	8	-20	88
0.19432997703552246:	time lag;	0.08486	0.06345
0.08486485481262207:	dummy;	0.064394	8	-20	88
0.1943681240081787:	time lag;	0.08486	0.06439
0.08486795425415039:	dummy;	0.065351	8	-20	88
0.19440507888793945:	time lag;	0.08487	0.06535
0.08487200736999512:	dummy;	0.066308	8	-20	88
0.1944429874420166:	time lag;	0.08487	0.06631
0.08487701416015625:	dummy;	0.067265	8	-20	88
0.19448113441467285:	time lag;	0.08488	0.06727
0.08487987518310547:	dummy;	0.068222	8	-20	88
0.19451904296875:	time lag;	0.08488	0.06822
0.08488297462463379:	dummy;	0.069175	8	-21	86
0.19455695152282715:	time lag;	0.08488	0.06918
0.08490180969238281:	dummy;	0.070119	8	-22	84
0.194594144821167:	time lag;	0.08490	0.07012
0.08490896224975586:	dummy;	0.071076	8	-23	82
0.19463205337524414:	time lag;	0.08491	0.07108
0.08491182327270508:	dummy;	0.072033	8	-24	80
0.1946699619293213:	time lag;	0.08491	0.07203
0.08491683006286621:	dummy;	0.07299	8	-24	80
0.19470715522766113:	time lag;	0.08492	0.07299
0.08491992950439453:	dummy;	0.073948	8	-24	80
0.1947460174560547:	time lag;	0.08492	0.07395
0.08555102348327637:	dummy;	0.074905	8	-24	80
0.19478416442871094:	time lag;	0.08555	0.07490
0.08555793762207031:	dummy;	0.075862	8	-24	80
0.19482111930847168:	time lag;	0.08556	0.07586
0.08556103706359863:	dummy;	0.076819	8	-24	80
0.19485902786254883:	time lag;	0.08556	0.07682
0.08557796478271484:	dummy;	0.077778	8	-24	80
0.19489717483520508:	time lag;	0.08558	0.07778
0.08558297157287598:	dummy;	0.078736	8	-24	80
0.19494295120239258:	time lag;	0.08558	0.07874
0.08558797836303711:	dummy;	0.07969299	8	-24	80
0.19498109817504883:	time lag;	0.08559	0.07969
0.08559298515319824:	dummy;	0.08065001	8	-24	80
0.19502902030944824:	time lag;	0.08559	0.08065
0.08559703826904297:	dummy;	0.08161	8	-24	80
0.19506597518920898:	time lag;	0.08560	0.08161
0.085601806640625:	dummy;	0.08256599	8	-24	80
0.19510412216186523:	time lag;	0.08560	0.08257
0.08560681343078613:	dummy;	0.083522	8	-24	80
0.19514203071594238:	time lag;	0.08561	0.08352
0.08561086654663086:	dummy;	0.084472	8	-24	80
0.1952381134033203:	time lag;	0.08561	0.08447
0.08561587333679199:	dummy;	0.085424	9	-24	81
0.19527697563171387:	time lag;	0.08562	0.08542
0.08562302589416504:	dummy;	0.086368	10	-24	82
0.19531512260437012:	time lag;	0.08562	0.08637
0.08562994003295898:	dummy;	0.087327	11	-24	83
0.19535303115844727:	time lag;	0.08563	0.08733
0.08563399314880371:	dummy;	0.088283	12	-24	84
0.19539117813110352:	time lag;	0.08563	0.08828
0.08563899993896484:	dummy;	0.089241	12	-24	84
0.19546008110046387:	time lag;	0.08564	0.08924
0.08564400672912598:	dummy;	0.0902	12	-24	84
0.19551706314086914:	time lag;	0.08564	0.09020
0.0856478214263916:	dummy;	0.09114	12	-24	84
0.1955699920654297:	time lag;	0.08565	0.09114
0.08565282821655273:	dummy;	0.092096	12	-24	84
0.19562816619873047:	time lag;	0.08565	0.09210
0.08662080764770508:	dummy;	0.093054	12	-24	84
0.19566798210144043:	time lag;	0.08662	0.09305
0.08768081665039062:	dummy;	0.094011	12	-24	84
0.19570708274841309:	time lag;	0.08768	0.09401
0.0888528823852539:	dummy;	0.094969	12	-24	84
0.1957709789276123:	time lag;	0.08885	0.09497
0.08987092971801758:	dummy;	0.095928	12	-24	84
0.19580912590026855:	time lag;	0.08987	0.09593
0.09108996391296387:	dummy;	0.09688601	12	-24	84
0.1958470344543457:	time lag;	0.09109	0.09689
0.09320688247680664:	dummy;	0.097844	12	-24	84
0.19589710235595703:	time lag;	0.09321	0.09784
0.09321880340576172:	dummy;	0.098803	12	-24	84
0.19593501091003418:	time lag;	0.09322	0.09880
0.09438586235046387:	dummy;	0.099762	12	-24	84
0.19597506523132324:	time lag;	0.09439	0.09976
0.09555196762084961:	dummy;	0.100721	11	-22	83
0.1960129737854004:	time lag;	0.09555	0.10072
0.09556388854980469:	dummy;	0.101677	10	-20	82
0.19605302810668945:	time lag;	0.09556	0.10168
