0.0005199909210205078:	lidar;	43
0.0005519390106201172:	lidar;	33	1
0.0005688667297363281:	lidar;	44
0.0005788803100585938:	lidar;	34	1
0.0005919933319091797:	lidar;	45
0.0006029605865478516:	lidar;	35	1
0.0006148815155029297:	lidar;	40
0.0006248950958251953:	lidar;	36	1
0.000637054443359375:	lidar;	44
0.0006470680236816406:	lidar;	37	1
0.0006589889526367188:	lidar;	44
0.0006690025329589844:	lidar;	0	2
0.0006818771362304688:	lidar;	53
0.0006918907165527344:	lidar;	1	2
0.0007040500640869141:	lidar;	52
0.0007128715515136719:	lidar;	2	2
0.0007250308990478516:	lidar;	47
0.0007359981536865234:	lidar;	3	2
0.0007479190826416016:	lidar;	63
0.0007579326629638672:	lidar;	4	2
0.0007700920104980469:	lidar;	1
0.0007798671722412109:	lidar;	5	2
0.0007920265197753906:	lidar;	529
0.00080108642578125:	lidar;	6	2
0.0008130073547363281:	lidar;	439
0.0008230209350585938:	lidar;	7	2
0.0008358955383300781:	lidar;	396
0.0008449554443359375:	lidar;	8	2
0.0008580684661865234:	lidar;	538
0.0008668899536132812:	lidar;	9	2
0.0008790493011474609:	lidar;	327
0.0008878707885742188:	lidar;	10	2
0.0009000301361083984:	lidar;	345
0.0009100437164306641:	lidar;	11	2
0.0009219646453857422:	lidar;	372
0.0009319782257080078:	lidar;	12	2
0.0038509368896484375:	lidar;	410
0.003871917724609375:	lidar;	13	2
0.010820865631103516:	lidar;	486
0.010838031768798828:	lidar;	14	2
0.018738985061645508:	lidar;	978
0.018748044967651367:	lidar;	15	2
0.025728940963745117:	lidar;	908
0.02574300765991211:	lidar;	16	2
0.032737016677856445:	lidar;	905
0.03274989128112793:	lidar;	17	2
0.03976607322692871:	lidar;	139
0.03980207443237305:	lidar;	18	2
0.04375600814819336:	lidar;	99
0.043768882751464844:	lidar;	19	2
0.04770398139953613:	lidar;	84
0.04771089553833008:	lidar;	20	2
0.05671095848083496:	lidar;	74
0.05672597885131836:	lidar;	21	2
0.10588788986206055:	lidar;	65
0.10590696334838867:	lidar;	22	2
0.10601806640625:	lidar;	58
0.10602903366088867:	lidar;	23	2
0.10603594779968262:	lidar;	53
0.10604190826416016:	lidar;	24	2
0.1060478687286377:	lidar;	45
