0.0005168914794921875:	lidar;	14	1	8528
0.0005598068237304688:	lidar;	37
0.0005738735198974609:	lidar;	15	1	8384
0.0005869865417480469:	lidar;	32
0.0005970001220703125:	lidar;	16	1	8016
0.0006098747253417969:	lidar;	30
0.0006198883056640625:	lidar;	17	1	8000
0.0006308555603027344:	lidar;	27
0.000640869140625:	lidar;	18	1	7792
0.0006527900695800781:	lidar;	20
0.0006618499755859375:	lidar;	19	1	7976
0.0006740093231201172:	lidar;	19
0.000682830810546875:	lidar;	20	1	7952
0.0006949901580810547:	lidar;	20
0.0007050037384033203:	lidar;	21	1	7912
0.0007150173187255859:	lidar;	18
0.00072479248046875:	lidar;	22	1	7720
0.0007369518280029297:	lidar;	20
0.0007469654083251953:	lidar;	23	1	7816
0.0007579326629638672:	lidar;	20
0.0007669925689697266:	lidar;	24	1	7880
0.0007779598236083984:	lidar;	20
0.000804901123046875:	lidar;	25	1	7880
0.0008168220520019531:	lidar;	481
0.0008268356323242188:	lidar;	26	1	8008
0.0031549930572509766:	lidar;	404
0.0031719207763671875:	lidar;	27	1	8112
0.012063980102539062:	lidar;	373
0.013054847717285156:	lidar;	28	1	8424
0.02009892463684082:	lidar;	538
0.02011394500732422:	lidar;	29	1	8232
0.028064966201782227:	lidar;	330
0.028072834014892578:	lidar;	30	1	8196
0.03627896308898926:	lidar;	325
0.0363008975982666:	lidar;	31	1	8044
0.044122934341430664:	lidar;	329
0.04413580894470215:	lidar;	32	1	8064
0.06835794448852539:	lidar;	339
0.0683739185333252:	lidar;	33	1	8144
0.06838083267211914:	lidar;	364
0.06838679313659668:	lidar;	34	1	8048
0.06865286827087402:	lidar;	397
0.06872892379760742:	lidar;	35	1	8064
0.10649681091308594:	lidar;	1
0.10651397705078125:	lidar;	36	1	7896
0.1065208911895752:	lidar;	551
0.10653185844421387:	lidar;	37	1	7752
0.10653901100158691:	lidar;	705
0.10654401779174805:	lidar;	0	2	7800
0.10654902458190918:	lidar;	964
0.10655379295349121:	lidar;	1	2	7648
0.1071159839630127:	lidar;	907
0.10712695121765137:	lidar;	2	2	7816
0.11610293388366699:	lidar;	893
0.1161198616027832:	lidar;	3	2	7768
0.12224102020263672:	lidar;	343
0.12307095527648926:	lidar;	4	2	7376
0.14528894424438477:	lidar;	90
0.14531683921813965:	lidar;	5	2	22280
0.15213894844055176:	lidar;	75
0.1521589756011963:	lidar;	6	2	7680
0.17459893226623535:	lidar;	65
0.17461681365966797:	lidar;	7	2	7376
0.1746668815612793:	lidar;	60
0.17467379570007324:	lidar;	8	2	7400
0.17467999458312988:	lidar;	54
0.17504191398620605:	lidar;	9	2	7376
0.18207788467407227:	lidar;	51
0.1820847988128662:	lidar;	10	2	7520
0.18911099433898926:	lidar;	51
0.18912386894226074:	lidar;	11	2	7184
0.19605493545532227:	lidar;	50
0.19707798957824707:	lidar;	12	2	7256
0.20415997505187988:	lidar;	54
0.20417380332946777:	lidar;	13	2	7384
0.21215081214904785:	lidar;	56
0.2121729850769043:	lidar;	14	2	7760
0.21912193298339844:	lidar;	35
0.21913695335388184:	lidar;	15	2	7672
0.23301196098327637:	lidar;	32
0.23302793502807617:	lidar;	16	2	7384
0.23465895652770996:	lidar;	29
0.23466992378234863:	lidar;	17	2	7304
0.24185800552368164:	lidar;	27
0.24187183380126953:	lidar;	18	2	7376
0.24916982650756836:	lidar;	19
0.2491929531097412:	lidar;	19	2	7384
0.25618600845336914:	lidar;	19
0.2562079429626465:	lidar;	20	2	7384
0.2630789279937744:	lidar;	19
0.2630879878997803:	lidar;	21	2	7240
0.27107691764831543:	lidar;	18
0.2710838317871094:	lidar;	22	2	7376
0.27810096740722656:	lidar;	18
0.27811193466186523:	lidar;	23	2	7288
0.2850949764251709:	lidar;	18
0.28510284423828125:	lidar;	24	2	7400
0.31008386611938477:	lidar;	20
0.31009984016418457:	lidar;	25	2	7376
0.310107946395874:	lidar;	456
0.31011390686035156:	lidar;	26	2	7624
0.3101198673248291:	lidar;	403
0.31012487411499023:	lidar;	27	2	7608
0.3161599636077881:	lidar;	365
0.3161778450012207:	lidar;	28	2	7784
0.32315802574157715:	lidar;	540
0.3241269588470459:	lidar;	29	2	7752
0.33127498626708984:	lidar;	330
0.3312978744506836:	lidar;	30	2	7776
0.33913397789001465:	lidar;	325
0.33914780616760254:	lidar;	31	2	7744
0.3482789993286133:	lidar;	331
0.3483009338378906:	lidar;	32	2	7784
0.35407400131225586:	lidar;	340
0.3551158905029297:	lidar;	33	2	7728
0.36876797676086426:	lidar;	362
0.3687930107116699:	lidar;	34	2	7760
0.3703799247741699:	lidar;	397
0.370391845703125:	lidar;	35	2	7760
0.37810397148132324:	lidar;	440
0.3781168460845947:	lidar;	36	2	7504
0.3852248191833496:	lidar;	538
0.3852498531341553:	lidar;	37	2	7520
0.3942699432373047:	lidar;	750
0.39429497718811035:	lidar;	0	3	7416
0.4001128673553467:	lidar;	957
0.4001288414001465:	lidar;	1	3	7432
0.4081718921661377:	lidar;	907
0.40819287300109863:	lidar;	2	3	7504
0.415071964263916:	lidar;	895
0.41507887840270996:	lidar;	3	3	7416
0.42214393615722656:	lidar;	341
0.4221608638763428:	lidar;	4	3	7256
0.4441189765930176:	lidar;	90
0.444133996963501:	lidar;	5	3	21600
0.45128893852233887:	lidar;	75
0.4513258934020996:	lidar;	6	3	7376
0.45912885665893555:	lidar;	65
0.45914793014526367:	lidar;	7	3	7248
0.4661118984222412:	lidar;	59
0.46611881256103516:	lidar;	8	3	7288
0.47507786750793457:	lidar;	53
0.4750947952270508:	lidar;	9	3	7104
0.4802849292755127:	lidar;	52
0.48030686378479004:	lidar;	10	3	7416
0.4881608486175537:	lidar;	52
0.4881877899169922:	lidar;	11	3	6976
0.5076777935028076:	lidar;	51
0.5076918601989746:	lidar;	12	3	7208
0.5076999664306641:	lidar;	53
0.5077059268951416:	lidar;	13	3	7248
0.5091309547424316:	lidar;	55
0.5091419219970703:	lidar;	14	3	7536
0.5171489715576172:	lidar;	35
0.5171639919281006:	lidar;	15	3	7432
0.5242359638214111:	lidar;	30
0.5242609977722168:	lidar;	16	3	7120
0.5311160087585449:	lidar;	27
0.5311307907104492:	lidar;	17	3	7248
0.5380818843841553:	lidar;	27
0.538092851638794:	lidar;	18	3	7096
0.546090841293335:	lidar;	23
0.5461008548736572:	lidar;	19	3	7144
0.5523138046264648:	lidar;	20
0.5523509979248047:	lidar;	20	3	7128
0.5684008598327637:	lidar;	18
0.568422794342041:	lidar;	21	3	7144
0.5748147964477539:	lidar;	18
0.5748288631439209:	lidar;	22	3	7224
0.5748739242553711:	lidar;	20
0.574880838394165:	lidar;	23	3	7152
0.5811119079589844:	lidar;	18
0.5811200141906738:	lidar;	24	3	7192
0.5891809463500977:	lidar;	22
0.589202880859375:	lidar;	25	3	7152
0.5950808525085449:	lidar;	472
0.5960748195648193:	lidar;	26	3	7376
0.6032729148864746:	lidar;	404
0.6032958030700684:	lidar;	27	3	7536
0.6111948490142822:	lidar;	369
0.6112179756164551:	lidar;	28	3	7624
0.6181240081787109:	lidar;	540
0.6191380023956299:	lidar;	29	3	7648
0.6411139965057373:	lidar;	330
0.6411499977111816:	lidar;	30	3	7664
0.641157865524292:	lidar;	323
0.6411638259887695:	lidar;	31	3	7592
0.6411700248718262:	lidar;	328
0.6411759853363037:	lidar;	32	3	7624
0.6490678787231445:	lidar;	341
0.6490747928619385:	lidar;	33	3	7560
0.6561448574066162:	lidar;	363
0.657106876373291:	lidar;	34	3	7680
0.6641268730163574:	lidar;	399
0.664139986038208:	lidar;	35	3	7640
0.6731958389282227:	lidar;	489
0.6732239723205566:	lidar;	36	3	7552
0.6792309284210205:	lidar;	541
0.6792798042297363:	lidar;	37	3	7368
0.6871600151062012:	lidar;	723
0.6872479915618896:	lidar;	0	4	7392
0.7178668975830078:	lidar;	960
0.7178828716278076:	lidar;	1	4	7416
0.7178909778594971:	lidar;	906
0.7178969383239746:	lidar;	2	4	7376
0.7179429531097412:	lidar;	893
0.7179508209228516:	lidar;	3	4	7352
0.7179570198059082:	lidar;	339
0.7179620265960693:	lidar;	4	4	7256
0.7370939254760742:	lidar;	89
0.7371118068695068:	lidar;	5	4	21336
0.7450408935546875:	lidar;	75
0.7450478076934814:	lidar;	6	4	7504
0.752234935760498:	lidar;	65
0.7522478103637695:	lidar;	7	4	7096
0.7590258121490479:	lidar;	60
0.7590320110321045:	lidar;	8	4	7232
0.767071008682251:	lidar;	53
0.7670838832855225:	lidar;	9	4	7136
0.783951997756958:	lidar;	52
0.7839648723602295:	lidar;	10	4	7288
0.783972978591919:	lidar;	51
0.7839779853820801:	lidar;	11	4	7024
0.7870359420776367:	lidar;	52
0.7880740165710449:	lidar;	12	4	7104
0.7952070236206055:	lidar;	53
0.7952308654785156:	lidar;	13	4	7248
0.8020319938659668:	lidar;	55
0.8030078411102295:	lidar;	14	4	7544
0.8100240230560303:	lidar;	37
0.8100309371948242:	lidar;	15	4	7408
0.8170249462127686:	lidar;	32
0.8170318603515625:	lidar;	16	4	7112
0.8240358829498291:	lidar;	29
0.8240489959716797:	lidar;	17	4	7256
0.8310389518737793:	lidar;	25
0.8310458660125732:	lidar;	18	4	7144
0.849470853805542:	lidar;	23
0.8494868278503418:	lidar;	19	4	7240
0.8494939804077148:	lidar;	20
0.8495488166809082:	lidar;	20	4	7120
0.8530797958374023:	lidar;	19
0.8530919551849365:	lidar;	21	4	7248
0.861029863357544:	lidar;	18
0.8610379695892334:	lidar;	22	4	7160
0.8670289516448975:	lidar;	20
0.8680269718170166:	lidar;	23	4	7264
