0.0003871917724609375:	lidar;	91
0.00041103363037109375:	lidar;	86
0.0004200935363769531:	lidar;	85
0.00042700767517089844:	lidar;	86
0.00043511390686035156:	lidar;	87
0.0004420280456542969:	lidar;	35	4
0.00044918060302734375:	lidar;	89
0.0004570484161376953:	lidar;	90
0.0004642009735107422:	lidar;	88
0.00047016143798828125:	lidar;	36	4
0.00047707557678222656:	lidar;	84
0.0004851818084716797:	lidar;	72
0.000492095947265625:	lidar;	65
0.0004990100860595703:	lidar;	58
0.0005061626434326172:	lidar;	45
0.0005121231079101562:	lidar;	37	4
0.0005190372467041016:	lidar;	47
0.0005271434783935547:	lidar;	51
0.0005340576171875:	lidar;	52
0.0005409717559814453:	lidar;	50
0.0005471706390380859:	lidar;	0	5
0.0005550384521484375:	lidar;	51
0.0005621910095214844:	lidar;	52
0.0005691051483154297:	lidar;	54
0.0005750656127929688:	lidar;	1	5
0.0005819797515869141:	lidar;	53
0.0005891323089599609:	lidar;	52
0.0029630661010742188:	lidar;	243
0.012070178985595703:	lidar;	347
0.01209115982055664:	lidar;	2	5
0.018922090530395508:	lidar;	71
0.023882150650024414:	lidar;	118
0.02791309356689453:	lidar;	119
0.033926963806152344:	lidar;	85
0.038928985595703125:	lidar;	137
0.041880130767822266:	lidar;	120
0.041889190673828125:	lidar;	3	5
0.045049190521240234:	lidar;	124
0.049942970275878906:	lidar;	129
0.08261799812316895:	lidar;	356
0.08264613151550293:	lidar;	4	5
0.08265399932861328:	lidar;	546
0.08266115188598633:	lidar;	73
0.08266711235046387:	lidar;	71
0.082672119140625:	lidar;	5	5
0.08267807960510254:	lidar;	66
0.08282804489135742:	lidar;	59
0.0828549861907959:	lidar;	57
0.08287310600280762:	lidar;	53
0.08287811279296875:	lidar;	6	5
0.14191508293151855:	lidar;	52
0.1419830322265625:	lidar;	54
0.14199304580688477:	lidar;	377
0.1419990062713623:	lidar;	7	5
0.14200615882873535:	lidar;	392
0.1420121192932129:	lidar;	353
0.14201807975769043:	lidar;	246
0.14202308654785156:	lidar;	8	5
0.1420290470123291:	lidar;	205
0.14203619956970215:	lidar;	179
0.1420421600341797:	lidar;	119
0.14204812049865723:	lidar;	96
0.14205312728881836:	lidar;	9	5
0.1420590877532959:	lidar;	95
0.14206409454345703:	lidar;	92
0.14207005500793457:	lidar;	91
0.1420750617980957:	lidar;	10	5
0.14208102226257324:	lidar;	86
0.14286303520202637:	lidar;	86
0.1468980312347412:	lidar;	86
0.14991402626037598:	lidar;	88
0.1508960723876953:	lidar;	11	5
0.15397405624389648:	lidar;	90
0.15891218185424805:	lidar;	92
0.16187620162963867:	lidar;	91
0.1629931926727295:	lidar;	12	5
0.1658940315246582:	lidar;	86
0.17102408409118652:	lidar;	75
0.17492198944091797:	lidar;	67
0.17990398406982422:	lidar;	57
0.1799161434173584:	lidar;	13	5
0.1839141845703125:	lidar;	47
0.18897199630737305:	lidar;	47
0.20725297927856445:	lidar;	54
0.20726704597473145:	lidar;	55
0.2072770595550537:	lidar;	50
0.20728516578674316:	lidar;	14	5
0.2072911262512207:	lidar;	52
0.21195602416992188:	lidar;	55
0.21386408805847168:	lidar;	56
