0.0008380413055419922:	lidar;	333
0.0008950233459472656:	lidar;	37	14
0.0009109973907470703:	lidar;	340
0.0009219646453857422:	lidar;	0	15
0.0009350776672363281:	lidar;	357
0.0009491443634033203:	lidar;	1	15
0.0009610652923583984:	lidar;	380
0.0009710788726806641:	lidar;	2	15
0.0009839534759521484:	lidar;	429
0.0009989738464355469:	lidar;	3	15
0.006421089172363281:	lidar;	488
0.0064411163330078125:	lidar;	4	15
0.06263399124145508:	lidar;	589
0.06266212463378906:	lidar;	5	15
0.06268000602722168:	lidar;	1000
0.06268501281738281:	lidar;	6	15
0.06269097328186035:	lidar;	952
0.0626981258392334:	lidar;	7	15
0.06270694732666016:	lidar;	907
0.06271195411682129:	lidar;	8	15
0.08028101921081543:	lidar;	618
0.08030009269714355:	lidar;	9	15
0.09136414527893066:	lidar;	210
0.09137797355651855:	lidar;	10	15
0.10730504989624023:	lidar;	117
0.10732007026672363:	lidar;	11	15
0.130234956741333:	lidar;	89
0.1302499771118164:	lidar;	12	15
0.1352980136871338:	lidar;	74
0.1353130340576172:	lidar;	13	15
0.15032505989074707:	lidar;	62
0.15034914016723633:	lidar;	14	15
0.16638708114624023:	lidar;	22
0.16641712188720703:	lidar;	15	15
0.1951911449432373:	lidar;	15
0.1952061653137207:	lidar;	16	15
0.19624900817871094:	lidar;	24
0.1962590217590332:	lidar;	17	15
0.2123279571533203:	lidar;	20
0.21235394477844238:	lidar;	18	15
0.2292799949645996:	lidar;	17
0.2292940616607666:	lidar;	19	15
0.2621760368347168:	lidar;	19
0.2621941566467285:	lidar;	20	15
0.2812919616699219:	lidar;	20
0.2813079357147217:	lidar;	21	15
0.3203439712524414:	lidar;	40
0.3203589916229248:	lidar;	22	15
0.34328508377075195:	lidar;	30
0.34433412551879883:	lidar;	23	15
0.36933207511901855:	lidar;	25
0.3693549633026123:	lidar;	24	15
0.3929741382598877:	lidar;	27
0.3929891586303711:	lidar;	25	15
0.41527509689331055:	lidar;	22
0.41529011726379395:	lidar;	26	15
0.43860316276550293:	lidar;	20
0.4386720657348633:	lidar;	27	15
0.47245097160339355:	lidar;	20
0.47249913215637207:	lidar;	28	15
0.48033809661865234:	lidar;	20
0.4803600311279297:	lidar;	29	15
0.5014359951019287:	lidar;	19
0.5014560222625732:	lidar;	30	15
0.5183010101318359:	lidar;	19
0.5183191299438477:	lidar;	31	15
0.5393991470336914:	lidar;	18
0.5394260883331299:	lidar;	32	15
0.5533430576324463:	lidar;	19
0.55336594581604:	lidar;	33	15
0.5714490413665771:	lidar;	22
0.5714750289916992:	lidar;	34	15
0.5872671604156494:	lidar;	34
0.5872769355773926:	lidar;	35	15
0.6063380241394043:	lidar;	416
0.6063590049743652:	lidar;	36	15
0.6473050117492676:	lidar;	333
0.6473209857940674:	lidar;	37	15
0.6679940223693848:	lidar;	342
0.6680099964141846:	lidar;	0	16
0.6773231029510498:	lidar;	355
0.6773440837860107:	lidar;	1	16
0.691209077835083:	lidar;	381
0.6912150382995605:	lidar;	2	16
0.7052340507507324:	lidar;	420
0.7052490711212158:	lidar;	3	16
0.726470947265625:	lidar;	493
0.726485013961792:	lidar;	4	16
0.7342939376831055:	lidar;	589
0.7343130111694336:	lidar;	5	16
0.7484221458435059:	lidar;	997
0.7484419345855713:	lidar;	6	16
0.7633259296417236:	lidar;	955
0.7633471488952637:	lidar;	7	16
0.7793281078338623:	lidar;	908
0.7793381214141846:	lidar;	8	16
0.7980091571807861:	lidar;	600
0.7980260848999023:	lidar;	9	16
0.807218074798584:	lidar;	212
0.8081891536712646:	lidar;	10	16
0.8223271369934082:	lidar;	119
0.8223471641540527:	lidar;	11	16
0.8372390270233154:	lidar;	89
0.837244987487793:	lidar;	12	16
0.862360954284668:	lidar;	73
0.8623771667480469:	lidar;	13	16
0.8683581352233887:	lidar;	61
0.868380069732666:	lidar;	14	16
0.8822369575500488:	lidar;	54
0.8822450637817383:	lidar;	15	16
0.8984420299530029:	lidar;	51
0.898461103439331:	lidar;	16	16
0.9200990200042725:	lidar;	49
0.9201140403747559:	lidar;	17	16
0.9303390979766846:	lidar;	44
0.9303579330444336:	lidar;	18	16
0.947296142578125:	lidar;	22
0.9473099708557129:	lidar;	19	16
0.970283031463623:	lidar;	20
0.9702920913696289:	lidar;	20	16
0.9992499351501465:	lidar;	19
0.999269962310791:	lidar;	21	16
1.030329942703247:	lidar;	39
1.030346155166626:	lidar;	22	16
1.065277099609375:	lidar;	23
1.0652899742126465:	lidar;	23	16
1.0853049755096436:	lidar;	27
1.0853230953216553:	lidar;	24	16
1.1094400882720947:	lidar;	27
1.1094601154327393:	lidar;	25	16
1.1338679790496826:	lidar;	19
1.133882999420166:	lidar;	26	16
1.1543841361999512:	lidar;	18
1.1552720069885254:	lidar;	27	16
1.1761929988861084:	lidar;	18
1.1772291660308838:	lidar;	28	16
1.2007040977478027:	lidar;	18
1.2007219791412354:	lidar;	29	16
1.2172191143035889:	lidar;	19
1.2172300815582275:	lidar;	30	16
1.2372660636901855:	lidar;	19
1.2372839450836182:	lidar;	31	16
1.2647550106048584:	lidar;	19
1.2647740840911865:	lidar;	32	16
1.2712249755859375:	lidar;	19
1.2712340354919434:	lidar;	33	16
1.2891850471496582:	lidar;	20
1.2891919612884521:	lidar;	34	16
1.3062779903411865:	lidar;	34
1.3063139915466309:	lidar;	35	16
1.3282921314239502:	lidar;	398
1.3283100128173828:	lidar;	36	16
1.368237018585205:	lidar;	334
1.3682529926300049:	lidar;	37	16
1.3914940357208252:	lidar;	340
1.3915109634399414:	lidar;	0	17
1.3993871212005615:	lidar;	355
1.3994059562683105:	lidar;	1	17
1.4152801036834717:	lidar;	383
1.4153051376342773:	lidar;	2	17
1.429265022277832:	lidar;	419
1.4292840957641602:	lidar;	3	17
1.4556450843811035:	lidar;	487
1.4556629657745361:	lidar;	4	17
1.4582469463348389:	lidar;	587
1.4582600593566895:	lidar;	5	17
1.473405122756958:	lidar;	996
1.4734690189361572:	lidar;	6	17
1.4872081279754639:	lidar;	962
1.4872181415557861:	lidar;	7	17
1.5022010803222656:	lidar;	911
1.5022180080413818:	lidar;	8	17
1.5222530364990234:	lidar;	599
1.5222711563110352:	lidar;	9	17
1.5321781635284424:	lidar;	215
1.5331730842590332:	lidar;	10	17
1.5472381114959717:	lidar;	121
1.5472540855407715:	lidar;	11	17
1.5622079372406006:	lidar;	89
1.5622150897979736:	lidar;	12	17
1.5839941501617432:	lidar;	73
1.5840120315551758:	lidar;	13	17
1.592221975326538:	lidar;	63
1.5922319889068604:	lidar;	14	17
1.6083869934082031:	lidar;	54
1.6084070205688477:	lidar;	15	17
1.6231989860534668:	lidar;	51
1.6232049465179443:	lidar;	16	17
1.6490719318389893:	lidar;	49
1.6490869522094727:	lidar;	17	17
1.6553151607513428:	lidar;	48
1.6553690433502197:	lidar;	18	17
1.6732299327850342:	lidar;	25
1.6732449531555176:	lidar;	19	17
1.6971700191497803:	lidar;	20
1.6971800327301025:	lidar;	20	17
1.730402946472168:	lidar;	18
1.7304301261901855:	lidar;	21	17
1.7698791027069092:	lidar;	38
1.7698941230773926:	lidar;	22	17
1.801279067993164:	lidar;	32
1.801300048828125:	lidar;	23	17
1.8357751369476318:	lidar;	23
1.8357911109924316:	lidar;	24	17
1.8543310165405273:	lidar;	25
1.854391098022461:	lidar;	25	17
1.8783040046691895:	lidar;	20
1.8783299922943115:	lidar;	26	17
1.9098539352416992:	lidar;	19
1.909872055053711:	lidar;	27	17
1.925220012664795:	lidar;	20
1.92523193359375:	lidar;	28	17
1.9482629299163818:	lidar;	18
1.94828200340271:	lidar;	29	17
1.9712820053100586:	lidar;	18
1.9743540287017822:	lidar;	30	17
1.9863591194152832:	lidar;	18
1.9863779544830322:	lidar;	31	17
2.003282070159912:	lidar;	19
2.003293991088867:	lidar;	32	17
2.0211710929870605:	lidar;	19
2.022171974182129:	lidar;	33	17
2.039344072341919:	lidar;	20
2.039361000061035:	lidar;	34	17
2.0552029609680176:	lidar;	29
2.05521297454834:	lidar;	35	17
2.07427716255188:	lidar;	413
2.07430100440979:	lidar;	36	17
2.117201089859009:	lidar;	333
2.1172189712524414:	lidar;	37	17
2.1322340965270996:	lidar;	341
2.1322519779205322:	lidar;	0	18
2.150376081466675:	lidar;	359
