0.00816798210144043:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.011044740676879883:	imu;	yaw,	-3.8964476585388184
0.016792774200439453:	encoder;	counts,	0
0.0833888053894043:	blue_led;	68
0.08791422843933105:	motors;	-26
0.09373688697814941:	blue_led;	87
0.09807825088500977:	motors;	-34
0.10247230529785156:	blue_led;	100
0.10706067085266113:	motors;	-39
0.11287736892700195:	blue_led;	127
0.11721348762512207:	motors;	-49
0.12160992622375488:	blue_led;	161
0.1260368824005127:	motors;	-63
0.13043856620788574:	blue_led;	167
0.13476204872131348:	motors;	-65
0.14053773880004883:	blue_led;	211
0.14495563507080078:	motors;	-83
0.1493232250213623:	blue_led;	224
0.1536262035369873:	motors;	-88
0.1580052375793457:	blue_led;	245
0.1624000072479248:	motors;	-96
0.1669015884399414:	blue_led;	255
0.17130756378173828:	motors;	-100
0.19283556938171387:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.21196746826171875:	servo;	-22
0.2164316177368164:	blue_led;	189
0.22074151039123535:	motors;	-74
0.2264108657836914:	servo;	-25
0.23078274726867676:	blue_led;	161
0.23507952690124512:	motors;	-63
0.24513649940490723:	blue_led;	142
0.24944090843200684:	motors;	-55
0.2582106590270996:	blue_led;	118
0.2625272274017334:	motors;	-46
0.26698970794677734:	servo;	0
0.27132320404052734:	blue_led;	0
0.2756216526031494:	motors;	0
0.3308866024017334:	imu;	yaw,	-3.8953568935394287
0.37590742111206055:	servo;	-25
0.3905966281890869:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.40380406379699707:	servo;	-21
0.4101533889770508:	imu;	yaw,	-3.8964476585388184
0.41076040267944336:	servo;	0
0.48827385902404785:	imu;	yaw,	-3.8953568935394287
0.5697741508483887:	imu;	yaw,	-3.8964476585388184
0.5906803607940674:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.748222827911377:	imu;	yaw,	-3.897538661956787
0.7781193256378174:	imu;	yaw,	-3.8964476585388184
0.7974822521209717:	imu;	yaw,	-3.8953568935394287
0.848233699798584:	imu;	yaw,	-3.8964476585388184
0.8576381206512451:	imu;	yaw,	-3.897538661956787
0.8676238059997559:	imu;	yaw,	-3.8986294269561768
0.8775665760040283:	imu;	yaw,	-3.8997201919555664
0.8875656127929688:	imu;	yaw,	-3.901901960372925
0.8974637985229492:	imu;	yaw,	-3.904083490371704
0.9077534675598145:	imu;	yaw,	-3.907356023788452
0.9181227684020996:	imu;	yaw,	-3.9095377922058105
0.9275727272033691:	imu;	yaw,	-3.91171932220459
0.937598705291748:	imu;	yaw,	-3.9128103256225586
0.9477317333221436:	imu;	yaw,	-3.9139010906219482
0.9776384830474854:	imu;	yaw,	-3.9128103256225586
0.9914257526397705:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.00750732421875:	imu;	yaw,	-3.9139010906219482
1.0979645252227783:	imu;	yaw,	-3.9128103256225586
1.1385984420776367:	imu;	yaw,	-3.91171932220459
1.1913425922393799:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.2082486152648926:	imu;	yaw,	-3.9106285572052
1.2489221096038818:	imu;	yaw,	-3.91171932220459
1.2885980606079102:	imu;	yaw,	-3.9128103256225586
1.3911519050598145:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.4484906196594238:	imu;	yaw,	-3.9139010906219482
1.5188837051391602:	imu;	yaw,	-3.914991855621338
1.591088056564331:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.643557071685791:	imu;	yaw,	-3.9139010906219482
1.648974895477295:	imu;	yaw,	-3.914991855621338
1.748004674911499:	imu;	yaw,	-3.9160828590393066
1.8698081970214844:	imu;	yaw,	-3.914991855621338
1.8891711235046387:	imu;	yaw,	-3.9139010906219482
1.947706937789917:	imu;	yaw,	-3.9128103256225586
1.991891860961914:	gps;	long,	0.0|	lat,	0.0|	fix,	False
