0.008997201919555664:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.015295982360839844:	imu;	yaw,	-3.1372294425964355
0.022496938705444336:	encoder;	counts,	0
0.031484127044677734:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.21326947212219238:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.6447784900665283:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.2766151428222656:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.2921054363250732:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.4133834838867188:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.6130900382995605:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.8129680156707764:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.214425563812256:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.417170286178589:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.6138901710510254:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.8135242462158203:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.2155134677886963:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.4162166118621826:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.6136314868927:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.8135480880737305:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.213544845581055:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.413591146469116:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.613623142242432:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.8134119510650635:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.215196847915649:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.413111925125122:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.612802743911743:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.813300132751465:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.985502243041992:	imu;	yaw,	-3.1339569091796875
5.99678897857666:	imu;	yaw,	-3.12850284576416
6.00662899017334:	imu;	yaw,	-3.125230312347412
6.016977310180664:	imu;	yaw,	-3.1230485439300537
6.026644945144653:	imu;	yaw,	-3.121957778930664
6.03677773475647:	imu;	yaw,	-3.1230485439300537
6.046372652053833:	imu;	yaw,	-3.125230312347412
6.056981325149536:	imu;	yaw,	-3.12850284576416
6.066722869873047:	imu;	yaw,	-3.1306843757629395
6.1067962646484375:	imu;	yaw,	-3.131775140762329
6.11789083480835:	imu;	yaw,	-3.1306843757629395
6.1451075077056885:	imu;	yaw,	-3.12959361076355
6.15727424621582:	imu;	yaw,	-3.1306843757629395
6.17704439163208:	imu;	yaw,	-3.131775140762329
6.208228588104248:	imu;	yaw,	-3.1306843757629395
6.226348400115967:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.232370138168335:	imu;	yaw,	-3.131775140762329
6.266830921173096:	imu;	yaw,	-3.1306843757629395
6.413436651229858:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.415787696838379:	motors;	0
