0.008148431777954102:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.0153350830078125:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.01985907554626465:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.02622365951538086:	encoder;	counts,	0
0.03573298454284668:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.04554128646850586:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.05615949630737305:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.06502580642700195:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.07510089874267578:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.08478212356567383:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.09502005577087402:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.10557889938354492:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.11555314064025879:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.1257929801940918:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.1349344253540039:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.14551663398742676:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.15530133247375488:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.16582345962524414:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.175645112991333:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.18570971488952637:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.19547009468078613:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.20602083206176758:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.21592044830322266:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.23151350021362305:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.24476265907287598:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.2557682991027832:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.26639223098754883:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.2755875587463379:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.28589391708374023:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.2961087226867676:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.3062014579772949:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.31646728515625:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.3263120651245117:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.3361496925354004:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.3462648391723633:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.3566133975982666:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.36653590202331543:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.3764231204986572:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.38704705238342285:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.3965771198272705:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.4062972068786621:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.4169433116912842:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.42652440071105957:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.4366919994354248:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.44669532775878906:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.4565110206604004:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.4669511318206787:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.47666072845458984:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.48650670051574707:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.4970266819000244:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.5066018104553223:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.5177252292633057:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.5273957252502441:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.5371031761169434:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.5476431846618652:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.7434835433959961:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.7555925846099854:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.7676129341125488:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.8036103248596191:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.9447956085205078:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.9566419124603271:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.9687192440032959:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
0.9930286407470703:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.1451458930969238:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.1539020538330078:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.260927677154541:	blue_led;	52
1.2654967308044434:	motors;	20
1.2713406085968018:	blue_led;	54
1.2758681774139404:	motors;	21
1.309922456741333:	blue_led;	53
1.3187370300292969:	blue_led;	54
1.3287427425384521:	blue_led;	0
1.3331162929534912:	motors;	0
1.3446035385131836:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.5243070125579834:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.543431043624878:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.7418057918548584:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.9427731037139893:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.9537312984466553:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.9640147686004639:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.9742722511291504:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.984158992767334:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.9940564632415771:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
