0.006372928619384766:	blue_led;	60
0.009467363357543945:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.011448860168457031:	motors;	-23
0.016813278198242188:	blue_led;	107
0.018561840057373047:	imu;	yaw,	-1.0973758697509766|	accel_x,	0.05999999865889549|	accel_y,	-0.019999999552965164|	compass,	2.5652174949645996|	ang_vx,	0.0|	ang_vy,	-0.0069813174195587635
0.02341151237487793:	encoder;	counts,	0
0.02406787872314453:	motors;	-42
0.02899026870727539:	blue_led;	165
0.033692121505737305:	motors;	-64
0.03718924522399902:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.038988351821899414:	blue_led;	196
0.04378676414489746:	motors;	-77
0.04915761947631836:	blue_led;	222
0.05361294746398926:	motors;	-87
0.05970048904418945:	blue_led;	255
0.06432366371154785:	motors;	-100
0.22194409370422363:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.24134349822998047:	imu;	yaw,	-1.0984666347503662|	accel_x,	0.5799999833106995|	accel_y,	-0.36000001430511475|	compass,	2.3208110332489014|	ang_vx,	-0.6632251143455505|	ang_vy,	-0.1186823919415474
0.4223017692565918:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.43912696838378906:	imu;	yaw,	-1.1050115823745728|	accel_x,	0.27000001072883606|	accel_y,	0.5799999833106995|	compass,	1.5193164348602295|	ang_vx,	0.13962635397911072|	ang_vy,	0.25132742524147034
0.5487112998962402:	imu;	yaw,	-1.1115565299987793|	accel_x,	0.0|	accel_y,	0.36000001430511475|	compass,	1.0225268602371216|	ang_vx,	0.10471976548433304|	ang_vy,	0.46076691150665283
0.8224184513092041:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.841271162033081:	imu;	yaw,	-1.14646315574646|	accel_x,	-0.029999999329447746|	accel_y,	0.25|	compass,	1.7823785543441772|	ang_vx,	0.1466076672077179|	ang_vy,	0.2373647838830948
1.022017478942871:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.0406441688537598:	imu;	yaw,	-1.1726430654525757|	accel_x,	0.41999998688697815|	accel_y,	-0.4399999976158142|	compass,	2.6838696002960205|	ang_vx,	-0.16057029366493225|	ang_vy,	0.13264502584934235
1.0687248706817627:	imu;	yaw,	-1.174824833869934|	accel_x,	0.23000000417232513|	accel_y,	-0.14000000059604645|	compass,	2.293700695037842|	ang_vx,	0.48171088099479675|	ang_vy,	0.1745329350233078
1.2225282192230225:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.2413160800933838:	imu;	yaw,	-1.1999138593673706|	accel_x,	-0.009999999776482582|	accel_y,	0.49000000953674316|	compass,	0.9802718162536621|	ang_vx,	1.333431601524353|	ang_vy,	0.6562438011169434
