0.012571573257446289:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.025597572326660156:	imu;	yaw,	-4.423318862915039|	accel_x,	-0.019999999552965164|	accel_y,	0.07000000029802322|	compass,	1.5922948122024536|	ang_vx,	0.0|	ang_vy,	-0.020943952724337578
0.030514955520629883:	encoder;	counts,	0
0.17458534240722656:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.19155383110046387:	imu;	yaw,	-4.423318862915039|	accel_x,	-0.019999999552965164|	accel_y,	0.07999999821186066|	compass,	1.5922948122024536|	ang_vx,	-0.013962634839117527|	ang_vy,	0.013962634839117527
0.5748610496520996:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.7743453979492188:	gps;	long,	0.0|	lat,	0.0|	fix,	False
0.7915396690368652:	imu;	yaw,	-4.423318862915039|	accel_x,	0.0|	accel_y,	0.10000000149011612|	compass,	1.5912283658981323|	ang_vx,	0.0|	ang_vy,	0.0
0.9635932445526123:	imu;	yaw,	-4.423318862915039|	accel_x,	0.0|	accel_y,	0.09000000357627869|	compass,	1.5893126726150513|	ang_vx,	-0.020943952724337578|	ang_vy,	-0.0069813174195587635
0.9817590713500977:	imu;	yaw,	-4.423318862915039|	accel_x,	-0.029999999329447746|	accel_y,	0.07000000029802322|	compass,	1.5893126726150513|	ang_vx,	-0.0069813174195587635|	ang_vy,	-0.0069813174195587635
0.9899451732635498:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.080625057220459:	imu;	yaw,	-4.423318862915039|	accel_x,	0.0|	accel_y,	0.05000000074505806|	compass,	1.5889207124710083|	ang_vx,	-0.027925269678235054|	ang_vy,	0.013962634839117527
1.0999484062194824:	blue_led;	60
1.1044719219207764:	motors;	23
1.1100871562957764:	blue_led;	72
1.114671230316162:	motors;	28
1.1203157901763916:	blue_led;	100
1.12465238571167:	motors;	39
1.1302685737609863:	blue_led;	118
1.1345744132995605:	motors;	46
1.1401755809783936:	blue_led;	152
1.1445136070251465:	motors;	59
1.1501131057739258:	blue_led;	180
1.154432773590088:	motors;	70
1.1600172519683838:	blue_led;	210
1.1643493175506592:	motors;	82
1.1699934005737305:	servo;	9
1.174391746520996:	blue_led;	234
1.1758286952972412:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.1787562370300293:	motors;	92
1.184591293334961:	servo;	13
1.1889855861663818:	blue_led;	255
1.1935877799987793:	imu;	yaw,	-4.423318862915039|	accel_x,	-1.0800000429153442|	accel_y,	-1.3300000429153442|	compass,	1.588416337966919|	ang_vx,	0.13264502584934235|	ang_vy,	0.04886922240257263
1.194258213043213:	motors;	100
1.1999883651733398:	servo;	20
1.2101263999938965:	servo;	21
1.2139480113983154:	imu;	yaw,	-4.42113733291626|	accel_x,	0.4300000071525574|	accel_y,	-0.550000011920929|	compass,	1.5928213596343994|	ang_vx,	-2.0036380290985107|	ang_vy,	-0.06981317698955536
1.2161648273468018:	servo;	22
