0.0011703968048095703:	kalman;	pitch,	0.111517703362|	roll,	1.53987228732|	alt,	270.000011532|	yaw,	0.271121420135|	long,	-79.9424242973|	lat,	40.4402026631
0.0017583370208740234:	kalman;	pitch,	0.111517703362|	roll,	1.53987228732|	alt,	270.000011532|	yaw,	0.271121420135|	long,	-79.9424242973|	lat,	40.4402026631
0.02946925163269043:	imu;	yaw,	6.282094478607178|	ax,	0.0|	ay,	0.019999999552965164|	az,	0.23000000417232513|	gx,	0.0|	gy,	0.0|	gz,	0.0|	mx,	28.1875|	my,	6.5625|	mz,	-24.5625
0.04217100143432617:	kalman;	pitch,	0.111517703362|	roll,	1.53987228732|	alt,	269.999940123|	yaw,	0.271121420135|	long,	-79.9424242972|	lat,	40.4402026636
0.04685497283935547:	gps;	lat,	38.71666717529297|	long,	0.0|	altitude,	0.0|	geoid_height,	0.0|	pdop,	0.0|	hdop,	0.0|	vdop,	0.0|	fix,	False
0.08265280723571777:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
0.1230924129486084:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
0.16353893280029297:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
0.2039656639099121:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
0.24436306953430176:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
0.2847440242767334:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
0.32521677017211914:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
0.36569762229919434:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
0.40609264373779297:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
0.4466440677642822:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
0.48708295822143555:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
0.5274763107299805:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
0.5679278373718262:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
0.6083683967590332:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
0.648751974105835:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
